"sample_id","sample_type","diet_code","timepoint","diet_time","prevalence_group"
"M1","Mock",,,,"Mock"
"M2","Mock",,,,"Mock"
"X1.1t30","Intestine","Ctrl","D30","Ctrl_D30","Ctrl_D30"
"X1.1t7","Intestine","Ctrl","D07","Ctrl_D07","Ctrl_D07"
"X1.1t90","Intestine","Ctrl","D90","Ctrl_D90","Ctrl_D90"
"X1.2t30","Intestine","Ctrl","D30","Ctrl_D30","Ctrl_D30"
"X1.2t7","Intestine","Ctrl","D07","Ctrl_D07","Ctrl_D07"
"X1.2t90","Intestine","Ctrl","D90","Ctrl_D90","Ctrl_D90"
"X1.3t30","Intestine","Ctrl","D30","Ctrl_D30","Ctrl_D30"
"X1.3t7","Intestine","Ctrl","D07","Ctrl_D07","Ctrl_D07"
"X1.3t90","Intestine","Ctrl","D90","Ctrl_D90","Ctrl_D90"
"X1.4t30","Intestine","Ctrl","D30","Ctrl_D30","Ctrl_D30"
"X1.4t7","Intestine","Ctrl","D07","Ctrl_D07","Ctrl_D07"
"X1.4t90","Intestine","Ctrl","D90","Ctrl_D90","Ctrl_D90"
"X1.5t30","Intestine","Ctrl","D30","Ctrl_D30","Ctrl_D30"
"X1.5t7","Intestine","Ctrl","D07","Ctrl_D07","Ctrl_D07"
"X1.5t90","Intestine","Ctrl","D90","Ctrl_D90","Ctrl_D90"
"X2.1t30","Intestine","Ctrl","D30","Ctrl_D30","Ctrl_D30"
"X2.1t7","Intestine","Ctrl","D07","Ctrl_D07","Ctrl_D07"
"X2.1t90","Intestine","Ctrl","D90","Ctrl_D90","Ctrl_D90"
"X2.2t30","Intestine","Ctrl","D30","Ctrl_D30","Ctrl_D30"
"X2.2t7","Intestine","Ctrl","D07","Ctrl_D07","Ctrl_D07"
"X2.2t90","Intestine","Ctrl","D90","Ctrl_D90","Ctrl_D90"
"X2.3t30","Intestine","Ctrl","D30","Ctrl_D30","Ctrl_D30"
"X2.3t7","Intestine","Ctrl","D07","Ctrl_D07","Ctrl_D07"
"X2.3t90","Intestine","Ctrl","D90","Ctrl_D90","Ctrl_D90"
"X2.4t30","Intestine","Ctrl","D30","Ctrl_D30","Ctrl_D30"
"X2.4t7","Intestine","Ctrl","D07","Ctrl_D07","Ctrl_D07"
"X2.4t90","Intestine","Ctrl","D90","Ctrl_D90","Ctrl_D90"
"X2.5t30","Intestine","Ctrl","D30","Ctrl_D30","Ctrl_D30"
"X2.5t7","Intestine","Ctrl","D07","Ctrl_D07","Ctrl_D07"
"X2.5t90","Intestine","Ctrl","D90","Ctrl_D90","Ctrl_D90"
"X3","Feed","Ctrl",,,"Feed_Ctrl"
"X3.1t30","Intestine","Ctrl","D30","Ctrl_D30","Ctrl_D30"
"X3.1t7","Intestine","Ctrl","D07","Ctrl_D07","Ctrl_D07"
"X3.1t90","Intestine","Ctrl","D90","Ctrl_D90","Ctrl_D90"
"X3.2t30","Intestine","Ctrl","D30","Ctrl_D30","Ctrl_D30"
"X3.2t7","Intestine","Ctrl","D07","Ctrl_D07","Ctrl_D07"
"X3.2t90","Intestine","Ctrl","D90","Ctrl_D90","Ctrl_D90"
"X3.3t30","Intestine","Ctrl","D30","Ctrl_D30","Ctrl_D30"
"X3.3t7","Intestine","Ctrl","D07","Ctrl_D07","Ctrl_D07"
"X3.3t90","Intestine","Ctrl","D90","Ctrl_D90","Ctrl_D90"
"X3.4t30","Intestine","Ctrl","D30","Ctrl_D30","Ctrl_D30"
"X3.4t7","Intestine","Ctrl","D07","Ctrl_D07","Ctrl_D07"
"X3.4t90","Intestine","Ctrl","D90","Ctrl_D90","Ctrl_D90"
"X3.5t30","Intestine","Ctrl","D30","Ctrl_D30","Ctrl_D30"
"X3.5t7","Intestine","Ctrl","D07","Ctrl_D07","Ctrl_D07"
"X3.5t90","Intestine","Ctrl","D90","Ctrl_D90","Ctrl_D90"
"Y1.1t30","Intestine","BL15","D30","BL15_D30","BL15_D30"
"Y1.1t7","Intestine","BL15","D07","BL15_D07","BL15_D07"
"Y1.1t90","Intestine","BL15","D90","BL15_D90","BL15_D90"
"Y1.2t30","Intestine","BL15","D30","BL15_D30","BL15_D30"
"Y1.2t7","Intestine","BL15","D07","BL15_D07","BL15_D07"
"Y1.2t90","Intestine","BL15","D90","BL15_D90","BL15_D90"
"Y1.3t30","Intestine","BL15","D30","BL15_D30","BL15_D30"
