"removal_step","Kingdom","Phylum","Class","Order","Family","Genus","asvs","raw_reads"
"mean_abundance_filter","Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Mitochondria",,102,6199
"mean_abundance_filter","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",22,3815
"mean_abundance_filter","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",17,3094
"mean_abundance_filter","Bacteria","Cyanobacteriota","Cyanobacteriia","Chloroplast",,,69,2824
"mean_abundance_filter","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia",14,2413
"mean_abundance_filter","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",21,1664
"mean_abundance_filter","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",15,1440
"mean_abundance_filter","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",14,1370
"mean_abundance_filter","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae",,16,1366
"mean_abundance_filter","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",8,1328
"mean_abundance_filter","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",10,1250
"mean_abundance_filter","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Delftia",4,1230
"mean_abundance_filter","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus",16,1194
"mean_abundance_filter","Bacteria","Actinomycetota","Actinobacteria","Mycobacteriales","Corynebacteriaceae","Corynebacterium",10,1173
"mean_abundance_filter","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster",4,1153
"mean_abundance_filter","Bacteria","Bacillota","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",5,1110
"mean_abundance_filter","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides",5,1049
"mean_abundance_filter","Bacteria","Actinomycetota","Thermoleophilia","Gaiellales",,,9,1037
"mean_abundance_filter","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium",3,1008
"mean_abundance_filter","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",3,984
"mean_abundance_filter","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Periweissella",3,916
"mean_abundance_filter","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",,5,866
"mean_abundance_filter","Bacteria","Actinomycetota","Actinobacteria","Kitasatosporales","Streptomycetaceae","Streptomyces",5,864
"mean_abundance_filter","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia",2,788
"mean_abundance_filter","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus",9,768
"mean_abundance_filter","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter",3,763
"mean_abundance_filter","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae",,6,763
"mean_abundance_filter","Bacteria","Pseudomonadota","Alphaproteobacteria","Pelagibacterales","Clade I","Clade Ia",4,741
"mean_abundance_filter","Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium",2,734
"mean_abundance_filter","Bacteria","Acidobacteriota","Acidobacteriae","Subgroup 2",,,2,727
"mean_abundance_filter","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella",4,713
"mean_abundance_filter","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lacticaseibacillus",6,680
"mean_abundance_filter","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Mesorhizobium",4,673
"mean_abundance_filter","Bacteria","Bacillota","Bacilli","Exiguobacterales","Exiguobacteraceae","Exiguobacterium",3,672
"mean_abundance_filter","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea",3,655
"mean_abundance_filter","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium",1,639
"mean_abundance_filter","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Fusicatenibacter",3,637
"mean_abundance_filter","Bacteria","Bacillota","Clostridia","Monoglobales","Monoglobaceae","Monoglobus",2,626
"mean_abundance_filter","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella",2,620
