group,stage_label,stage_order,total_reads,retention_pct
Total,Raw,1,7667921,100
Total,Taxonomic,2,7481712,97.5715842664524
Total,Prevalence,3,7230537,94.29592454069362
Total,Final,4,7133190,93.02638876952436
Feed,Raw,1,145198,100
Feed,Taxonomic,2,145162,99.97520627005882
Feed,Prevalence,3,145162,99.97520627005882
Feed,Final,4,131830,90.79326161517376
Intestine,Raw,1,7452457,100
Intestine,Taxonomic,2,7266286,97.50188427789654
Intestine,Prevalence,3,7015212,94.13287456740777
Intestine,Final,4,6931390,93.00811799383747
Mock,Raw,1,70266,100
Mock,Taxonomic,2,70264,99.997153673184755
Mock,Prevalence,3,70163,99.85341416901488
Mock,Final,4,69970,99.57874363134376
