"object","sample_type","diet_code","timepoint","diet_time","samples","min_reads","q1_reads","median_reads","mean_reads","q3_reads","max_reads","total_reads"
"raw_all_samples","Mock",,,,2,32235,33684,35133,35133,36582,38031,70266
"raw_all_samples","Intestine","Ctrl","D30","Ctrl_D30",15,48950,54783.5,57242,58339.4,59354,71077,875091
"raw_all_samples","Intestine","Ctrl","D07","Ctrl_D07",15,35698,47246.5,53675,53162.4666666667,58342,70309,797437
"raw_all_samples","Intestine","Ctrl","D90","Ctrl_D90",15,28644,48043,57396,55124.0666666667,59450,79207,826861
"raw_all_samples","Feed","Ctrl",,,1,48092,48092,48092,48092,48092,48092,48092
"raw_all_samples","Intestine","BL15","D30","BL15_D30",15,48603,52970,56601,56586.7333333333,59136,71135,848801
"raw_all_samples","Intestine","BL15","D07","BL15_D07",15,52173,55909,57090,58613.6666666667,58773.5,71002,879205
"raw_all_samples","Intestine","BL15","D90","BL15_D90",15,28400,53378,58329,56855.9333333333,61107.5,86842,852839
"raw_all_samples","Feed","BL15",,,1,44535,44535,44535,44535,44535,44535,44535
"raw_all_samples","Intestine","BL30","D30","BL30_D30",14,41498,49555,56845,54713.7142857143,58544,65664,765992
"raw_all_samples","Intestine","BL30","D07","BL30_D07",15,37792,44863,55727,51154.1333333333,56978.5,60788,767312
"raw_all_samples","Intestine","BL30","D90","BL30_D90",14,54049,56921.75,58728.5,59922.7857142857,61786.5,71412,838919
"raw_all_samples","Feed","BL30",,,1,52571,52571,52571,52571,52571,52571,52571
"taxonomic_filter","Mock",,,,2,32233,33682.5,35132,35132,36581.5,38031,70264
"taxonomic_filter","Intestine","Ctrl","D30","Ctrl_D30",15,48938,54503,57026,57757.7333333333,59264,68908,866366
"taxonomic_filter","Intestine","Ctrl","D07","Ctrl_D07",15,35104,44129.5,50536,51391.0666666667,58270.5,68759,770866
"taxonomic_filter","Intestine","Ctrl","D90","Ctrl_D90",15,28429,47759.5,56664,54691.8666666667,58978,79053,820378
"taxonomic_filter","Feed","Ctrl",,,1,48080,48080,48080,48080,48080,48080,48080
"taxonomic_filter","Intestine","BL15","D30","BL15_D30",15,47692,51305,55559,55636.4,57869.5,70950,834546
"taxonomic_filter","Intestine","BL15","D07","BL15_D07",15,47173,51002,55720,55453.7333333333,57978,66791,831806
"taxonomic_filter","Intestine","BL15","D90","BL15_D90",15,25937,53330,58160,56528.1333333333,61083,86359,847922
"taxonomic_filter","Feed","BL15",,,1,44526,44526,44526,44526,44526,44526,44526
"taxonomic_filter","Intestine","BL30","D30","BL30_D30",14,36329,47854.25,54604,53030.4285714286,58293,64993,742426
"taxonomic_filter","Intestine","BL30","D07","BL30_D07",15,17587,40121.5,48822,47616.9333333333,56532,60663,714254
"taxonomic_filter","Intestine","BL30","D90","BL30_D90",14,54049,56889.75,58649,59837.2857142857,61734.5,71252,837722
"taxonomic_filter","Feed","BL30",,,1,52556,52556,52556,52556,52556,52556,52556
"prevalence_filter","Mock",,,,2,32167,33624.25,35081.5,35081.5,36538.75,37996,70163
"prevalence_filter","Intestine","Ctrl","D30","Ctrl_D30",15,48938,54496,56988,57499.0666666667,57905,68688,862486
"prevalence_filter","Intestine","Ctrl","D07","Ctrl_D07",15,29144,30870,41516,44271.1333333333,54054.5,68531,664067
"prevalence_filter","Intestine","Ctrl","D90","Ctrl_D90",15,28410,42042.5,56122,53498.1333333333,58570.5,78780,802472
"prevalence_filter","Feed","Ctrl",,,1,48080,48080,48080,48080,48080,48080,48080
"prevalence_filter","Intestine","BL15","D30","BL15_D30",15,46827,51284,55557,55378.9333333333,57802,70950,830684
"prevalence_filter","Intestine","BL15","D07","BL15_D07",15,34150,43994.5,53462,50899.9333333333,57357.5,62029,763499
"prevalence_filter","Intestine","BL15","D90","BL15_D90",15,25359,52500.5,58160,56319,61072.5,86087,844785
"prevalence_filter","Feed","BL15",,,1,44526,44526,44526,44526,44526,44526,44526
"prevalence_filter","Intestine","BL30","D30","BL30_D30",14,29265,47846,53985,52334.3571428572,58264.25,64967,732681
"prevalence_filter","Intestine","BL30","D07","BL30_D07",15,17336,33735,48786,45222.3333333333,56287.5,60634,678335
"prevalence_filter","Intestine","BL30","D90","BL30_D90",14,54031,56883.75,58641.5,59728.7857142857,61719.75,71242,836203
"prevalence_filter","Feed","BL30",,,1,52556,52556,52556,52556,52556,52556,52556
"mean_abundance_filter","Mock",,,,2,32060,33522.5,34985,34985,36447.5,37910,69970
"mean_abundance_filter","Intestine","Ctrl","D30","Ctrl_D30",15,48938,54064,56505,57215.3333333333,57865.5,68685,858230
"mean_abundance_filter","Intestine","Ctrl","D07","Ctrl_D07",15,22166,27726,39478,41576.7333333333,53147.5,68350,623651
"mean_abundance_filter","Intestine","Ctrl","D90","Ctrl_D90",15,28406,42033,56122,53465.4666666667,58525.5,78760,801982
"mean_abundance_filter","Feed","Ctrl",,,1,41892,41892,41892,41892,41892,41892,41892
"mean_abundance_filter","Intestine","BL15","D30","BL15_D30",15,46565,51192,55557,55275.6,57744.5,70950,829134
"mean_abundance_filter","Intestine","BL15","D07","BL15_D07",15,31920,41631.5,53385,49750.0666666667,57306.5,59929,746251
"mean_abundance_filter","Intestine","BL15","D90","BL15_D90",15,25266,52489.5,58160,56295,61054,86030,844425
"mean_abundance_filter","Feed","BL15",,,1,41298,41298,41298,41298,41298,41298,41298
"mean_abundance_filter","Intestine","BL30","D30","BL30_D30",14,28373,47846,53712.5,52193.5,58164.25,64867,730709
"mean_abundance_filter","Intestine","BL30","D07","BL30_D07",15,17111,31739,48786,44084.8,56266,60634,661272
"mean_abundance_filter","Intestine","BL30","D90","BL30_D90",14,53967,56880.75,58625,59695.4285714286,61706.25,71240,835736
"mean_abundance_filter","Feed","BL30",,,1,48640,48640,48640,48640,48640,48640,48640
"final_all_samples","Mock",,,,2,32060,33522.5,34985,34985,36447.5,37910,69970
"final_all_samples","Intestine","Ctrl","D30","Ctrl_D30",15,48938,54064,56505,57215.3333333333,57865.5,68685,858230
"final_all_samples","Intestine","Ctrl","D07","Ctrl_D07",15,22166,27726,39478,41576.7333333333,53147.5,68350,623651
"final_all_samples","Intestine","Ctrl","D90","Ctrl_D90",15,28406,42033,56122,53465.4666666667,58525.5,78760,801982
"final_all_samples","Feed","Ctrl",,,1,41892,41892,41892,41892,41892,41892,41892
"final_all_samples","Intestine","BL15","D30","BL15_D30",15,46565,51192,55557,55275.6,57744.5,70950,829134
"final_all_samples","Intestine","BL15","D07","BL15_D07",15,31920,41631.5,53385,49750.0666666667,57306.5,59929,746251
"final_all_samples","Intestine","BL15","D90","BL15_D90",15,25266,52489.5,58160,56295,61054,86030,844425
"final_all_samples","Feed","BL15",,,1,41298,41298,41298,41298,41298,41298,41298
"final_all_samples","Intestine","BL30","D30","BL30_D30",14,28373,47846,53712.5,52193.5,58164.25,64867,730709
"final_all_samples","Intestine","BL30","D07","BL30_D07",15,17111,31739,48786,44084.8,56266,60634,661272
"final_all_samples","Intestine","BL30","D90","BL30_D90",14,53967,56880.75,58625,59695.4285714286,61706.25,71240,835736
"final_all_samples","Feed","BL30",,,1,48640,48640,48640,48640,48640,48640,48640
"final_biological_intestine","Intestine","Ctrl","D30","Ctrl_D30",15,48938,54064,56505,57215.3333333333,57865.5,68685,858230
"final_biological_intestine","Intestine","Ctrl","D07","Ctrl_D07",15,22166,27726,39478,41576.7333333333,53147.5,68350,623651
"final_biological_intestine","Intestine","Ctrl","D90","Ctrl_D90",15,28406,42033,56122,53465.4666666667,58525.5,78760,801982
"final_biological_intestine","Intestine","BL15","D30","BL15_D30",15,46565,51192,55557,55275.6,57744.5,70950,829134
"final_biological_intestine","Intestine","BL15","D07","BL15_D07",15,31920,41631.5,53385,49750.0666666667,57306.5,59929,746251
"final_biological_intestine","Intestine","BL15","D90","BL15_D90",15,25266,52489.5,58160,56295,61054,86030,844425
"final_biological_intestine","Intestine","BL30","D30","BL30_D30",14,28373,47846,53712.5,52193.5,58164.25,64867,730709
"final_biological_intestine","Intestine","BL30","D07","BL30_D07",15,17111,31739,48786,44084.8,56266,60634,661272
"final_biological_intestine","Intestine","BL30","D90","BL30_D90",14,53967,56880.75,58625,59695.4285714286,61706.25,71240,835736
