"object","rank","assigned_asvs","unassigned_asvs","pct_assigned_asvs","assigned_reads","unassigned_reads","pct_assigned_reads"
"raw_all_samples","Kingdom",13020,1632,0.888615888615889,7490974,176947,0.976923731999847
"raw_all_samples","Phylum",12461,2191,0.850464100464101,7481712,186209,0.975715842664524
"raw_all_samples","Class",12220,2432,0.834015834015834,7479028,188893,0.975365812975903
"raw_all_samples","Order",11424,3228,0.77968877968878,7467160,200761,0.973818066200734
"raw_all_samples","Family",10593,4059,0.722972972972973,7383870,284051,0.962955930297143
"raw_all_samples","Genus",6595,8057,0.4501092001092,5412322,2255599,0.705839561988184
"raw_all_samples","Species",444,14208,0.0303030303030303,3540804,4127117,0.461768450666093
"raw_all_samples","Species_addSpecies",921,13731,0.0628583128583129,4512751,3155170,0.588523408105013
"taxonomic_filter","Kingdom",12461,0,1,7481712,0,1
"taxonomic_filter","Phylum",12461,0,1,7481712,0,1
"taxonomic_filter","Class",12220,241,0.980659658133376,7479028,2684,0.999641258578251
"taxonomic_filter","Order",11424,1037,0.916780354706685,7467160,14552,0.998054990622467
"taxonomic_filter","Family",10593,1868,0.850092287938368,7383870,97842,0.986922511852902
"taxonomic_filter","Genus",6595,5866,0.529251263943504,5412322,2069390,0.723406888690717
"taxonomic_filter","Species",444,12017,0.0356311692480539,3540804,3940908,0.473261200110349
"taxonomic_filter","Species_addSpecies",921,11540,0.0739106010753551,4512751,2968961,0.603170905268741
"prevalence_filter","Kingdom",1101,0,1,7230537,0,1
"prevalence_filter","Phylum",1101,0,1,7230537,0,1
"prevalence_filter","Class",1099,2,0.998183469573115,7230530,7,0.999999031883801
"prevalence_filter","Order",1089,12,0.989100817438692,7229734,803,0.999888943241698
"prevalence_filter","Family",980,121,0.890099909173479,7164369,66168,0.990848812474094
"prevalence_filter","Genus",725,376,0.658492279745686,5255368,1975169,0.726829556366284
"prevalence_filter","Species",181,920,0.164396003633061,3529298,3701239,0.488110080897173
"prevalence_filter","Species_addSpecies",349,752,0.316984559491372,4490684,2739853,0.621071989535494
"mean_abundance_filter","Kingdom",175,0,1,7133190,0,1
"mean_abundance_filter","Phylum",175,0,1,7133190,0,1
"mean_abundance_filter","Class",175,0,1,7133190,0,1
"mean_abundance_filter","Order",175,0,1,7133190,0,1
"mean_abundance_filter","Family",167,8,0.954285714285714,7074179,59011,0.991727263678663
"mean_abundance_filter","Genus",154,21,0.88,5183229,1949961,0.726635488470095
"mean_abundance_filter","Species",62,113,0.354285714285714,3509310,3623880,0.491969231157449
"mean_abundance_filter","Species_addSpecies",105,70,0.6,4452658,2680532,0.6242169352001
"final_all_samples","Kingdom",175,0,1,7133190,0,1
"final_all_samples","Phylum",175,0,1,7133190,0,1
"final_all_samples","Class",175,0,1,7133190,0,1
"final_all_samples","Order",175,0,1,7133190,0,1
"final_all_samples","Family",167,8,0.954285714285714,7074179,59011,0.991727263678663
"final_all_samples","Genus",154,21,0.88,5183229,1949961,0.726635488470095
"final_all_samples","Species",62,113,0.354285714285714,3509310,3623880,0.491969231157449
"final_all_samples","Species_addSpecies",105,70,0.6,4452658,2680532,0.6242169352001
"final_biological_intestine","Kingdom",169,0,1,6931390,0,1
"final_biological_intestine","Phylum",169,0,1,6931390,0,1
"final_biological_intestine","Class",169,0,1,6931390,0,1
"final_biological_intestine","Order",169,0,1,6931390,0,1
"final_biological_intestine","Family",162,7,0.958579881656805,6923060,8330,0.998798220847478
"final_biological_intestine","Genus",149,20,0.881656804733728,5091484,1839906,0.734554541008369
"final_biological_intestine","Species",60,109,0.355029585798817,3474983,3456407,0.501339990968623
"final_biological_intestine","Species_addSpecies",100,69,0.591715976331361,4396315,2535075,0.634261670458595
