sample_id	sample_type	include_biological_analysis	diet_code	timepoint_day	group	pairs_processed	r1_with_adapter_pct	r2_with_adapter_pct	pairs_too_short_pct	pairs_discarded_untrimmed_pct	pairs_written	pairs_written_pct	r1_trimmed	r2_trimmed	sample_log	reads.in	reads.out	filtered_input	filtered_output	denoised_forward	denoised_reverse	merged	nonchim	filter_retention_pct	merge_retention_pct	nonchim_retention_pct	chimera_loss_pct	cutadapt_retention_pct	raw_to_nonchim_pct
M1	Mock	no	NA	NA	Mock	75419	99.6	99.6	0	0	75419	100	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/M1_R1.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/M1_R2.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/sample_logs/M1.cutadapt.log	75419	68966	75419	68966	68587	68405	64545	38031	91.4438006337926	85.5818825494902	50.4262851536085	35.1555973958817	100	50.4262851536085
M2	Mock	no	NA	NA	Mock	63164	99.7	99.8	0	0	63164	100	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/M2_R1.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/M2_R2.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/sample_logs/M2.cutadapt.log	63164	58158	63164	58158	57708	57636	54709	32235	92.074599455386	86.6142106263061	51.0338167310493	35.5803938952568	100	51.0338167310493
X1.1t30	Intestine	yes	X	30	X.t30	69656	99.6	99.8	0	0	69656	100	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X1.1t30_R1.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X1.1t30_R2.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/sample_logs/X1.1t30.cutadapt.log	69656	64833	69656	64833	64816	64793	64786	55037	93.075973354772	93.0084989089239	79.0125760882049	13.995922820719	100	79.0125760882049
X1.1t7	Intestine	yes	X	7	X.t7	81909	99.4	92.5	0	0	81909	100	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X1.1t7_R1.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X1.1t7_R2.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/sample_logs/X1.1t7.cutadapt.log	81909	77144	81909	77144	76814	76612	70326	70309	94.1825684601204	85.8586968465004	85.837942106484	0.0207547400163596	100	85.837942106484
X1.1t90	Intestine	yes	X	90	X.t90	65837	99.7	99	0	0	65837	100	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X1.1t90_R1.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X1.1t90_R2.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/sample_logs/X1.1t90.cutadapt.log	65837	61410	65837	61410	61324	61353	61212	59048	93.2758175494023	92.9750748059602	89.6881692665219	3.28690553943831	100	89.6881692665219
X1.2t30	Intestine	yes	X	30	X.t30	75345	99.8	99.7	0	0	75345	100	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X1.2t30_R1.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X1.2t30_R2.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/sample_logs/X1.2t30.cutadapt.log	75345	69058	75345	69058	69013	69003	68914	66628	91.6557170349725	91.4645961908554	88.4305527904971	3.03404340035835	100	88.4305527904971
X1.2t7	Intestine	yes	X	7	X.t7	62125	99.4	91.2	0	0	62125	100	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X1.2t7_R1.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X1.2t7_R2.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/sample_logs/X1.2t7.cutadapt.log	62125	57018	62125	57018	56781	56688	52422	52196	91.779476861167	84.3814889336016	84.0177062374246	0.363782696177062	100	84.0177062374246
X1.2t90	Intestine	yes	X	90	X.t90	64382	99.7	99.6	0	0	64382	100	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X1.2t90_R1.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X1.2t90_R2.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/sample_logs/X1.2t90.cutadapt.log	64382	58856	64382	58856	58807	58847	58769	56124	91.4168556428816	91.2817247056631	87.1734335683887	4.10829113727439	100	87.1734335683887
X1.3t30	Intestine	yes	X	30	X.t30	63556	99.6	98.4	0	0	63556	100	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X1.3t30_R1.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X1.3t30_R2.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/sample_logs/X1.3t30.cutadapt.log	63556	57927	63556	57927	57793	57877	57688	57242	91.1432437535402	90.7671974321858	90.0654540877337	0.701743344452137	100	90.0654540877337
X1.3t7	Intestine	yes	X	7	X.t7	63569	99.7	97	0	0	63569	100	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X1.3t7_R1.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X1.3t7_R2.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/sample_logs/X1.3t7.cutadapt.log	63569	56825	63569	56825	56526	56552	54233	49561	89.3910553886328	85.3135962497444	77.9641019994022	7.34949425034215	100	77.9641019994022
X1.3t90	Intestine	yes	X	90	X.t90	63635	99.6	92.7	0	0	63635	100	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X1.3t90_R1.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X1.3t90_R2.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/sample_logs/X1.3t90.cutadapt.log	63635	58439	63635	58439	58387	58336	58305	57396	91.8346821717608	91.6241062308478	90.1956470495796	1.42845918126817	100	90.1956470495796
X1.4t30	Intestine	yes	X	30	X.t30	65358	99.6	99.7	0	0	65358	100	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X1.4t30_R1.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X1.4t30_R2.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/sample_logs/X1.4t30.cutadapt.log	65358	60625	65358	60625	60583	60599	60535	52099	92.7583463386273	92.6206432265369	79.7132715199363	12.9073717066006	100	79.7132715199363
X1.4t7	Intestine	yes	X	7	X.t7	76027	99.6	95.8	0	0	76027	100	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X1.4t7_R1.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X1.4t7_R2.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/sample_logs/X1.4t7.cutadapt.log	76027	68881	76027	68881	68701	68601	67564	65525	90.6007076433372	88.8684283215174	86.1864863798387	2.68194194167861	100	86.1864863798387
X1.4t90	Intestine	yes	X	90	X.t90	65964	99.7	99.7	0	0	65964	100	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X1.4t90_R1.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X1.4t90_R2.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/sample_logs/X1.4t90.cutadapt.log	65964	59942	65964	59942	59890	59885	59779	57543	90.8707780001213	90.6236735188891	87.233945788612	3.38972773027712	100	87.233945788612
X1.5t30	Intestine	yes	X	30	X.t30	78607	99.6	89.2	0	0	78607	100	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X1.5t30_R1.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X1.5t30_R2.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/sample_logs/X1.5t30.cutadapt.log	78607	72906	78607	72906	72835	72806	72437	71077	92.7474652384648	92.1508262622922	90.4207004465251	1.73012581576704	100	90.4207004465251
X1.5t7	Intestine	yes	X	7	X.t7	66218	99.5	98.2	0	0	66218	100	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X1.5t7_R1.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X1.5t7_R2.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/sample_logs/X1.5t7.cutadapt.log	66218	59708	66218	59708	59220	59192	57357	56215	90.1688362680842	86.6184421154369	84.8938355130025	1.72460660243438	100	84.8938355130025
X1.5t90	Intestine	yes	X	90	X.t90	64173	99.5	99.3	0	0	64173	100	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X1.5t90_R1.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X1.5t90_R2.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/sample_logs/X1.5t90.cutadapt.log	64173	59591	64173	59591	59481	59535	59366	56855	92.8599255138454	92.5093107693267	88.5964502204977	3.91286054882895	100	88.5964502204977
X2.1t30	Intestine	yes	X	30	X.t30	64301	99.7	99.5	0	0	64301	100	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X2.1t30_R1.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X2.1t30_R2.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/sample_logs/X2.1t30.cutadapt.log	64301	59077	64301	59077	59001	59018	58925	53953	91.8757095535062	91.6393213169313	83.9069376837063	7.73238363322499	100	83.9069376837063
X2.1t7	Intestine	yes	X	7	X.t7	62030	99.6	86.7	0	0	62030	100	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X2.1t7_R1.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X2.1t7_R2.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/sample_logs/X2.1t7.cutadapt.log	62030	54110	62030	54110	53894	53872	46426	43573	87.2319845236176	74.8444301144608	70.2450427212639	4.59938739319684	100	70.2450427212639
