sample_id	r1_source	r2_source	r1_md5_expected	r2_md5_expected	sample_type	include_qc	include_biological_analysis	diet_code	diet_label	hydrolysate_percent	fishmeal_percent	timepoint_day	tank	fish	group	r1_size_bytes	r2_size_bytes	r1_symlink	r2_symlink
M1	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/M1/M1.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/M1/M1.raw_2.fastq.gz	4c956cd7ab62e35eaf8b765e4b165f69	7bacf5476c01a23c1fa0cdfea5e5ceeb	Mock	yes	no	NA	mock_community	NA	NA	NA	NA	NA	Mock	3570261	3397456	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/M1/M1.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/M1/M1.raw_2.fastq.gz
M2	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/M2/M2.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/M2/M2.raw_2.fastq.gz	a265e97472d2c9fb2e60ec0858373b8a	69765216105feb80a45b6eb204943759	Mock	yes	no	NA	mock_community	NA	NA	NA	NA	NA	Mock	3081678	2840124	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/M2/M2.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/M2/M2.raw_2.fastq.gz
X1.1t30	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.1t30/X1.1t30.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.1t30/X1.1t30.raw_2.fastq.gz	e96a713761bb96b9a2fa1e30c8d9163c	7072a90e16a140dfd5a076b73696de13	Intestine	yes	yes	X	commercial_control	0	30	30	1	1	X.t30	3066292	2911808	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.1t30/X1.1t30.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.1t30/X1.1t30.raw_2.fastq.gz
X1.1t7	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.1t7/X1.1t7.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.1t7/X1.1t7.raw_2.fastq.gz	8045d2aabb0a9ea6177877d59ae447fa	e09b9acc8b0b1b4d5c1d9ea79a5d360a	Intestine	yes	yes	X	commercial_control	0	30	7	1	1	X.t7	4090183	3503240	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.1t7/X1.1t7.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.1t7/X1.1t7.raw_2.fastq.gz
X1.1t90	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.1t90/X1.1t90.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.1t90/X1.1t90.raw_2.fastq.gz	db1453a10b9a49321f8d4c78d1b793fb	426934e4b8a877bc25164b1cde57e112	Intestine	yes	yes	X	commercial_control	0	30	90	1	1	X.t90	3129829	2755396	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.1t90/X1.1t90.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.1t90/X1.1t90.raw_2.fastq.gz
X1.2t30	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.2t30/X1.2t30.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.2t30/X1.2t30.raw_2.fastq.gz	775213805244af3969d735394978adc6	cae3b0601cddce6071cb5e83b1b9b1ca	Intestine	yes	yes	X	commercial_control	0	30	30	1	2	X.t30	3385157	3257347	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.2t30/X1.2t30.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.2t30/X1.2t30.raw_2.fastq.gz
X1.2t7	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.2t7/X1.2t7.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.2t7/X1.2t7.raw_2.fastq.gz	528676deaf40b033537ece00c1fd1893	3730e8927e49eaf7ce79fbdab079fa7c	Intestine	yes	yes	X	commercial_control	0	30	7	1	2	X.t7	3175794	2952511	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.2t7/X1.2t7.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.2t7/X1.2t7.raw_2.fastq.gz
X1.2t90	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.2t90/X1.2t90.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.2t90/X1.2t90.raw_2.fastq.gz	6ce8940d52ad70469e6672255038c725	f6277a04ce0ef8ba4bbd6a47e3fcb2e2	Intestine	yes	yes	X	commercial_control	0	30	90	1	2	X.t90	2925697	2811905	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.2t90/X1.2t90.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.2t90/X1.2t90.raw_2.fastq.gz
X1.3t30	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.3t30/X1.3t30.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.3t30/X1.3t30.raw_2.fastq.gz	206e70ba9555d855598e5f70ee557821	3c7a87c3cb333db7d9edab204e38edf6	Intestine	yes	yes	X	commercial_control	0	30	30	1	3	X.t30	3054861	2881915	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.3t30/X1.3t30.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.3t30/X1.3t30.raw_2.fastq.gz
X1.3t7	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.3t7/X1.3t7.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.3t7/X1.3t7.raw_2.fastq.gz	5c6184fecf66d62113831252e6d376d7	fd7afcc606bb892dc46f97f417e8caa3	Intestine	yes	yes	X	commercial_control	0	30	7	1	3	X.t7	4064542	4116820	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.3t7/X1.3t7.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.3t7/X1.3t7.raw_2.fastq.gz
X1.3t90	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.3t90/X1.3t90.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.3t90/X1.3t90.raw_2.fastq.gz	ee7bdd8b33780a0d887b996f55824b4e	efd2bc6740210ac9747f4c780043ed98	Intestine	yes	yes	X	commercial_control	0	30	90	1	3	X.t90	3011853	3015628	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.3t90/X1.3t90.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.3t90/X1.3t90.raw_2.fastq.gz
