sample_id	input_path	reads.in	reads.out	filt_f	filt_r
M1	M1_R1.trimmed.fastq.gz	75419	68966	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/M1_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/M1_R2.filtered.fastq.gz
M2	M2_R1.trimmed.fastq.gz	63164	58158	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/M2_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/M2_R2.filtered.fastq.gz
X1.1t30	X1.1t30_R1.trimmed.fastq.gz	69656	64833	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X1.1t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X1.1t30_R2.filtered.fastq.gz
X1.1t7	X1.1t7_R1.trimmed.fastq.gz	81909	77144	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X1.1t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X1.1t7_R2.filtered.fastq.gz
X1.1t90	X1.1t90_R1.trimmed.fastq.gz	65837	61410	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X1.1t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X1.1t90_R2.filtered.fastq.gz
X1.2t30	X1.2t30_R1.trimmed.fastq.gz	75345	69058	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X1.2t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X1.2t30_R2.filtered.fastq.gz
X1.2t7	X1.2t7_R1.trimmed.fastq.gz	62125	57018	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X1.2t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X1.2t7_R2.filtered.fastq.gz
X1.2t90	X1.2t90_R1.trimmed.fastq.gz	64382	58856	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X1.2t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X1.2t90_R2.filtered.fastq.gz
X1.3t30	X1.3t30_R1.trimmed.fastq.gz	63556	57927	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X1.3t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X1.3t30_R2.filtered.fastq.gz
X1.3t7	X1.3t7_R1.trimmed.fastq.gz	63569	56825	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X1.3t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X1.3t7_R2.filtered.fastq.gz
