sample_id	filtered_input	filtered_output	denoised_forward	denoised_reverse	merged	nonchim	filter_retention_pct	merge_retention_pct	nonchim_retention_pct	chimera_loss_pct
M1	75419	68966	68587	68405	64545	38031	91.4438006337926	85.5818825494902	50.4262851536085	35.1555973958817
M2	63164	58158	57708	57636	54709	32235	92.074599455386	86.6142106263061	51.0338167310493	35.5803938952568
X1.1t30	69656	64833	64816	64793	64786	55037	93.075973354772	93.0084989089239	79.0125760882049	13.995922820719
X1.1t7	81909	77144	76814	76612	70326	70309	94.1825684601204	85.8586968465004	85.837942106484	0.0207547400163596
X1.1t90	65837	61410	61324	61353	61212	59048	93.2758175494023	92.9750748059602	89.6881692665219	3.28690553943831
X1.2t30	75345	69058	69013	69003	68914	66628	91.6557170349725	91.4645961908554	88.4305527904971	3.03404340035835
X1.2t7	62125	57018	56781	56688	52422	52196	91.779476861167	84.3814889336016	84.0177062374246	0.363782696177062
X1.2t90	64382	58856	58807	58847	58769	56124	91.4168556428816	91.2817247056631	87.1734335683887	4.10829113727439
X1.3t30	63556	57927	57793	57877	57688	57242	91.1432437535402	90.7671974321858	90.0654540877337	0.701743344452137
X1.3t7	63569	56825	56526	56552	54233	49561	89.3910553886328	85.3135962497444	77.9641019994022	7.34949425034215
X1.3t90	63635	58439	58387	58336	58305	57396	91.8346821717608	91.6241062308478	90.1956470495796	1.42845918126817
X1.4t30	65358	60625	60583	60599	60535	52099	92.7583463386273	92.6206432265369	79.7132715199363	12.9073717066006
X1.4t7	76027	68881	68701	68601	67564	65525	90.6007076433372	88.8684283215174	86.1864863798387	2.68194194167861
X1.4t90	65964	59942	59890	59885	59779	57543	90.8707780001213	90.6236735188891	87.233945788612	3.38972773027712
X1.5t30	78607	72906	72835	72806	72437	71077	92.7474652384648	92.1508262622922	90.4207004465251	1.73012581576704
X1.5t7	66218	59708	59220	59192	57357	56215	90.1688362680842	86.6184421154369	84.8938355130025	1.72460660243438
X1.5t90	64173	59591	59481	59535	59366	56855	92.8599255138454	92.5093107693267	88.5964502204977	3.91286054882895
X2.1t30	64301	59077	59001	59018	58925	53953	91.8757095535062	91.6393213169313	83.9069376837063	7.73238363322499
X2.1t7	62030	54110	53894	53872	46426	43573	87.2319845236176	74.8444301144608	70.2450427212639	4.59938739319684
X2.1t90	63727	59564	59545	59553	59477	57773	93.4674470789461	93.3309272364932	90.6570213567248	2.67390587976839
X2.2t30	62029	55250	55202	55226	55199	54720	89.0712408712054	88.9890212642474	88.2168018185043	0.77221944574312
X2.2t7	65290	60049	60012	60040	60007	57825	91.9727370194517	91.9084086383826	88.566396079032	3.34201255935059
X2.2t90	47463	44008	43883	43888	43494	42420	92.7206455554853	91.6376967321914	89.3748814866317	2.2628152455597
X2.3t30	65270	59527	59457	59403	59314	58075	91.2011643940555	90.8748276390378	88.9765589091466	1.89826872989122
X2.3t7	63348	58787	58725	58766	58697	56945	92.8000884005809	92.6580160383911	89.8923407210962	2.76567531729494
X2.3t90	60140	55623	55578	55564	55503	53666	92.4891918856003	92.2896574659129	89.235118057865	3.05453940804789
X2.4t30	65068	58373	58323	58332	58286	57890	89.710764123686	89.5770578471753	88.9684637609885	0.608594086186758
X2.4t7	79128	72511	72417	72407	64535	63680	91.6375998382368	81.5577292488121	80.4772014963098	1.08052775250227
X2.4t90	83523	79340	79268	79271	79231	79207	94.9917986662357	94.8612956910073	94.832561090957	0.0287346000502856
X2.5t30	63981	58343	58310	58311	58293	57897	91.1880089401541	91.1098607399072	90.4909269939513	0.618933745955831
X2.5t7	65788	59504	59310	59325	59134	58859	90.4481060375752	89.8856934395331	89.4676840761233	0.41800936340974
X2.5t90	31070	28762	28714	28694	28661	28644	92.5716124879305	92.2465400708078	92.1918249114902	0.0547151593176698
X3	62075	57155	56640	56549	54129	48092	92.0741039065646	87.1993556182038	77.4740233588401	9.72533225936367
X3.1t30	69434	63060	62778	62767	62100	60633	90.8200593369243	89.4374513926895	87.3246536279056	2.11279776478382
X3.1t7	62299	55044	53595	53342	47055	35698	88.3545482270984	75.5309073981926	57.3010802741617	18.2298271240309
X3.1t90	43001	39579	39439	39402	39190	39087	92.0420455338248	91.137415408944	90.8978860956722	0.239529313271784
X3.2t30	64707	58642	58592	58615	58576	48950	90.626980079435	90.5249818412227	75.6486933407514	14.8762885004714
X3.2t7	65614	58277	57048	57024	53220	45721	88.8179351967568	81.1107385618923	69.6817752308959	11.4289633309964
X3.2t90	34388	32143	32059	32073	31849	30262	93.4715598464581	92.6166104455043	88.0016284750494	4.61498197045481
X3.3t30	77303	69847	69813	69798	69266	68941	90.3548374577959	89.6032495504703	89.182826022276	0.420423528194249
X3.3t7	66010	56178	54680	54956	50575	38883	85.1052870777155	76.6171792152704	58.9047114073625	17.7124678079079
X3.3t90	84403	80062	79882	79906	79582	78950	94.8568178856202	94.2881177209341	93.5393291707641	0.748788550170018
X3.4t30	64628	58799	58663	58743	58618	57102	90.980689484434	90.7006251160488	88.3548926162035	2.34573249984527
X3.4t7	73099	61118	60234	60311	57176	48772	83.6098989042258	78.2172122737657	66.7204749722978	11.4967373014679
X3.4t90	79050	72950	72900	72929	72841	70034	92.2833649588868	92.1454775458571	88.5945604048071	3.55091714104997
X3.5t30	63142	57632	57570	57529	57494	54847	91.273637198695	91.0550821956859	86.8629438408666	4.1921383548193
X3.5t7	64719	60580	60354	60347	59099	53675	93.6046601461704	91.3163058761724	82.9354594477665	8.38084642840588
X3.5t90	65591	61466	61391	61409	61333	59852	93.7110274275434	93.5082557058133	91.250323977375	2.25793172843835
Y1.1t30	63156	57631	57614	57531	57526	56919	91.25182088796	91.0855659003103	90.124453733612	0.961112166698334
Y1.1t7	78919	68081	67535	67498	64187	53130	86.2669319175357	81.3327589046998	67.3221911073379	14.0105677973619
Y1.1t90	31454	29371	29301	29314	29222	28400	93.3776308259681	92.9039231894195	90.2905830736949	2.61334011572455
Y1.2t30	63660	59265	59205	59190	59139	58689	93.0961357210179	92.8982092365693	92.191328934967	0.706880301602262
Y1.2t7	66068	58603	58259	58220	56571	52173	88.7010352969668	85.6254162378156	78.9686383725858	6.65677786522976
Y1.2t90	82559	78650	78580	78578	78465	78182	95.2652042781526	95.0411221066147	94.6983369469107	0.342785159703969
Y1.3t30	68961	62758	62647	62679	62176	51303	91.0050608314845	90.1611055524137	74.3942228215948	15.7668827308189
Y1.3t7	64852	58832	58697	58669	58151	56093	90.7173256029112	89.6672423363967	86.493862949485	3.17337938691174
Y1.3t90	91938	87593	87403	87554	87345	86842	95.273988992582	95.0042419891666	94.4571341556266	0.547107833539994
Y1.4t30	78161	71820	71775	71772	71732	71135	91.8872583513517	91.7746702319571	91.0108621947007	0.763808037256432
Y1.4t7	79008	69861	69719	69516	68645	62251	88.4226913730255	86.8836067233698	78.7907553665452	8.09285135682463
Y1.4t90	37066	34427	34305	34295	34176	33421	92.8802676307128	92.2030971780068	90.1661900393892	2.0369071386176
Y1.5t30	67121	61458	61316	61359	61202	50278	91.5629981674886	91.1815974136261	74.9065121199029	16.2750852937233
Y1.5t7	62899	58342	58164	58229	58094	54959	92.7550517496304	92.3607688516511	87.3765878630821	4.98418098856898
Y1.5t90	65348	60249	60199	60241	60124	55312	92.1971598212646	92.0058762318663	84.6422231743894	7.36365305747689
Y2.1t30	79583	72212	72138	72156	72008	51511	90.7379716773683	90.481635525175	64.7261349785758	25.7555005465992
Y2.1t7	65806	62071	61984	61973	61520	57090	94.3242257544905	93.486916086679	86.7550071422059	6.73190894447315
Y2.1t90	64702	58438	58397	58422	58382	58329	90.3186918487837	90.2321412011993	90.1502271954499	0.0819140057494359
Y2.2t30	65354	60972	60864	60896	60797	59583	93.2949781191664	93.027205679836	91.1696300149953	1.85757566484071
Y2.2t7	65628	59548	59441	59443	59348	58828	90.7356616078503	90.4309136344243	89.6385689035168	0.792344730907539
