sample_id	sample_id_clean	sample_type	include_qc	include_biological_analysis	diet_code	diet_label	hydrolysate_percent	fishmeal_percent	timepoint_day	tank	fish	group	forward_raw	reverse_raw	forward_symlink	reverse_symlink	treatment	treatment_label	timepoint_label
M1	Mock_M01	Mock	yes	no	NA	mock_community	NA	NA	NA	NA	NA	Mock	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/M1/M1.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/M1/M1.raw_2.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/M1/M1.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/M1/M1.raw_2.fastq.gz	Mock	mock_community	NA
M2	Mock_M02	Mock	yes	no	NA	mock_community	NA	NA	NA	NA	NA	Mock	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/M2/M2.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/M2/M2.raw_2.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/M2/M2.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/M2/M2.raw_2.fastq.gz	Mock	mock_community	NA
X1.1t30	Ctrl_D30_Tk1_F01	Intestine	yes	yes	Ctrl	control	0	30	30	1	1	Ctrl_D30	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.1t30/X1.1t30.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.1t30/X1.1t30.raw_2.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.1t30/X1.1t30.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.1t30/X1.1t30.raw_2.fastq.gz	Ctrl	control	D30
X1.1t7	Ctrl_D07_Tk1_F01	Intestine	yes	yes	Ctrl	control	0	30	7	1	1	Ctrl_D07	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.1t7/X1.1t7.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.1t7/X1.1t7.raw_2.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.1t7/X1.1t7.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.1t7/X1.1t7.raw_2.fastq.gz	Ctrl	control	D07
X1.1t90	Ctrl_D90_Tk1_F01	Intestine	yes	yes	Ctrl	control	0	30	90	1	1	Ctrl_D90	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.1t90/X1.1t90.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.1t90/X1.1t90.raw_2.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.1t90/X1.1t90.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.1t90/X1.1t90.raw_2.fastq.gz	Ctrl	control	D90
X1.2t30	Ctrl_D30_Tk1_F02	Intestine	yes	yes	Ctrl	control	0	30	30	1	2	Ctrl_D30	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.2t30/X1.2t30.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.2t30/X1.2t30.raw_2.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.2t30/X1.2t30.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.2t30/X1.2t30.raw_2.fastq.gz	Ctrl	control	D30
X1.2t7	Ctrl_D07_Tk1_F02	Intestine	yes	yes	Ctrl	control	0	30	7	1	2	Ctrl_D07	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.2t7/X1.2t7.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.2t7/X1.2t7.raw_2.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.2t7/X1.2t7.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.2t7/X1.2t7.raw_2.fastq.gz	Ctrl	control	D07
X1.2t90	Ctrl_D90_Tk1_F02	Intestine	yes	yes	Ctrl	control	0	30	90	1	2	Ctrl_D90	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.2t90/X1.2t90.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.2t90/X1.2t90.raw_2.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.2t90/X1.2t90.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.2t90/X1.2t90.raw_2.fastq.gz	Ctrl	control	D90
X1.3t30	Ctrl_D30_Tk1_F03	Intestine	yes	yes	Ctrl	control	0	30	30	1	3	Ctrl_D30	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.3t30/X1.3t30.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.3t30/X1.3t30.raw_2.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.3t30/X1.3t30.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.3t30/X1.3t30.raw_2.fastq.gz	Ctrl	control	D30
X1.3t7	Ctrl_D07_Tk1_F03	Intestine	yes	yes	Ctrl	control	0	30	7	1	3	Ctrl_D07	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.3t7/X1.3t7.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.3t7/X1.3t7.raw_2.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.3t7/X1.3t7.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.3t7/X1.3t7.raw_2.fastq.gz	Ctrl	control	D07
