asv_id	Kingdom	Phylum	Class	Order	Family	Genus	Species	Species_addSpecies
ASV03362	NA	NA	NA	NA	NA	NA	NA	NA
ASV09862	Eukaryota	NA	NA	NA	NA	NA	NA	NA
ASV04360	NA	NA	NA	NA	NA	NA	NA	NA
ASV12210	NA	NA	NA	NA	NA	NA	NA	NA
ASV01250	NA	NA	NA	NA	NA	NA	NA	NA
ASV14196	Eukaryota	NA	NA	NA	NA	NA	NA	NA
ASV01924	NA	NA	NA	NA	NA	NA	NA	NA
ASV09855	NA	NA	NA	NA	NA	NA	NA	NA
ASV02736	NA	NA	NA	NA	NA	NA	NA	NA
ASV03203	NA	NA	NA	NA	NA	NA	NA	NA
ASV11265	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	NA	NA
ASV14532	NA	NA	NA	NA	NA	NA	NA	NA
ASV12363	NA	NA	NA	NA	NA	NA	NA	NA
ASV07442	NA	NA	NA	NA	NA	NA	NA	NA
ASV09544	Bacteria	NA	NA	NA	NA	NA	NA	NA
ASV14224	Bacteria	NA	NA	NA	NA	NA	NA	NA
ASV07163	NA	NA	NA	NA	NA	NA	NA	NA
ASV10285	NA	NA	NA	NA	NA	NA	NA	NA
ASV13477	NA	NA	NA	NA	NA	NA	NA	NA
ASV04178	NA	NA	NA	NA	NA	NA	NA	NA
ASV04784	NA	NA	NA	NA	NA	NA	NA	NA
ASV04933	NA	NA	NA	NA	NA	NA	NA	NA
ASV07947	NA	NA	NA	NA	NA	NA	NA	NA
ASV05488	NA	NA	NA	NA	NA	NA	NA	NA
ASV11709	NA	NA	NA	NA	NA	NA	NA	NA
ASV13131	NA	NA	NA	NA	NA	NA	NA	NA
ASV11732	NA	NA	NA	NA	NA	NA	NA	NA
ASV11685	NA	NA	NA	NA	NA	NA	NA	NA
ASV11182	NA	NA	NA	NA	NA	NA	NA	NA
ASV06510	NA	NA	NA	NA	NA	NA	NA	NA
ASV11106	NA	NA	NA	NA	NA	NA	NA	NA
ASV11875	NA	NA	NA	NA	NA	NA	NA	NA
ASV03970	NA	NA	NA	NA	NA	NA	NA	NA
ASV08630	Bacteria	NA	NA	NA	NA	NA	NA	NA
ASV09861	Bacteria	NA	NA	NA	NA	NA	NA	NA
ASV10764	Bacteria	NA	NA	NA	NA	NA	NA	NA
ASV07686	Bacteria	NA	NA	NA	NA	NA	NA	NA
ASV08534	Bacteria	NA	NA	NA	NA	NA	NA	NA
ASV14195	NA	NA	NA	NA	NA	NA	NA	NA
ASV12190	NA	NA	NA	NA	NA	NA	NA	NA
