"assemblage","sequencing_depth","Method","expected_asvs","timepoint","hydro_group","samples","total_reads","observed_asvs_pooled"
"D07__Ctrl",0,"Rarefaction",0,"D07","Ctrl",15,623651,141
"D07__Ctrl",1000,"Rarefaction",82.3952118809779,"D07","Ctrl",15,623651,141
"D07__Ctrl",2000,"Rarefaction",103.734460724262,"D07","Ctrl",15,623651,141
"D07__Ctrl",3000,"Rarefaction",113.981244682474,"D07","Ctrl",15,623651,141
"D07__Ctrl",4000,"Rarefaction",119.783652989732,"D07","Ctrl",15,623651,141
"D07__Ctrl",5000,"Rarefaction",123.424202134006,"D07","Ctrl",15,623651,141
"D07__Ctrl",6000,"Rarefaction",125.888934093382,"D07","Ctrl",15,623651,141
"D07__Ctrl",7000,"Rarefaction",127.660556838677,"D07","Ctrl",15,623651,141
"D07__Ctrl",8000,"Rarefaction",128.996643663325,"D07","Ctrl",15,623651,141
"D07__Ctrl",9000,"Rarefaction",130.044204049723,"D07","Ctrl",15,623651,141
"D07__Ctrl",10000,"Rarefaction",130.891917118872,"D07","Ctrl",15,623651,141
"D07__Ctrl",11000,"Rarefaction",131.595820560503,"D07","Ctrl",15,623651,141
"D07__Ctrl",12000,"Rarefaction",132.192756395523,"D07","Ctrl",15,623651,141
"D07__Ctrl",13000,"Rarefaction",132.707792220878,"D07","Ctrl",15,623651,141
"D07__Ctrl",14000,"Rarefaction",133.158508233179,"D07","Ctrl",15,623651,141
"D07__Ctrl",15000,"Rarefaction",133.557572406219,"D07","Ctrl",15,623651,141
"D07__Ctrl",16000,"Rarefaction",133.914340219795,"D07","Ctrl",15,623651,141
"D07__Ctrl",17000,"Rarefaction",134.235877780564,"D07","Ctrl",15,623651,141
"D07__Ctrl",18000,"Rarefaction",134.527633104076,"D07","Ctrl",15,623651,141
"D07__Ctrl",19000,"Rarefaction",134.793886705085,"D07","Ctrl",15,623651,141
"D07__Ctrl",20000,"Rarefaction",135.038060359814,"D07","Ctrl",15,623651,141
"D07__Ctrl",21000,"Rarefaction",135.262932734418,"D07","Ctrl",15,623651,141
"D07__Ctrl",22000,"Rarefaction",135.470792651193,"D07","Ctrl",15,623651,141
"D07__Ctrl",23000,"Rarefaction",135.663549844196,"D07","Ctrl",15,623651,141
"D07__Ctrl",24000,"Rarefaction",135.84281625535,"D07","Ctrl",15,623651,141
"D07__Ctrl",25000,"Rarefaction",136.009966597273,"D07","Ctrl",15,623651,141
"D07__Ctrl",26000,"Rarefaction",136.166184110309,"D07","Ctrl",15,623651,141
"D07__Ctrl",27000,"Rarefaction",136.312495602886,"D07","Ctrl",15,623651,141
"D07__Ctrl",28000,"Rarefaction",136.449798630043,"D07","Ctrl",15,623651,141
