"assemblage","sequencing_depth","Method","expected_asvs","timepoint","diet_code","samples","total_reads","observed_asvs_pooled"
"D07__BL15",0,"Rarefaction",0,"D07","BL15",15,746251,138
"D07__BL15",1000,"Rarefaction",51.232671842407,"D07","BL15",15,746251,138
"D07__BL15",2000,"Rarefaction",69.3927281367407,"D07","BL15",15,746251,138
"D07__BL15",3000,"Rarefaction",81.2558325112675,"D07","BL15",15,746251,138
"D07__BL15",4000,"Rarefaction",89.6871899187503,"D07","BL15",15,746251,138
"D07__BL15",5000,"Rarefaction",96.0125692811722,"D07","BL15",15,746251,138
"D07__BL15",6000,"Rarefaction",100.943796117304,"D07","BL15",15,746251,138
"D07__BL15",7000,"Rarefaction",104.898555230529,"D07","BL15",15,746251,138
"D07__BL15",8000,"Rarefaction",108.139766734856,"D07","BL15",15,746251,138
"D07__BL15",9000,"Rarefaction",110.842475103704,"D07","BL15",15,746251,138
"D07__BL15",10000,"Rarefaction",113.128454027502,"D07","BL15",15,746251,138
"D07__BL15",11000,"Rarefaction",115.085368372659,"D07","BL15",15,746251,138
"D07__BL15",12000,"Rarefaction",116.778054429197,"D07","BL15",15,746251,138
"D07__BL15",13000,"Rarefaction",118.255521574114,"D07","BL15",15,746251,138
"D07__BL15",14000,"Rarefaction",119.55549412364,"D07","BL15",15,746251,138
"D07__BL15",15000,"Rarefaction",120.707464855484,"D07","BL15",15,746251,138
"D07__BL15",16000,"Rarefaction",121.734807836045,"D07","BL15",15,746251,138
"D07__BL15",17000,"Rarefaction",122.656274850464,"D07","BL15",15,746251,138
"D07__BL15",18000,"Rarefaction",123.487075922489,"D07","BL15",15,746251,138
"D07__BL15",19000,"Rarefaction",124.239672426019,"D07","BL15",15,746251,138
"D07__BL15",20000,"Rarefaction",124.924367659423,"D07","BL15",15,746251,138
"D07__BL15",21000,"Rarefaction",125.549752308666,"D07","BL15",15,746251,138
"D07__BL15",22000,"Rarefaction",126.123044434802,"D07","BL15",15,746251,138
"D07__BL15",23000,"Rarefaction",126.650351822044,"D07","BL15",15,746251,138
"D07__BL15",24000,"Rarefaction",127.136876492964,"D07","BL15",15,746251,138
"D07__BL15",25000,"Rarefaction",127.587075680577,"D07","BL15",15,746251,138
"D07__BL15",26000,"Rarefaction",128.00478968261,"D07","BL15",15,746251,138
"D07__BL15",27000,"Rarefaction",128.3933442737,"D07","BL15",15,746251,138
"D07__BL15",28000,"Rarefaction",128.755633399574,"D07","BL15",15,746251,138
"D07__BL15",29000,"Rarefaction",129.094186446562,"D07","BL15",15,746251,138
"D07__BL15",30000,"Rarefaction",129.411223350545,"D07","BL15",15,746251,138
"D07__BL15",31000,"Rarefaction",129.708700040705,"D07","BL15",15,746251,138
