"sample_id","object","reads","observed_asvs","rarefied_depth_common","expected_asvs_at_common_depth","expected_asvs_at_90pct_depth","final_slope_asvs_per_1000_reads","sample_id_clean","sample_type","include_qc","include_biological_analysis","diet_code","diet_label","hydrolysate_percent","fishmeal_percent","timepoint_day","tank","fish","group","forward_raw","reverse_raw","forward_symlink","reverse_symlink","treatment","treatment_label","timepoint_label","pairs_processed","pairs_written","reads.out","merged","nonchim","raw_to_nonchim_pct","timepoint","hydro_group","diet_label_short","diet_time"
"M1","raw_all_samples",38031,22,28400,21.8930931077219,21.9877777509953,0.00321299921258288,"Mock_M01","Mock","yes","no",,"mock_community",,,,,,"Mock","/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/M1/M1.raw_1.fastq.gz","/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/M1/M1.raw_2.fastq.gz","/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/M1/M1.raw_1.fastq.gz","/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/M1/M1.raw_2.fastq.gz","Mock","mock_community",,75419,75419,68966,64545,38031,50.4262851536085,,,,
"M2","raw_all_samples",32235,24,28400,23.9522995538782,23.9669001929473,0.0102666895324896,"Mock_M02","Mock","yes","no",,"mock_community",,,,,,"Mock","/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/M2/M2.raw_1.fastq.gz","/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/M2/M2.raw_2.fastq.gz","/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/M2/M2.raw_1.fastq.gz","/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/M2/M2.raw_2.fastq.gz","Mock","mock_community",,63164,63164,58158,54709,32235,51.0338167310493,,,,
"X1.1t30","raw_all_samples",55037,17,28400,16.7070240388691,16.9899006114089,0.00183491798530822,"Ctrl_D30_Tk1_F01","Intestine","yes","yes","Ctrl","control",0,30,30,1,1,"Ctrl_D30","/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.1t30/X1.1t30.raw_1.fastq.gz","/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.1t30/X1.1t30.raw_2.fastq.gz","/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.1t30/X1.1t30.raw_1.fastq.gz","/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.1t30/X1.1t30.raw_2.fastq.gz","Ctrl","control","D30",69656,69656,64833,64786,55037,79.0125760882049,"D30","Ctrl","Control","Ctrl_D30"
"X1.1t7","raw_all_samples",70309,158,28400,143.683718258055,157.780576725507,0.0312079753225649,"Ctrl_D07_Tk1_F01","Intestine","yes","yes","Ctrl","control",0,30,7,1,1,"Ctrl_D07","/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.1t7/X1.1t7.raw_1.fastq.gz","/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.1t7/X1.1t7.raw_2.fastq.gz","/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.1t7/X1.1t7.raw_1.fastq.gz","/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.1t7/X1.1t7.raw_2.fastq.gz","Ctrl","control","D07",81909,81909,77144,70326,70309,85.837942106484,"D07","Ctrl","Control","Ctrl_D07"
"X1.1t90","raw_all_samples",59048,46,28400,43.7766929443321,45.9617832722795,0.00647192679432009,"Ctrl_D90_Tk1_F01","Intestine","yes","yes","Ctrl","control",0,30,90,1,1,"Ctrl_D90","/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.1t90/X1.1t90.raw_1.fastq.gz","/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.1t90/X1.1t90.raw_2.fastq.gz","/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.1t90/X1.1t90.raw_1.fastq.gz","/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.1t90/X1.1t90.raw_2.fastq.gz","Ctrl","control","D90",65837,65837,61410,61212,59048,89.6881692665219,"D90","Ctrl","Control","Ctrl_D90"
"X1.2t30","raw_all_samples",66628,11,28400,10.8999462736693,10.9999890138377,1.64883120827594e-06,"Ctrl_D30_Tk1_F02","Intestine","yes","yes","Ctrl","control",0,30,30,1,2,"Ctrl_D30","/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.2t30/X1.2t30.raw_1.fastq.gz","/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.2t30/X1.2t30.raw_2.fastq.gz","/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.2t30/X1.2t30.raw_1.fastq.gz","/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.2t30/X1.2t30.raw_2.fastq.gz","Ctrl","control","D30",75345,75345,69058,68914,66628,88.4305527904971,"D30","Ctrl","Control","Ctrl_D30"
"X1.2t7","raw_all_samples",52196,115,28400,113.584022048502,114.956558719626,0.00832208436290281,"Ctrl_D07_Tk1_F02","Intestine","yes","yes","Ctrl","control",0,30,7,1,2,"Ctrl_D07","/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.2t7/X1.2t7.raw_1.fastq.gz","/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.2t7/X1.2t7.raw_2.fastq.gz","/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.2t7/X1.2t7.raw_1.fastq.gz","/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.2t7/X1.2t7.raw_2.fastq.gz","Ctrl","control","D07",62125,62125,57018,52422,52196,84.0177062374246,"D07","Ctrl","Control","Ctrl_D07"
"X1.2t90","raw_all_samples",56124,14,28400,13.6354597619497,13.9889996259209,0.00195980297151118,"Ctrl_D90_Tk1_F02","Intestine","yes","yes","Ctrl","control",0,30,90,1,2,"Ctrl_D90","/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.2t90/X1.2t90.raw_1.fastq.gz","/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.2t90/X1.2t90.raw_2.fastq.gz","/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.2t90/X1.2t90.raw_1.fastq.gz","/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.2t90/X1.2t90.raw_2.fastq.gz","Ctrl","control","D90",64382,64382,58856,58769,56124,87.1734335683887,"D90","Ctrl","Control","Ctrl_D90"
"X1.3t30","raw_all_samples",57242,46,28400,45.0311120415094,45.9858750369283,0.00246724245794654,"Ctrl_D30_Tk1_F03","Intestine","yes","yes","Ctrl","control",0,30,30,1,3,"Ctrl_D30","/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.3t30/X1.3t30.raw_1.fastq.gz","/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.3t30/X1.3t30.raw_2.fastq.gz","/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.3t30/X1.3t30.raw_1.fastq.gz","/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.3t30/X1.3t30.raw_2.fastq.gz","Ctrl","control","D30",63556,63556,57927,57688,57242,90.0654540877337,"D30","Ctrl","Control","Ctrl_D30"
"X1.3t7","raw_all_samples",49561,953,28400,950.583108161611,952.851727631736,0.0299117143966745,"Ctrl_D07_Tk1_F03","Intestine","yes","yes","Ctrl","control",0,30,7,1,3,"Ctrl_D07","/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.3t7/X1.3t7.raw_1.fastq.gz","/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.3t7/X1.3t7.raw_2.fastq.gz","/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.3t7/X1.3t7.raw_1.fastq.gz","/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.3t7/X1.3t7.raw_2.fastq.gz","Ctrl","control","D07",63569,63569,56825,54233,49561,77.9641019994022,"D07","Ctrl","Control","Ctrl_D07"
