"tax_level","timepoint","group","taxon_plot","mean_rel_abundance","percent"
"Family","D07","Ctrl","Vibrionaceae",0.279750906313557,27.9750906313557
"Family","D07","Ctrl","Comamonadaceae",0.162163468563579,16.2163468563579
"Family","D07","Ctrl","Morganellaceae",0.153633511398628,15.3633511398628
"Family","D07","Ctrl","Fusobacteriaceae",0.10044497899825,10.044497899825
"Family","D07","Ctrl","Mycoplasmataceae",0.0656022495187019,6.56022495187019
"Family","D07","Ctrl","Others",0.0593499828947187,5.93499828947187
"Family","D07","Ctrl","Lachnospiraceae",0.0547434345658034,5.47434345658034
"Family","D07","Ctrl","Bacteroidaceae",0.0468974696426945,4.68974696426945
"Family","D07","Ctrl","Pseudomonadaceae",0.0238586555519359,2.38586555519359
"Family","D07","Ctrl","Bacillaceae",0.014725572472887,1.4725572472887
"Family","D07","Ctrl","Moraxellaceae",0.0108378329826567,1.08378329826567
"Family","D07","Ctrl","Streptococcaceae",0.00982722026111262,0.982722026111262
"Family","D07","Ctrl","Staphylococcaceae",0.00845414208775792,0.845414208775792
"Family","D07","Ctrl","Chloroplast",0.00478531178457678,0.478531178457678
"Family","D07","Ctrl","Propionibacteriaceae",0.00405936191812396,0.405936191812396
"Family","D07","Ctrl","Lactobacillaceae",0.000865901045017064,0.0865901045017064
"Family","D07","BL15","Vibrionaceae",0.631204173088405,63.1204173088405
"Family","D07","BL15","Comamonadaceae",0.201665244215544,20.1665244215544
"Family","D07","BL15","Morganellaceae",0.0637542266624027,6.37542266624027
"Family","D07","BL15","Others",0.0213923439388042,2.13923439388042
"Family","D07","BL15","Bacteroidaceae",0.0212925190767407,2.12925190767407
"Family","D07","BL15","Lachnospiraceae",0.0170203786964808,1.70203786964808
"Family","D07","BL15","Fusobacteriaceae",0.012447891042201,1.2447891042201
"Family","D07","BL15","Propionibacteriaceae",0.00753908046721115,0.753908046721115
"Family","D07","BL15","Streptococcaceae",0.00592700255988971,0.592700255988971
"Family","D07","BL15","Moraxellaceae",0.00573488222474723,0.573488222474723
"Family","D07","BL15","Staphylococcaceae",0.00474953616058299,0.474953616058299
