"tax_level","timepoint","group","taxon_plot","mean_rel_abundance","percent"
"Family","D07","Ctrl","Vibrionaceae",0.279750906313557,27.9750906313557
"Family","D07","Ctrl","Comamonadaceae",0.162163468563579,16.2163468563579
"Family","D07","Ctrl","Morganellaceae",0.153633511398628,15.3633511398628
"Family","D07","Ctrl","Fusobacteriaceae",0.10044497899825,10.044497899825
"Family","D07","Ctrl","Mycoplasmataceae",0.0656022495187019,6.56022495187019
"Family","D07","Ctrl","Others",0.0593499828947187,5.93499828947187
"Family","D07","Ctrl","Lachnospiraceae",0.0547434345658034,5.47434345658034
"Family","D07","Ctrl","Bacteroidaceae",0.0468974696426945,4.68974696426945
"Family","D07","Ctrl","Pseudomonadaceae",0.0238586555519359,2.38586555519359
"Family","D07","Ctrl","Bacillaceae",0.014725572472887,1.4725572472887
"Family","D07","Ctrl","Moraxellaceae",0.0108378329826567,1.08378329826567
"Family","D07","Ctrl","Streptococcaceae",0.00982722026111262,0.982722026111262
"Family","D07","Ctrl","Staphylococcaceae",0.00845414208775792,0.845414208775792
"Family","D07","Ctrl","Chloroplast",0.00478531178457678,0.478531178457678
"Family","D07","Ctrl","Propionibacteriaceae",0.00405936191812396,0.405936191812396
"Family","D07","Ctrl","Lactobacillaceae",0.000865901045017064,0.0865901045017064
"Family","D07","Hydrolysate","Vibrionaceae",0.614781965170304,61.4781965170304
"Family","D07","Hydrolysate","Comamonadaceae",0.129842727495354,12.9842727495354
"Family","D07","Hydrolysate","Morganellaceae",0.100314520309137,10.0314520309137
"Family","D07","Hydrolysate","Bacteroidaceae",0.0315943080049473,3.15943080049473
"Family","D07","Hydrolysate","Lachnospiraceae",0.0283584161093747,2.83584161093747
"Family","D07","Hydrolysate","Others",0.0217464268006632,2.17464268006632
"Family","D07","Hydrolysate","Moraxellaceae",0.0173444161156561,1.73444161156561
"Family","D07","Hydrolysate","Mycoplasmataceae",0.0157841765675167,1.57841765675167
"Family","D07","Hydrolysate","Fusobacteriaceae",0.0112934997077558,1.12934997077558
"Family","D07","Hydrolysate","Streptococcaceae",0.00782800318160096,0.782800318160096
