"tax_level","panel","timepoint","taxon_plot","mean_rel_abundance","percent"
"Family","Ctrl","D07","Vibrionaceae",0.279750906313557,27.9750906313557
"Family","Ctrl","D07","Comamonadaceae",0.162163468563579,16.2163468563579
"Family","Ctrl","D07","Morganellaceae",0.153633511398628,15.3633511398628
"Family","Ctrl","D07","Fusobacteriaceae",0.10044497899825,10.044497899825
"Family","Ctrl","D07","Mycoplasmataceae",0.0656022495187019,6.56022495187019
"Family","Ctrl","D07","Others",0.0593499828947187,5.93499828947187
"Family","Ctrl","D07","Lachnospiraceae",0.0547434345658034,5.47434345658034
"Family","Ctrl","D07","Bacteroidaceae",0.0468974696426945,4.68974696426945
"Family","Ctrl","D07","Pseudomonadaceae",0.0238586555519359,2.38586555519359
"Family","Ctrl","D07","Bacillaceae",0.014725572472887,1.4725572472887
"Family","Ctrl","D07","Moraxellaceae",0.0108378329826567,1.08378329826567
"Family","Ctrl","D07","Streptococcaceae",0.00982722026111262,0.982722026111262
"Family","Ctrl","D07","Staphylococcaceae",0.00845414208775792,0.845414208775792
"Family","Ctrl","D07","Chloroplast",0.00478531178457678,0.478531178457678
"Family","Ctrl","D07","Propionibacteriaceae",0.00405936191812396,0.405936191812396
"Family","Ctrl","D07","Lactobacillaceae",0.000865901045017064,0.0865901045017064
"Family","Ctrl","D30","Vibrionaceae",0.934475294756942,93.4475294756942
"Family","Ctrl","D30","Streptococcaceae",0.0241084828556443,2.41084828556443
"Family","Ctrl","D30","Lactobacillaceae",0.0214197752101745,2.14197752101745
"Family","Ctrl","D30","Fusobacteriaceae",0.0185739437412766,1.85739437412766
"Family","Ctrl","D30","Mycoplasmataceae",0.000697228644590642,0.0697228644590642
"Family","Ctrl","D30","Propionibacteriaceae",0.000330972547542868,0.0330972547542868
"Family","Ctrl","D30","Bacillaceae",0.000222657947278121,0.0222657947278121
"Family","Ctrl","D30","Others",0.000101869479550397,0.0101869479550397
"Family","Ctrl","D30","Moraxellaceae",2.75896664158515e-05,0.00275896664158515
"Family","Ctrl","D30","Staphylococcaceae",2.71362416305342e-05,0.00271362416305342
"Family","Ctrl","D30","Chloroplast",1.50489089541008e-05,0.00150489089541008
"Family","Ctrl","D30","Bacteroidaceae",0,0
"Family","Ctrl","D30","Comamonadaceae",0,0
"Family","Ctrl","D30","Lachnospiraceae",0,0
"Family","Ctrl","D30","Morganellaceae",0,0
"Family","Ctrl","D30","Pseudomonadaceae",0,0
"Family","Ctrl","D90","Mycoplasmataceae",0.522796136468771,52.2796136468771
"Family","Ctrl","D90","Vibrionaceae",0.376249489083551,37.6249489083551
"Family","Ctrl","D90","Fusobacteriaceae",0.0931661333308732,9.31661333308732
"Family","Ctrl","D90","Others",0.00531357066145695,0.531357066145695
"Family","Ctrl","D90","Chloroplast",0.000787979519324212,0.0787979519324212
"Family","Ctrl","D90","Lactobacillaceae",0.000559464544690497,0.0559464544690497
"Family","Ctrl","D90","Streptococcaceae",0.000367617502907231,0.0367617502907231
"Family","Ctrl","D90","Propionibacteriaceae",0.000359994912409151,0.0359994912409151
"Family","Ctrl","D90","Pseudomonadaceae",0.000137828820425001,0.0137828820425001
"Family","Ctrl","D90","Moraxellaceae",0.000132526387371024,0.0132526387371024
"Family","Ctrl","D90","Comamonadaceae",5.09267795836297e-05,0.00509267795836297
"Family","Ctrl","D90","Staphylococcaceae",4.24395505962412e-05,0.00424395505962412
"Family","Ctrl","D90","Bacillaceae",3.23802463455057e-05,0.00323802463455058
"Family","Ctrl","D90","Bacteroidaceae",3.51219169542274e-06,0.000351219169542274
"Family","Ctrl","D90","Lachnospiraceae",0,0
"Family","Ctrl","D90","Morganellaceae",0,0
"Family","Hydrolysate","D07","Vibrionaceae",0.614781965170304,61.4781965170304
"Family","Hydrolysate","D07","Comamonadaceae",0.129842727495354,12.9842727495354
"Family","Hydrolysate","D07","Morganellaceae",0.100314520309137,10.0314520309137
"Family","Hydrolysate","D07","Bacteroidaceae",0.0315943080049473,3.15943080049473
"Family","Hydrolysate","D07","Lachnospiraceae",0.0283584161093747,2.83584161093747
"Family","Hydrolysate","D07","Others",0.0217464268006632,2.17464268006632
"Family","Hydrolysate","D07","Moraxellaceae",0.0173444161156561,1.73444161156561
"Family","Hydrolysate","D07","Mycoplasmataceae",0.0157841765675167,1.57841765675167
"Family","Hydrolysate","D07","Fusobacteriaceae",0.0112934997077558,1.12934997077558
"Family","Hydrolysate","D07","Streptococcaceae",0.00782800318160096,0.782800318160096
"Family","Hydrolysate","D07","Staphylococcaceae",0.00603656990932162,0.603656990932162
"Family","Hydrolysate","D07","Propionibacteriaceae",0.00487795848402898,0.487795848402898
"Family","Hydrolysate","D07","Chloroplast",0.00478111671032032,0.478111671032032
"Family","Hydrolysate","D07","Bacillaceae",0.00384512411108168,0.384512411108168
"Family","Hydrolysate","D07","Pseudomonadaceae",0.00104943909858888,0.104943909858888
"Family","Hydrolysate","D07","Lactobacillaceae",0.000521332224349193,0.0521332224349193
"Family","Hydrolysate","D30","Vibrionaceae",0.860701822069931,86.0701822069931
"Family","Hydrolysate","D30","Mycoplasmataceae",0.0749081695701317,7.49081695701317
"Family","Hydrolysate","D30","Fusobacteriaceae",0.0559893486854168,5.59893486854168
"Family","Hydrolysate","D30","Others",0.00293600416535512,0.293600416535512
"Family","Hydrolysate","D30","Streptococcaceae",0.00217954793022176,0.217954793022176
"Family","Hydrolysate","D30","Propionibacteriaceae",0.0011315957972576,0.11315957972576
"Family","Hydrolysate","D30","Moraxellaceae",0.000941084631182645,0.0941084631182645
"Family","Hydrolysate","D30","Lactobacillaceae",0.000922772017406545,0.0922772017406545
"Family","Hydrolysate","D30","Staphylococcaceae",0.000177210985550426,0.0177210985550426
"Family","Hydrolysate","D30","Pseudomonadaceae",9.92292282998258e-05,0.00992292282998258
