"comparison_group","taxon_plot","mean_rel_abundance"
"Ctrl","Vibrionaceae",0.530158563384684
"Ctrl","Mycoplasmataceae",0.196365204877355
"Ctrl","Comamonadaceae",0.0540714651143875
"Ctrl","Fusobacteriaceae",0.0707283520234667
"Ctrl","Morganellaceae",0.0512111704662092
"Ctrl","Mitochondria",0.00031604741914326
"Ctrl","Bacteroidaceae",0.0156336606114633
"Ctrl","Chloroplast",0.0018627800709517
"Ctrl","Lachnospiraceae",0.0182478115219345
"Ctrl","Streptococcaceae",0.0114344402065547
"Ctrl","Others",0.0228558700521241
"Ctrl","Lactobacillaceae",0.00761504693329401
"Ctrl","Moraxellaceae",0.00366598301214786
"Ctrl","Bacillaceae",0.00499353688883689
"Ctrl","Pseudomonadaceae",0.00799882812412031
"Ctrl","Staphylococcaceae",0.00284123929332823
"Feed","Vibrionaceae",0
"Feed","Mycoplasmataceae",0
"Feed","Comamonadaceae",0
"Feed","Fusobacteriaceae",0
"Feed","Morganellaceae",0
"Feed","Mitochondria",0.449756888404478
"Feed","Bacteroidaceae",0
"Feed","Chloroplast",0.384311199569174
"Feed","Lachnospiraceae",0
"Feed","Streptococcaceae",0.011005098967859
"Feed","Others",0.00154557856541677
"Feed","Lactobacillaceae",0.150340296364617
"Feed","Moraxellaceae",0
"Feed","Bacillaceae",0.00101928242670092
"Feed","Pseudomonadaceae",0.00202165570175439
"Feed","Staphylococcaceae",0
"Hydrolysate","Vibrionaceae",0.58374996785592
"Hydrolysate","Mycoplasmataceae",0.266978401275416
"Hydrolysate","Comamonadaceae",0.044264566191598
"Hydrolysate","Fusobacteriaceae",0.0231675448446251
"Hydrolysate","Morganellaceae",0.0341981319235695
"Hydrolysate","Mitochondria",6.43003725301706e-05
"Hydrolysate","Bacteroidaceae",0.0107707868198684
"Hydrolysate","Chloroplast",0.00169232539944803
"Hydrolysate","Lachnospiraceae",0.00966764185546865
"Hydrolysate","Streptococcaceae",0.00359641800082044
"Hydrolysate","Others",0.0108758425321988
"Hydrolysate","Lactobacillaceae",0.00055212994773166
"Hydrolysate","Moraxellaceae",0.00647466514984069
"Hydrolysate","Bacillaceae",0.00131482690509226
"Hydrolysate","Pseudomonadaceae",0.000402461419655402
"Hydrolysate","Staphylococcaceae",0.00222998950621682
