"diet_code","timepoint","diet_time","taxon_plot","mean_rel_abundance"
"Ctrl","D30","Ctrl_D30","Vibrionaceae",0.934475294756942
"Ctrl","D30","Ctrl_D30","Mycoplasmataceae",0.000697228644590642
"Ctrl","D30","Ctrl_D30","Comamonadaceae",0
"Ctrl","D30","Ctrl_D30","Fusobacteriaceae",0.0185739437412766
"Ctrl","D30","Ctrl_D30","Morganellaceae",0
"Ctrl","D30","Ctrl_D30","Others",0.000101869479550397
"Ctrl","D30","Ctrl_D30","Bacteroidaceae",0
"Ctrl","D30","Ctrl_D30","Lachnospiraceae",0
"Ctrl","D30","Ctrl_D30","Streptococcaceae",0.0241084828556443
"Ctrl","D30","Ctrl_D30","Propionibacteriaceae",0.000330972547542868
"Ctrl","D30","Ctrl_D30","Lactobacillaceae",0.0214197752101745
"Ctrl","D30","Ctrl_D30","Moraxellaceae",2.75896664158515e-05
"Ctrl","D30","Ctrl_D30","Bacillaceae",0.000222657947278121
"Ctrl","D30","Ctrl_D30","Pseudomonadaceae",0
"Ctrl","D30","Ctrl_D30","Staphylococcaceae",2.71362416305342e-05
"Ctrl","D30","Ctrl_D30","Chloroplast",1.50489089541008e-05
"Ctrl","D07","Ctrl_D07","Vibrionaceae",0.279750906313557
"Ctrl","D07","Ctrl_D07","Mycoplasmataceae",0.0656022495187019
"Ctrl","D07","Ctrl_D07","Comamonadaceae",0.162163468563579
"Ctrl","D07","Ctrl_D07","Fusobacteriaceae",0.10044497899825
"Ctrl","D07","Ctrl_D07","Morganellaceae",0.153633511398628
"Ctrl","D07","Ctrl_D07","Others",0.0593499828947187
"Ctrl","D07","Ctrl_D07","Bacteroidaceae",0.0468974696426945
"Ctrl","D07","Ctrl_D07","Lachnospiraceae",0.0547434345658034
"Ctrl","D07","Ctrl_D07","Streptococcaceae",0.00982722026111262
"Ctrl","D07","Ctrl_D07","Propionibacteriaceae",0.00405936191812396
"Ctrl","D07","Ctrl_D07","Lactobacillaceae",0.000865901045017064
"Ctrl","D07","Ctrl_D07","Moraxellaceae",0.0108378329826567
"Ctrl","D07","Ctrl_D07","Bacillaceae",0.014725572472887
"Ctrl","D07","Ctrl_D07","Pseudomonadaceae",0.0238586555519359
"Ctrl","D07","Ctrl_D07","Staphylococcaceae",0.00845414208775792
"Ctrl","D07","Ctrl_D07","Chloroplast",0.00478531178457678
"Ctrl","D90","Ctrl_D90","Vibrionaceae",0.376249489083551
"Ctrl","D90","Ctrl_D90","Mycoplasmataceae",0.522796136468771
"Ctrl","D90","Ctrl_D90","Comamonadaceae",5.09267795836297e-05
"Ctrl","D90","Ctrl_D90","Fusobacteriaceae",0.0931661333308732
"Ctrl","D90","Ctrl_D90","Morganellaceae",0
"Ctrl","D90","Ctrl_D90","Others",0.00531357066145695
"Ctrl","D90","Ctrl_D90","Bacteroidaceae",3.51219169542274e-06
"Ctrl","D90","Ctrl_D90","Lachnospiraceae",0
