"tax_level","timepoint","group","taxon_plot","mean_rel_abundance","percent"
"Genus","D07","Ctrl","Vibrio",0.279750906313557,27.9750906313557
"Genus","D07","Ctrl","Delftia",0.162163468563579,16.2163468563579
"Genus","D07","Ctrl","Candidatus Hamiltonella",0.110545745653548,11.0545745653548
"Genus","D07","Ctrl","Others",0.105285020545413,10.5285020545413
"Genus","D07","Ctrl","Cetobacterium",0.10044497899825,10.044497899825
"Genus","D07","Ctrl","Unclassified Mycoplasmataceae genus",0.0655427510061647,6.55427510061647
"Genus","D07","Ctrl","Bacteroides",0.0468974696426945,4.68974696426945
"Genus","D07","Ctrl","Buchnera",0.0430877657450798,4.30877657450798
"Genus","D07","Ctrl","Blautia",0.0329135110333088,3.29135110333088
"Genus","D07","Ctrl","Pseudomonas",0.0238586555519359,2.38586555519359
"Genus","D07","Ctrl","Acinetobacter",0.0108378329826567,1.08378329826567
"Genus","D07","Ctrl","Streptococcus",0.00982722026111262,0.982722026111262
"Genus","D07","Ctrl","Chloroplast",0.00478531178457678,0.478531178457678
"Genus","D07","Ctrl","Cutibacterium",0.00405936191812396,0.405936191812396
"Genus","D07","Ctrl","Lactococcus",0,0
"Genus","D07","Ctrl","Photobacterium",0,0
"Genus","D07","BL15","Vibrio",0.630274173732039,63.0274173732039
"Genus","D07","BL15","Delftia",0.201665244215544,20.1665244215544
"Genus","D07","BL15","Candidatus Hamiltonella",0.0437522676109618,4.37522676109618
"Genus","D07","BL15","Others",0.035350005961127,3.5350005961127
"Genus","D07","BL15","Bacteroides",0.0212925190767407,2.12925190767407
"Genus","D07","BL15","Buchnera",0.0200019590514409,2.00019590514409
"Genus","D07","BL15","Cetobacterium",0.012447891042201,1.2447891042201
"Genus","D07","BL15","Blautia",0.0108490270801241,1.08490270801241
"Genus","D07","BL15","Cutibacterium",0.00753908046721115,0.753908046721115
"Genus","D07","BL15","Streptococcus",0.00576701577425443,0.576701577425443
"Genus","D07","BL15","Acinetobacter",0.00573488222474723,0.573488222474723
"Genus","D07","BL15","Chloroplast",0.00269797312365106,0.269797312365106
"Genus","D07","BL15","Pseudomonas",0.00153438209230232,0.153438209230232
"Genus","D07","BL15","Photobacterium",0.000929999356366158,0.0929999356366158
"Genus","D07","BL15","Lactococcus",0.000159986785635276,0.0159986785635276
"Genus","D07","BL15","Unclassified Mycoplasmataceae genus",3.5924056544465e-06,0.00035924056544465
"Genus","D07","BL30","Vibrio",0.597515930507857,59.7515930507857
"Genus","D07","BL30","Candidatus Hamiltonella",0.0913370811559269,9.13370811559269
"Genus","D07","BL30","Delftia",0.0580202107751645,5.80202107751645
"Genus","D07","BL30","Others",0.0493288533178856,4.93288533178856
"Genus","D07","BL30","Buchnera",0.0455377327999449,4.55377327999449
"Genus","D07","BL30","Bacteroides",0.041896096933154,4.1896096933154
"Genus","D07","BL30","Unclassified Mycoplasmataceae genus",0.0315647607293789,3.15647607293789
"Genus","D07","BL30","Acinetobacter",0.028953950006565,2.8953950006565
"Genus","D07","BL30","Blautia",0.0254878519504442,2.54878519504442
"Genus","D07","BL30","Cetobacterium",0.0101391083733105,1.01391083733105
"Genus","D07","BL30","Streptococcus",0.00972289420941692,0.972289420941692
"Genus","D07","BL30","Chloroplast",0.00686426029698959,0.686426029698959
"Genus","D07","BL30","Cutibacterium",0.0022168365008468,0.22168365008468
"Genus","D07","BL30","Photobacterium",0.000843826744344517,0.0843826744344517
"Genus","D07","BL30","Pseudomonas",0.000564496104875438,0.0564496104875438
"Genus","D07","BL30","Lactococcus",6.10959389529378e-06,0.000610959389529378
"Genus","D30","Ctrl","Vibrio",0.931324681424385,93.1324681424385
"Genus","D30","Ctrl","Others",0.0217714388786335,2.17714388786335
"Genus","D30","Ctrl","Cetobacterium",0.0185739437412766,1.85739437412766
"Genus","D30","Ctrl","Lactococcus",0.0173763100456369,1.73763100456369
"Genus","D30","Ctrl","Streptococcus",0.00673217281000745,0.673217281000745
"Genus","D30","Ctrl","Photobacterium",0.00315061333255701,0.315061333255701
"Genus","D30","Ctrl","Unclassified Mycoplasmataceae genus",0.000697228644590642,0.0697228644590642
"Genus","D30","Ctrl","Cutibacterium",0.000330972547542868,0.0330972547542868
"Genus","D30","Ctrl","Acinetobacter",2.75896664158515e-05,0.00275896664158515
"Genus","D30","Ctrl","Chloroplast",1.50489089541008e-05,0.00150489089541008
"Genus","D30","Ctrl","Bacteroides",0,0
"Genus","D30","Ctrl","Blautia",0,0
"Genus","D30","Ctrl","Buchnera",0,0
"Genus","D30","Ctrl","Candidatus Hamiltonella",0,0
"Genus","D30","Ctrl","Delftia",0,0
"Genus","D30","Ctrl","Pseudomonas",0,0
"Genus","D30","BL15","Vibrio",0.593946737387132,59.3946737387132
"Genus","D30","BL15","Photobacterium",0.224349827987455,22.4349827987455
"Genus","D30","BL15","Cetobacterium",0.106603246920703,10.6603246920703
"Genus","D30","BL15","Unclassified Mycoplasmataceae genus",0.067450997170007,6.7450997170007
"Genus","D30","BL15","Others",0.00370643621206811,0.370643621206811
"Genus","D30","BL15","Streptococcus",0.00133703752110436,0.133703752110436
"Genus","D30","BL15","Lactococcus",0.00124407829685641,0.124407829685641
"Genus","D30","BL15","Acinetobacter",0.000840791142140861,0.0840791142140861
"Genus","D30","BL15","Cutibacterium",0.000407057194826477,0.0407057194826477
"Genus","D30","BL15","Pseudomonas",0.000107255714803928,0.0107255714803928
"Genus","D30","BL15","Chloroplast",6.5344529029307e-06,0.00065344529029307
"Genus","D30","BL15","Bacteroides",0,0
"Genus","D30","BL15","Blautia",0,0
"Genus","D30","BL15","Buchnera",0,0
"Genus","D30","BL15","Candidatus Hamiltonella",0,0
"Genus","D30","BL15","Delftia",0,0
"Genus","D30","BL30","Vibrio",0.706087404533459,70.6087404533459
"Genus","D30","BL30","Photobacterium",0.200048621138626,20.0048621138626
"Genus","D30","BL30","Unclassified Mycoplasmataceae genus",0.0794879304696341,7.94879304696341
"Genus","D30","BL30","Others",0.00781951671239126,0.781951671239126
"Genus","D30","BL30","Cutibacterium",0.00190788715700523,0.190788715700523
"Genus","D30","BL30","Cetobacterium",0.00176017200475316,0.176017200475316
"Genus","D30","BL30","Streptococcus",0.00117656811320502,0.117656811320502
"Genus","D30","BL30","Acinetobacter",0.00104854194087027,0.104854194087027
"Genus","D30","BL30","Lactococcus",0.000572728508724946,0.0572728508724946
"Genus","D30","BL30","Pseudomonas",9.06294213311448e-05,0.00906294213311448
"Genus","D30","BL30","Bacteroides",0,0
"Genus","D30","BL30","Blautia",0,0
"Genus","D30","BL30","Buchnera",0,0
"Genus","D30","BL30","Candidatus Hamiltonella",0,0
"Genus","D30","BL30","Chloroplast",0,0
"Genus","D30","BL30","Delftia",0,0
"Genus","D90","Ctrl","Unclassified Mycoplasmataceae genus",0.522796136468771,52.2796136468771
"Genus","D90","Ctrl","Vibrio",0.376244795239528,37.6244795239528
"Genus","D90","Ctrl","Cetobacterium",0.0931661333308732,9.31661333308732
"Genus","D90","Ctrl","Others",0.00594785500308919,0.594785500308919
"Genus","D90","Ctrl","Chloroplast",0.000787979519324212,0.0787979519324212
"Genus","D90","Ctrl","Cutibacterium",0.000359994912409151,0.0359994912409151
"Genus","D90","Ctrl","Lactococcus",0.000299979029817926,0.0299979029817926
"Genus","D90","Ctrl","Pseudomonas",0.000137828820425001,0.0137828820425001
"Genus","D90","Ctrl","Acinetobacter",0.000132526387371024,0.0132526387371024
"Genus","D90","Ctrl","Streptococcus",6.76384730893052e-05,0.00676384730893052
"Genus","D90","Ctrl","Delftia",5.09267795836297e-05,0.00509267795836297
"Genus","D90","Ctrl","Photobacterium",4.6938440235631e-06,0.00046938440235631
"Genus","D90","Ctrl","Bacteroides",3.51219169542274e-06,0.000351219169542274
"Genus","D90","Ctrl","Blautia",0,0
"Genus","D90","Ctrl","Buchnera",0,0
"Genus","D90","Ctrl","Candidatus Hamiltonella",0,0
"Genus","D90","BL15","Unclassified Mycoplasmataceae genus",0.669382747285907,66.9382747285907
"Genus","D90","BL15","Vibrio",0.320371878321226,32.0371878321226
"Genus","D90","BL15","Others",0.00470236827333029,0.470236827333029
"Genus","D90","BL15","Cetobacterium",0.00370059329293814,0.370059329293814
"Genus","D90","BL15","Acinetobacter",0.00138275854355171,0.138275854355171
"Genus","D90","BL15","Cutibacterium",0.000153497505899567,0.0153497505899567
"Genus","D90","BL15","Chloroplast",9.66615276025469e-05,0.00966615276025469
"Genus","D90","BL15","Streptococcus",8.65871387472212e-05,0.00865871387472212
"Genus","D90","BL15","Pseudomonas",7.03856234209381e-05,0.00703856234209381
"Genus","D90","BL15","Lactococcus",4.06462250876566e-05,0.00406462250876566
"Genus","D90","BL15","Photobacterium",1.18762622886361e-05,0.00118762622886361
"Genus","D90","BL15","Bacteroides",0,0
"Genus","D90","BL15","Blautia",0,0
"Genus","D90","BL15","Buchnera",0,0
"Genus","D90","BL15","Candidatus Hamiltonella",0,0
"Genus","D90","BL15","Delftia",0,0
"Genus","D90","BL30","Unclassified Mycoplasmataceae genus",0.769301918253294,76.9301918253294
"Genus","D90","BL30","Vibrio",0.175498375167125,17.5498375167125
"Genus","D90","BL30","Photobacterium",0.0502465575065313,5.02465575065313
"Genus","D90","BL30","Others",0.00166889648952294,0.166889648952294
"Genus","D90","BL30","Cetobacterium",0.00148135313022687,0.148135313022687
"Genus","D90","BL30","Streptococcus",0.000690570546923024,0.0690570546923024
"Genus","D90","BL30","Lactococcus",0.000490093609520971,0.0490093609520971
"Genus","D90","BL30","Chloroplast",0.000281656723873941,0.0281656723873941
"Genus","D90","BL30","Cutibacterium",0.000240205911644654,0.0240205911644654
"Genus","D90","BL30","Acinetobacter",0.000100372661337535,0.0100372661337535
"Genus","D90","BL30","Bacteroides",0,0
"Genus","D90","BL30","Blautia",0,0
"Genus","D90","BL30","Buchnera",0,0
"Genus","D90","BL30","Candidatus Hamiltonella",0,0
"Genus","D90","BL30","Delftia",0,0
"Genus","D90","BL30","Pseudomonas",0,0
