"tax_level","timepoint","group","taxon_plot","mean_rel_abundance","percent"
"Genus","D07","Ctrl","Vibrio",0.279750906313557,27.9750906313557
"Genus","D07","Ctrl","Delftia",0.162163468563579,16.2163468563579
"Genus","D07","Ctrl","Candidatus Hamiltonella",0.110545745653548,11.0545745653548
"Genus","D07","Ctrl","Others",0.105285020545413,10.5285020545413
"Genus","D07","Ctrl","Cetobacterium",0.10044497899825,10.044497899825
"Genus","D07","Ctrl","Unclassified Mycoplasmataceae genus",0.0655427510061647,6.55427510061647
"Genus","D07","Ctrl","Bacteroides",0.0468974696426945,4.68974696426945
"Genus","D07","Ctrl","Buchnera",0.0430877657450798,4.30877657450798
"Genus","D07","Ctrl","Blautia",0.0329135110333088,3.29135110333088
"Genus","D07","Ctrl","Pseudomonas",0.0238586555519359,2.38586555519359
"Genus","D07","Ctrl","Acinetobacter",0.0108378329826567,1.08378329826567
"Genus","D07","Ctrl","Streptococcus",0.00982722026111262,0.982722026111262
"Genus","D07","Ctrl","Chloroplast",0.00478531178457678,0.478531178457678
"Genus","D07","Ctrl","Cutibacterium",0.00405936191812396,0.405936191812396
"Genus","D07","Ctrl","Lactococcus",0,0
"Genus","D07","Ctrl","Photobacterium",0,0
"Genus","D07","Hydrolysate","Vibrio",0.613895052119948,61.3895052119948
"Genus","D07","Hydrolysate","Delftia",0.129842727495354,12.9842727495354
"Genus","D07","Hydrolysate","Candidatus Hamiltonella",0.0675446743834444,6.75446743834444
"Genus","D07","Hydrolysate","Others",0.0423394296395063,4.23394296395063
"Genus","D07","Hydrolysate","Buchnera",0.0327698459256929,3.27698459256929
"Genus","D07","Hydrolysate","Bacteroides",0.0315943080049473,3.15943080049473
"Genus","D07","Hydrolysate","Blautia",0.0181684395152841,1.81684395152841
"Genus","D07","Hydrolysate","Acinetobacter",0.0173444161156561,1.73444161156561
"Genus","D07","Hydrolysate","Unclassified Mycoplasmataceae genus",0.0157841765675167,1.57841765675167
"Genus","D07","Hydrolysate","Cetobacterium",0.0112934997077558,1.12934997077558
"Genus","D07","Hydrolysate","Streptococcus",0.00774495499183568,0.774495499183568
"Genus","D07","Hydrolysate","Cutibacterium",0.00487795848402898,0.487795848402898
"Genus","D07","Hydrolysate","Chloroplast",0.00478111671032032,0.478111671032032
"Genus","D07","Hydrolysate","Pseudomonas",0.00104943909858888,0.104943909858888
"Genus","D07","Hydrolysate","Photobacterium",0.000886913050355338,0.0886913050355338
"Genus","D07","Hydrolysate","Lactococcus",8.30481897652848e-05,0.00830481897652848
"Genus","D30","Ctrl","Vibrio",0.931324681424385,93.1324681424385
"Genus","D30","Ctrl","Others",0.0217714388786335,2.17714388786335
"Genus","D30","Ctrl","Cetobacterium",0.0185739437412766,1.85739437412766
"Genus","D30","Ctrl","Lactococcus",0.0173763100456369,1.73763100456369
"Genus","D30","Ctrl","Streptococcus",0.00673217281000745,0.673217281000745
"Genus","D30","Ctrl","Photobacterium",0.00315061333255701,0.315061333255701
"Genus","D30","Ctrl","Unclassified Mycoplasmataceae genus",0.000697228644590642,0.0697228644590642
"Genus","D30","Ctrl","Cutibacterium",0.000330972547542868,0.0330972547542868
"Genus","D30","Ctrl","Acinetobacter",2.75896664158515e-05,0.00275896664158515
"Genus","D30","Ctrl","Chloroplast",1.50489089541008e-05,0.00150489089541008
"Genus","D30","Ctrl","Bacteroides",0,0
"Genus","D30","Ctrl","Blautia",0,0
"Genus","D30","Ctrl","Buchnera",0,0
"Genus","D30","Ctrl","Candidatus Hamiltonella",0,0
"Genus","D30","Ctrl","Delftia",0,0
"Genus","D30","Ctrl","Pseudomonas",0,0
"Genus","D30","Hydrolysate","Vibrio",0.648083611181911,64.8083611181911
"Genus","D30","Hydrolysate","Photobacterium",0.21261821088802,21.261821088802
"Genus","D30","Hydrolysate","Unclassified Mycoplasmataceae genus",0.0732619304870684,7.32619304870684
"Genus","D30","Hydrolysate","Cetobacterium",0.0559893486854168,5.59893486854168
"Genus","D30","Hydrolysate","Others",0.00569206128118963,0.569206128118963
"Genus","D30","Hydrolysate","Streptococcus",0.00125956953108399,0.125956953108399
"Genus","D30","Hydrolysate","Cutibacterium",0.0011315957972576,0.11315957972576
"Genus","D30","Hydrolysate","Acinetobacter",0.000941084631182645,0.0941084631182645
"Genus","D30","Hydrolysate","Lactococcus",0.00091997839913777,0.091997839913777
"Genus","D30","Hydrolysate","Pseudomonas",9.92292282998258e-05,0.00992292282998258
"Genus","D30","Hydrolysate","Chloroplast",3.37988943255036e-06,0.000337988943255036
"Genus","D30","Hydrolysate","Bacteroides",0,0
"Genus","D30","Hydrolysate","Blautia",0,0
"Genus","D30","Hydrolysate","Buchnera",0,0
"Genus","D30","Hydrolysate","Candidatus Hamiltonella",0,0
"Genus","D30","Hydrolysate","Delftia",0,0
"Genus","D90","Ctrl","Unclassified Mycoplasmataceae genus",0.522796136468771,52.2796136468771
"Genus","D90","Ctrl","Vibrio",0.376244795239528,37.6244795239528
"Genus","D90","Ctrl","Cetobacterium",0.0931661333308732,9.31661333308732
"Genus","D90","Ctrl","Others",0.00594785500308919,0.594785500308919
"Genus","D90","Ctrl","Chloroplast",0.000787979519324212,0.0787979519324212
"Genus","D90","Ctrl","Cutibacterium",0.000359994912409151,0.0359994912409151
"Genus","D90","Ctrl","Lactococcus",0.000299979029817926,0.0299979029817926
"Genus","D90","Ctrl","Pseudomonas",0.000137828820425001,0.0137828820425001
"Genus","D90","Ctrl","Acinetobacter",0.000132526387371024,0.0132526387371024
"Genus","D90","Ctrl","Streptococcus",6.76384730893052e-05,0.00676384730893052
"Genus","D90","Ctrl","Delftia",5.09267795836297e-05,0.00509267795836297
"Genus","D90","Ctrl","Photobacterium",4.6938440235631e-06,0.00046938440235631
"Genus","D90","Ctrl","Bacteroides",3.51219169542274e-06,0.000351219169542274
"Genus","D90","Ctrl","Blautia",0,0
"Genus","D90","Ctrl","Buchnera",0,0
"Genus","D90","Ctrl","Candidatus Hamiltonella",0,0
"Genus","D90","Hydrolysate","Unclassified Mycoplasmataceae genus",0.717619588442577,71.7619588442577
"Genus","D90","Hydrolysate","Vibrio",0.250432945764074,25.0432945764074
"Genus","D90","Hydrolysate","Photobacterium",0.0242631016905437,2.42631016905437
"Genus","D90","Hydrolysate","Others",0.00323793361907847,0.323793361907847
"Genus","D90","Hydrolysate","Cetobacterium",0.00262923597300856,0.262923597300857
"Genus","D90","Hydrolysate","Acinetobacter",0.00076367570386211,0.076367570386211
"Genus","D90","Hydrolysate","Streptococcus",0.000378165335797609,0.0378165335797609
"Genus","D90","Hydrolysate","Lactococcus",0.000257620824469257,0.0257620824469257
"Genus","D90","Hydrolysate","Cutibacterium",0.000195356736259264,0.0195356736259264
"Genus","D90","Hydrolysate","Chloroplast",0.000185969553388737,0.0185969553388737
"Genus","D90","Hydrolysate","Pseudomonas",3.64063569418645e-05,0.00364063569418645
"Genus","D90","Hydrolysate","Bacteroides",0,0
"Genus","D90","Hydrolysate","Blautia",0,0
"Genus","D90","Hydrolysate","Buchnera",0,0
"Genus","D90","Hydrolysate","Candidatus Hamiltonella",0,0
"Genus","D90","Hydrolysate","Delftia",0,0
