"hydro_group","timepoint","taxon_plot","mean_rel_abundance"
"Ctrl","D30","Vibrio",0.931324681424385
"Ctrl","D30","Unclassified Mycoplasmataceae genus",0.000697228644590642
"Ctrl","D30","Delftia",0
"Ctrl","D30","Cetobacterium",0.0185739437412766
"Ctrl","D30","Photobacterium",0.00315061333255701
"Ctrl","D30","Candidatus Hamiltonella",0
"Ctrl","D30","Buchnera",0
"Ctrl","D30","Others",0.0217714388786335
"Ctrl","D30","Bacteroides",0
"Ctrl","D30","Blautia",0
"Ctrl","D30","Lactococcus",0.0173763100456369
"Ctrl","D30","Cutibacterium",0.000330972547542868
"Ctrl","D30","Streptococcus",0.00673217281000745
"Ctrl","D30","Acinetobacter",2.75896664158515e-05
"Ctrl","D30","Pseudomonas",0
"Ctrl","D30","Chloroplast",1.50489089541008e-05
"Ctrl","D07","Vibrio",0.279750906313557
"Ctrl","D07","Unclassified Mycoplasmataceae genus",0.0655427510061647
"Ctrl","D07","Delftia",0.162163468563579
"Ctrl","D07","Cetobacterium",0.10044497899825
"Ctrl","D07","Photobacterium",0
"Ctrl","D07","Candidatus Hamiltonella",0.110545745653548
"Ctrl","D07","Buchnera",0.0430877657450798
"Ctrl","D07","Others",0.105285020545413
"Ctrl","D07","Bacteroides",0.0468974696426945
"Ctrl","D07","Blautia",0.0329135110333088
"Ctrl","D07","Lactococcus",0
"Ctrl","D07","Cutibacterium",0.00405936191812396
"Ctrl","D07","Streptococcus",0.00982722026111262
"Ctrl","D07","Acinetobacter",0.0108378329826567
"Ctrl","D07","Pseudomonas",0.0238586555519359
"Ctrl","D07","Chloroplast",0.00478531178457678
"Ctrl","D90","Vibrio",0.376244795239528
"Ctrl","D90","Unclassified Mycoplasmataceae genus",0.522796136468771
"Ctrl","D90","Delftia",5.09267795836297e-05
"Ctrl","D90","Cetobacterium",0.0931661333308732
"Ctrl","D90","Photobacterium",4.6938440235631e-06
"Ctrl","D90","Candidatus Hamiltonella",0
"Ctrl","D90","Buchnera",0
"Ctrl","D90","Others",0.00594785500308919
"Ctrl","D90","Bacteroides",3.51219169542274e-06
"Ctrl","D90","Blautia",0
"Ctrl","D90","Lactococcus",0.000299979029817926
"Ctrl","D90","Cutibacterium",0.000359994912409151
"Ctrl","D90","Streptococcus",6.76384730893052e-05
"Ctrl","D90","Acinetobacter",0.000132526387371024
"Ctrl","D90","Pseudomonas",0.000137828820425001
"Ctrl","D90","Chloroplast",0.000787979519324212
"Hydrolysate","D30","Vibrio",0.648083611181911
"Hydrolysate","D30","Unclassified Mycoplasmataceae genus",0.0732619304870684
"Hydrolysate","D30","Delftia",0
"Hydrolysate","D30","Cetobacterium",0.0559893486854168
"Hydrolysate","D30","Photobacterium",0.21261821088802
"Hydrolysate","D30","Candidatus Hamiltonella",0
"Hydrolysate","D30","Buchnera",0
"Hydrolysate","D30","Others",0.00569206128118963
"Hydrolysate","D30","Bacteroides",0
"Hydrolysate","D30","Blautia",0
"Hydrolysate","D30","Lactococcus",0.00091997839913777
"Hydrolysate","D30","Cutibacterium",0.0011315957972576
"Hydrolysate","D30","Streptococcus",0.00125956953108399
"Hydrolysate","D30","Acinetobacter",0.000941084631182645
"Hydrolysate","D30","Pseudomonas",9.92292282998258e-05
"Hydrolysate","D30","Chloroplast",3.37988943255036e-06
"Hydrolysate","D07","Vibrio",0.613895052119948
"Hydrolysate","D07","Unclassified Mycoplasmataceae genus",0.0157841765675167
"Hydrolysate","D07","Delftia",0.129842727495354
"Hydrolysate","D07","Cetobacterium",0.0112934997077558
"Hydrolysate","D07","Photobacterium",0.000886913050355338
"Hydrolysate","D07","Candidatus Hamiltonella",0.0675446743834444
"Hydrolysate","D07","Buchnera",0.0327698459256929
"Hydrolysate","D07","Others",0.0423394296395063
"Hydrolysate","D07","Bacteroides",0.0315943080049473
"Hydrolysate","D07","Blautia",0.0181684395152841
"Hydrolysate","D07","Lactococcus",8.30481897652848e-05
"Hydrolysate","D07","Cutibacterium",0.00487795848402898
"Hydrolysate","D07","Streptococcus",0.00774495499183568
"Hydrolysate","D07","Acinetobacter",0.0173444161156561
"Hydrolysate","D07","Pseudomonas",0.00104943909858888
"Hydrolysate","D07","Chloroplast",0.00478111671032032
"Hydrolysate","D90","Vibrio",0.250432945764074
"Hydrolysate","D90","Unclassified Mycoplasmataceae genus",0.717619588442577
"Hydrolysate","D90","Delftia",0
"Hydrolysate","D90","Cetobacterium",0.00262923597300856
"Hydrolysate","D90","Photobacterium",0.0242631016905437
"Hydrolysate","D90","Candidatus Hamiltonella",0
"Hydrolysate","D90","Buchnera",0
"Hydrolysate","D90","Others",0.00323793361907847
"Hydrolysate","D90","Bacteroides",0
"Hydrolysate","D90","Blautia",0
"Hydrolysate","D90","Lactococcus",0.000257620824469257
"Hydrolysate","D90","Cutibacterium",0.000195356736259264
"Hydrolysate","D90","Streptococcus",0.000378165335797609
"Hydrolysate","D90","Acinetobacter",0.00076367570386211
"Hydrolysate","D90","Pseudomonas",3.64063569418645e-05
"Hydrolysate","D90","Chloroplast",0.000185969553388737
