"tax_level","panel","timepoint","taxon_plot","mean_rel_abundance","percent"
"Phylum","Ctrl","D07","Pseudomonadota",0.657343672415722,65.7343672415722
"Phylum","Ctrl","D07","Bacillota",0.169986941635143,16.9986941635143
"Phylum","Ctrl","D07","Fusobacteriota",0.10044497899825,10.044497899825
"Phylum","Ctrl","D07","Bacteroidota",0.0494758540299058,4.94758540299058
"Phylum","Ctrl","D07","Actinomycetota",0.0168785876874675,1.68785876874675
"Phylum","Ctrl","D07","Cyanobacteriota",0.00478531178457678,0.478531178457678
"Phylum","Ctrl","D07","Verrucomicrobiota",0.000751454333965768,0.0751454333965768
"Phylum","Ctrl","D07","Campylobacterota",0.000333199114968608,0.0333199114968608
"Phylum","Ctrl","D07","Others",0,0
"Phylum","Ctrl","D30","Pseudomonadota",0.934604753902908,93.4604753902908
"Phylum","Ctrl","D30","Bacillota",0.0464752808993181,4.64752808993181
"Phylum","Ctrl","D30","Fusobacteriota",0.0185739437412766,1.85739437412766
"Phylum","Ctrl","D30","Actinomycetota",0.000330972547542868,0.0330972547542868
"Phylum","Ctrl","D30","Cyanobacteriota",1.50489089541008e-05,0.00150489089541008
"Phylum","Ctrl","D30","Bacteroidota",0,0
"Phylum","Ctrl","D30","Campylobacterota",0,0
"Phylum","Ctrl","D30","Others",0,0
"Phylum","Ctrl","D30","Verrucomicrobiota",0,0
"Phylum","Ctrl","D90","Bacillota",0.528099631712292,52.8099631712293
"Phylum","Ctrl","D90","Pseudomonadota",0.377544343057363,37.7544343057363
"Phylum","Ctrl","D90","Fusobacteriota",0.0931661333308732,9.31661333308732
"Phylum","Ctrl","D90","Cyanobacteriota",0.000787979519324212,0.0787979519324212
"Phylum","Ctrl","D90","Actinomycetota",0.000398400188451466,0.0398400188451466
"Phylum","Ctrl","D90","Bacteroidota",3.51219169542274e-06,0.000351219169542274
"Phylum","Ctrl","D90","Campylobacterota",0,0
"Phylum","Ctrl","D90","Others",0,0
"Phylum","Ctrl","D90","Verrucomicrobiota",0,0
"Phylum","BL15","D07","Pseudomonadota",0.917880743309195,91.7880743309195
"Phylum","BL15","D07","Bacillota",0.0358192041005489,3.58192041005489
"Phylum","BL15","D07","Bacteroidota",0.0225027177465006,2.25027177465006
