"tax_level","panel","timepoint","taxon_plot","mean_rel_abundance","percent"
"Phylum","Ctrl","D07","Pseudomonadota",0.657343672415722,65.7343672415722
"Phylum","Ctrl","D07","Bacillota",0.169986941635143,16.9986941635143
"Phylum","Ctrl","D07","Fusobacteriota",0.10044497899825,10.044497899825
"Phylum","Ctrl","D07","Bacteroidota",0.0494758540299058,4.94758540299058
"Phylum","Ctrl","D07","Actinomycetota",0.0168785876874675,1.68785876874675
"Phylum","Ctrl","D07","Cyanobacteriota",0.00478531178457678,0.478531178457678
"Phylum","Ctrl","D07","Verrucomicrobiota",0.000751454333965768,0.0751454333965768
"Phylum","Ctrl","D07","Campylobacterota",0.000333199114968608,0.0333199114968608
"Phylum","Ctrl","D07","Others",0,0
"Phylum","Ctrl","D30","Pseudomonadota",0.934604753902908,93.4604753902908
"Phylum","Ctrl","D30","Bacillota",0.0464752808993181,4.64752808993181
"Phylum","Ctrl","D30","Fusobacteriota",0.0185739437412766,1.85739437412766
"Phylum","Ctrl","D30","Actinomycetota",0.000330972547542868,0.0330972547542868
"Phylum","Ctrl","D30","Cyanobacteriota",1.50489089541008e-05,0.00150489089541008
"Phylum","Ctrl","D30","Bacteroidota",0,0
"Phylum","Ctrl","D30","Campylobacterota",0,0
"Phylum","Ctrl","D30","Others",0,0
"Phylum","Ctrl","D30","Verrucomicrobiota",0,0
"Phylum","Ctrl","D90","Bacillota",0.528099631712292,52.8099631712293
"Phylum","Ctrl","D90","Pseudomonadota",0.377544343057363,37.7544343057363
"Phylum","Ctrl","D90","Fusobacteriota",0.0931661333308732,9.31661333308732
"Phylum","Ctrl","D90","Cyanobacteriota",0.000787979519324212,0.0787979519324212
"Phylum","Ctrl","D90","Actinomycetota",0.000398400188451466,0.0398400188451466
"Phylum","Ctrl","D90","Bacteroidota",3.51219169542274e-06,0.000351219169542274
"Phylum","Ctrl","D90","Campylobacterota",0,0
"Phylum","Ctrl","D90","Others",0,0
"Phylum","Ctrl","D90","Verrucomicrobiota",0,0
"Phylum","Hydrolysate","D07","Pseudomonadota",0.874092762487603,87.4092762487603
"Phylum","Hydrolysate","D07","Bacillota",0.0704395622220415,7.04395622220415
"Phylum","Hydrolysate","D07","Bacteroidota",0.0329897660254692,3.29897660254692
"Phylum","Hydrolysate","D07","Fusobacteriota",0.0112934997077558,1.12934997077558
"Phylum","Hydrolysate","D07","Actinomycetota",0.00553627997149654,0.553627997149654
"Phylum","Hydrolysate","D07","Cyanobacteriota",0.00478111671032032,0.478111671032032
"Phylum","Hydrolysate","D07","Verrucomicrobiota",0.000441274935030411,0.0441274935030411
"Phylum","Hydrolysate","D07","Campylobacterota",0.000425737940283701,0.0425737940283701
"Phylum","Hydrolysate","D07","Others",0,0
"Phylum","Hydrolysate","D30","Pseudomonadota",0.864600982492255,86.4600982492255
"Phylum","Hydrolysate","D30","Bacillota",0.0781975355331246,7.81975355331246
"Phylum","Hydrolysate","D30","Fusobacteriota",0.0559893486854168,5.59893486854168
"Phylum","Hydrolysate","D30","Actinomycetota",0.00120875339977084,0.120875339977084
"Phylum","Hydrolysate","D30","Cyanobacteriota",3.37988943255036e-06,0.000337988943255036
"Phylum","Hydrolysate","D30","Bacteroidota",0,0
"Phylum","Hydrolysate","D30","Campylobacterota",0,0
"Phylum","Hydrolysate","D30","Others",0,0
"Phylum","Hydrolysate","D30","Verrucomicrobiota",0,0
"Phylum","Hydrolysate","D90","Bacillota",0.721276101438856,72.1276101438856
"Phylum","Hydrolysate","D90","Pseudomonadota",0.275713336298488,27.5713336298488
"Phylum","Hydrolysate","D90","Fusobacteriota",0.00262923597300856,0.262923597300857
"Phylum","Hydrolysate","D90","Actinomycetota",0.000195356736259264,0.0195356736259264
"Phylum","Hydrolysate","D90","Cyanobacteriota",0.000185969553388737,0.0185969553388737
"Phylum","Hydrolysate","D90","Bacteroidota",0,0
"Phylum","Hydrolysate","D90","Campylobacterota",0,0
"Phylum","Hydrolysate","D90","Others",0,0
"Phylum","Hydrolysate","D90","Verrucomicrobiota",0,0
