"comparison_group","taxon_plot","mean_rel_abundance"
"Ctrl","Pseudomonadota",0.656497589791998
"Ctrl","Bacillota",0.248187284748918
"Ctrl","Fusobacteriota",0.0707283520234667
"Ctrl","Bacteroidota",0.0164931220738671
"Ctrl","Cyanobacteriota",0.0018627800709517
"Ctrl","Actinomycetota",0.00586932014115395
"Ctrl","Verrucomicrobiota",0.000250484777988589
"Ctrl","Campylobacterota",0.000111066371656203
"Feed","Pseudomonadota",0.453324122671649
"Feed","Bacillota",0.162364677759177
"Feed","Fusobacteriota",0
"Feed","Bacteroidota",0
"Feed","Cyanobacteriota",0.384311199569174
"Feed","Actinomycetota",0
"Feed","Verrucomicrobiota",0
"Feed","Campylobacterota",0
"Hydrolysate","Pseudomonadota",0.67377156954045
"Hydrolysate","Bacillota",0.287476390214189
"Hydrolysate","Fusobacteriota",0.0231675448446251
"Hydrolysate","Bacteroidota",0.0112465111450463
"Hydrolysate","Cyanobacteriota",0.00169232539944803
"Hydrolysate","Actinomycetota",0.00235008628511101
"Hydrolysate","Verrucomicrobiota",0.000150434636942185
"Hydrolysate","Campylobacterota",0.000145137934187625
