"diet_code","timepoint","diet_time","taxon_plot","mean_rel_abundance"
"Ctrl","D30","Ctrl_D30","Pseudomonadota",0.934604753902908
"Ctrl","D30","Ctrl_D30","Bacillota",0.0464752808993181
"Ctrl","D30","Ctrl_D30","Fusobacteriota",0.0185739437412766
"Ctrl","D30","Ctrl_D30","Bacteroidota",0
"Ctrl","D30","Ctrl_D30","Actinomycetota",0.000330972547542868
"Ctrl","D30","Ctrl_D30","Cyanobacteriota",1.50489089541008e-05
"Ctrl","D30","Ctrl_D30","Verrucomicrobiota",0
"Ctrl","D30","Ctrl_D30","Campylobacterota",0
"Ctrl","D07","Ctrl_D07","Pseudomonadota",0.657343672415722
"Ctrl","D07","Ctrl_D07","Bacillota",0.169986941635143
"Ctrl","D07","Ctrl_D07","Fusobacteriota",0.10044497899825
"Ctrl","D07","Ctrl_D07","Bacteroidota",0.0494758540299058
"Ctrl","D07","Ctrl_D07","Actinomycetota",0.0168785876874675
"Ctrl","D07","Ctrl_D07","Cyanobacteriota",0.00478531178457678
"Ctrl","D07","Ctrl_D07","Verrucomicrobiota",0.000751454333965768
"Ctrl","D07","Ctrl_D07","Campylobacterota",0.000333199114968608
"Ctrl","D90","Ctrl_D90","Pseudomonadota",0.377544343057363
"Ctrl","D90","Ctrl_D90","Bacillota",0.528099631712292
"Ctrl","D90","Ctrl_D90","Fusobacteriota",0.0931661333308732
"Ctrl","D90","Ctrl_D90","Bacteroidota",3.51219169542274e-06
"Ctrl","D90","Ctrl_D90","Actinomycetota",0.000398400188451466
"Ctrl","D90","Ctrl_D90","Cyanobacteriota",0.000787979519324212
"Ctrl","D90","Ctrl_D90","Verrucomicrobiota",0
"Ctrl","D90","Ctrl_D90","Campylobacterota",0
"BL15","D30","BL15_D30","Pseudomonadota",0.821356565619607
"BL15","D30","BL15_D30","Bacillota",0.0716231028502781
"BL15","D30","BL15_D30","Fusobacteriota",0.106603246920703
"BL15","D30","BL15_D30","Bacteroidota",0
"BL15","D30","BL15_D30","Actinomycetota",0.000410550156508687
"BL15","D30","BL15_D30","Cyanobacteriota",6.5344529029307e-06
"BL15","D30","BL15_D30","Verrucomicrobiota",0
"BL15","D30","BL15_D30","Campylobacterota",0
"BL15","D07","BL15_D07","Pseudomonadota",0.917880743309195
"BL15","D07","BL15_D07","Bacillota",0.0358192041005489
"BL15","D07","BL15_D07","Fusobacteriota",0.012447891042201
"BL15","D07","BL15_D07","Bacteroidota",0.0225027177465006
"BL15","D07","BL15_D07","Actinomycetota",0.00808626465806858
"BL15","D07","BL15_D07","Cyanobacteriota",0.00269797312365106
"BL15","D07","BL15_D07","Verrucomicrobiota",0.000214279001888803
"BL15","D07","BL15_D07","Campylobacterota",0.00035092701794594
"BL15","D90","BL15_D90","Pseudomonadota",0.322089063494272
"BL15","D90","BL15_D90","Bacillota",0.673960184179287
"BL15","D90","BL15_D90","Fusobacteriota",0.00370059329293814
"BL15","D90","BL15_D90","Bacteroidota",0
"BL15","D90","BL15_D90","Actinomycetota",0.000153497505899567
"BL15","D90","BL15_D90","Cyanobacteriota",9.66615276025469e-05
"BL15","D90","BL15_D90","Verrucomicrobiota",0
"BL15","D90","BL15_D90","Campylobacterota",0
"BL30","D30","BL30_D30","Pseudomonadota",0.910934286284378
"BL30","D30","BL30_D30","Bacillota",0.0852415705504602
"BL30","D30","BL30_D30","Fusobacteriota",0.00176017200475316
"BL30","D30","BL30_D30","Bacteroidota",0
"BL30","D30","BL30_D30","Actinomycetota",0.00206397116040887
"BL30","D30","BL30_D30","Cyanobacteriota",0
"BL30","D30","BL30_D30","Verrucomicrobiota",0
"BL30","D30","BL30_D30","Campylobacterota",0
"BL30","D07","BL30_D07","Pseudomonadota",0.83030478166601
"BL30","D07","BL30_D07","Bacillota",0.105059920343534
"BL30","D07","BL30_D07","Fusobacteriota",0.0101391083733105
"BL30","D07","BL30_D07","Bacteroidota",0.0434768143044379
"BL30","D07","BL30_D07","Actinomycetota",0.00298629528492449
"BL30","D07","BL30_D07","Cyanobacteriota",0.00686426029698959
"BL30","D07","BL30_D07","Verrucomicrobiota",0.000668270868172019
"BL30","D07","BL30_D07","Campylobacterota",0.000500548862621462
"BL30","D90","BL30_D90","Pseudomonadota",0.226025057160147
"BL30","D90","BL30_D90","Bacillota",0.771971727074108
"BL30","D90","BL30_D90","Fusobacteriota",0.00148135313022687
"BL30","D90","BL30_D90","Bacteroidota",0
"BL30","D90","BL30_D90","Actinomycetota",0.000240205911644654
"BL30","D90","BL30_D90","Cyanobacteriota",0.000281656723873941
"BL30","D90","BL30_D90","Verrucomicrobiota",0
"BL30","D90","BL30_D90","Campylobacterota",0
