"hydro_group","timepoint","taxon_plot","mean_rel_abundance"
"Ctrl","D30","Pseudomonadota",0.934604753902908
"Ctrl","D30","Bacillota",0.0464752808993181
"Ctrl","D30","Fusobacteriota",0.0185739437412766
"Ctrl","D30","Bacteroidota",0
"Ctrl","D30","Actinomycetota",0.000330972547542868
"Ctrl","D30","Cyanobacteriota",1.50489089541008e-05
"Ctrl","D30","Verrucomicrobiota",0
"Ctrl","D30","Campylobacterota",0
"Ctrl","D07","Pseudomonadota",0.657343672415722
"Ctrl","D07","Bacillota",0.169986941635143
"Ctrl","D07","Fusobacteriota",0.10044497899825
"Ctrl","D07","Bacteroidota",0.0494758540299058
"Ctrl","D07","Actinomycetota",0.0168785876874675
"Ctrl","D07","Cyanobacteriota",0.00478531178457678
"Ctrl","D07","Verrucomicrobiota",0.000751454333965768
"Ctrl","D07","Campylobacterota",0.000333199114968608
"Ctrl","D90","Pseudomonadota",0.377544343057363
"Ctrl","D90","Bacillota",0.528099631712292
"Ctrl","D90","Fusobacteriota",0.0931661333308732
"Ctrl","D90","Bacteroidota",3.51219169542274e-06
"Ctrl","D90","Actinomycetota",0.000398400188451466
"Ctrl","D90","Cyanobacteriota",0.000787979519324212
"Ctrl","D90","Verrucomicrobiota",0
"Ctrl","D90","Campylobacterota",0
"Hydrolysate","D30","Pseudomonadota",0.864600982492255
"Hydrolysate","D30","Bacillota",0.0781975355331246
"Hydrolysate","D30","Fusobacteriota",0.0559893486854168
"Hydrolysate","D30","Bacteroidota",0
"Hydrolysate","D30","Actinomycetota",0.00120875339977084
"Hydrolysate","D30","Cyanobacteriota",3.37988943255036e-06
"Hydrolysate","D30","Verrucomicrobiota",0
"Hydrolysate","D30","Campylobacterota",0
"Hydrolysate","D07","Pseudomonadota",0.874092762487603
"Hydrolysate","D07","Bacillota",0.0704395622220415
"Hydrolysate","D07","Fusobacteriota",0.0112934997077558
"Hydrolysate","D07","Bacteroidota",0.0329897660254692
"Hydrolysate","D07","Actinomycetota",0.00553627997149654
"Hydrolysate","D07","Cyanobacteriota",0.00478111671032032
"Hydrolysate","D07","Verrucomicrobiota",0.000441274935030411
"Hydrolysate","D07","Campylobacterota",0.000425737940283701
"Hydrolysate","D90","Pseudomonadota",0.275713336298488
"Hydrolysate","D90","Bacillota",0.721276101438856
"Hydrolysate","D90","Fusobacteriota",0.00262923597300856
"Hydrolysate","D90","Bacteroidota",0
"Hydrolysate","D90","Actinomycetota",0.000195356736259264
"Hydrolysate","D90","Cyanobacteriota",0.000185969553388737
"Hydrolysate","D90","Verrucomicrobiota",0
"Hydrolysate","D90","Campylobacterota",0
