"sample_id","timepoint","diet_code","hydro_group","diet_time","taxon_plot","rel_abundance","sample_index"
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Vibrionaceae",1,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Mycoplasmataceae",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Comamonadaceae",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Fusobacteriaceae",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Morganellaceae",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Others",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Bacteroidaceae",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Lachnospiraceae",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Streptococcaceae",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Propionibacteriaceae",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Lactobacillaceae",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Moraxellaceae",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Bacillaceae",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Pseudomonadaceae",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Staphylococcaceae",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Chloroplast",0,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Vibrionaceae",0.0157425018288222,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Mycoplasmataceae",0.982414045354792,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Comamonadaceae",0,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Fusobacteriaceae",0,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Morganellaceae",0,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Others",0.000760790051207023,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Bacteroidaceae",0,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Lachnospiraceae",0,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Streptococcaceae",0,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Propionibacteriaceae",0.000629114850036577,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Lactobacillaceae",0,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Moraxellaceae",0,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Bacillaceae",0.00027798098024872,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Pseudomonadaceae",0,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Staphylococcaceae",0.000175566934893928,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Chloroplast",0,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Vibrionaceae",0.0581766246131873,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Mycoplasmataceae",0.940966436562723,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Comamonadaceae",0,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Fusobacteriaceae",0,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Morganellaceae",0,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Others",0.000547488693168293,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Bacteroidaceae",0,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Lachnospiraceae",0,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Streptococcaceae",0.000166626993572959,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Propionibacteriaceae",7.14115686741252e-05,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Lactobacillaceae",0,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Moraxellaceae",0,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Bacillaceae",0,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Pseudomonadaceae",0,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Staphylococcaceae",0,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Chloroplast",7.14115686741252e-05,1
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Vibrionaceae",0.996022693162034,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Mycoplasmataceae",0.0036471153268896,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Comamonadaceae",0,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Fusobacteriaceae",0,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Morganellaceae",0,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Others",0,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Bacteroidaceae",0,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Lachnospiraceae",0,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Streptococcaceae",7.50435252446419e-05,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Propionibacteriaceae",0,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Lactobacillaceae",0.000255147985831782,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Moraxellaceae",0,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Bacillaceae",0,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Pseudomonadaceae",0,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Staphylococcaceae",0,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Chloroplast",0,2
"X1.2t7","D07","Ctrl","Ctrl","Ctrl_D07","Vibrionaceae",0.988741520704667,2
"X1.2t7","D07","Ctrl","Ctrl","Ctrl_D07","Mycoplasmataceae",0,2
"X1.2t7","D07","Ctrl","Ctrl","Ctrl_D07","Comamonadaceae",0,2
"X1.2t7","D07","Ctrl","Ctrl","Ctrl_D07","Fusobacteriaceae",0,2
