"sample_id","timepoint","diet_code","hydro_group","diet_time","taxon_plot","rel_abundance","sample_index"
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Pseudomonadota",1,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Bacillota",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Fusobacteriota",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Bacteroidota",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Actinomycetota",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Cyanobacteriota",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Verrucomicrobiota",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Campylobacterota",0,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Pseudomonadota",0.0165032918800293,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Bacillota",0.982867593269934,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Fusobacteriota",0,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Bacteroidota",0,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Actinomycetota",0.000629114850036577,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Cyanobacteriota",0,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Verrucomicrobiota",0,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Campylobacterota",0,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Pseudomonadota",0.0587241133063556,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Bacillota",0.941133063556296,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Fusobacteriota",0,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Bacteroidota",0,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Actinomycetota",7.14115686741252e-05,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Cyanobacteriota",7.14115686741252e-05,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Verrucomicrobiota",0,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Campylobacterota",0,1
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Pseudomonadota",0.996022693162034,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Bacillota",0.00397730683796602,2
