"sample_id","timepoint","diet_code","hydro_group","diet_time","taxon_plot","rel_abundance","sample_index"
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Vibrio scophthalmi",0.553935382993037,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Unclassified Mycoplasmataceae genus unresolved",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Delftia acidovorans",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Cetobacterium unresolved",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Vibrio unresolved",0.446064617006964,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Photobacterium unresolved",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Candidatus Hamiltonella unresolved",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Photobacterium phosphoreum",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Buchnera unresolved",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Others",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Bacteroides dorei",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Blautia unresolved",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Bacteroides thetaiotaomicron",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Cutibacterium acnes",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Streptococcus unresolved",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Acinetobacter johnsonii",0,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Vibrio scophthalmi",0.0118507681053402,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Unclassified Mycoplasmataceae genus unresolved",0.982414045354792,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Delftia acidovorans",0,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Cetobacterium unresolved",0,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Vibrio unresolved",0.00389173372348208,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Photobacterium unresolved",0,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Candidatus Hamiltonella unresolved",0,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Photobacterium phosphoreum",0,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Buchnera unresolved",0,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Others",0.00121433796634967,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Bacteroides dorei",0,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Blautia unresolved",0,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Bacteroides thetaiotaomicron",0,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Cutibacterium acnes",0.000629114850036577,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Streptococcus unresolved",0,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Acinetobacter johnsonii",0,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Vibrio scophthalmi",0.0532492263746727,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Unclassified Mycoplasmataceae genus unresolved",0.940966436562723,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Delftia acidovorans",0,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Cetobacterium unresolved",0,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Vibrio unresolved",0.00492739823851464,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Photobacterium unresolved",0,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Candidatus Hamiltonella unresolved",0,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Photobacterium phosphoreum",0,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Buchnera unresolved",0,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Others",0.000785527255415377,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Bacteroides dorei",0,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Blautia unresolved",0,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Bacteroides thetaiotaomicron",0,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Cutibacterium acnes",7.14115686741252e-05,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Streptococcus unresolved",0,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Acinetobacter johnsonii",0,1
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Vibrio scophthalmi",0.810169898541154,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Unclassified Mycoplasmataceae genus unresolved",0.0036471153268896,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Delftia acidovorans",0,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Cetobacterium unresolved",0,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Vibrio unresolved",0.18585279462088,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Photobacterium unresolved",0,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Candidatus Hamiltonella unresolved",0,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Photobacterium phosphoreum",0,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Buchnera unresolved",0,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Others",0.000330191511076424,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Bacteroides dorei",0,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Blautia unresolved",0,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Bacteroides thetaiotaomicron",0,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Cutibacterium acnes",0,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Streptococcus unresolved",0,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Acinetobacter johnsonii",0,2
"X1.2t7","D07","Ctrl","Ctrl","Ctrl_D07","Vibrio scophthalmi",0.920178191758631,2
"X1.2t7","D07","Ctrl","Ctrl","Ctrl_D07","Unclassified Mycoplasmataceae genus unresolved",0,2
"X1.2t7","D07","Ctrl","Ctrl","Ctrl_D07","Delftia acidovorans",0,2
"X1.2t7","D07","Ctrl","Ctrl","Ctrl_D07","Cetobacterium unresolved",0,2
"X1.2t7","D07","Ctrl","Ctrl","Ctrl_D07","Vibrio unresolved",0.0685633289460362,2
"X1.2t7","D07","Ctrl","Ctrl","Ctrl_D07","Photobacterium unresolved",0,2
"X1.2t7","D07","Ctrl","Ctrl","Ctrl_D07","Candidatus Hamiltonella unresolved",0,2
"X1.2t7","D07","Ctrl","Ctrl","Ctrl_D07","Photobacterium phosphoreum",0,2
"X1.2t7","D07","Ctrl","Ctrl","Ctrl_D07","Buchnera unresolved",0,2
"X1.2t7","D07","Ctrl","Ctrl","Ctrl_D07","Others",0.00741115723397793,2
"X1.2t7","D07","Ctrl","Ctrl","Ctrl_D07","Bacteroides dorei",0,2
"X1.2t7","D07","Ctrl","Ctrl","Ctrl_D07","Blautia unresolved",0,2
"X1.2t7","D07","Ctrl","Ctrl","Ctrl_D07","Bacteroides thetaiotaomicron",0,2
"X1.2t7","D07","Ctrl","Ctrl","Ctrl_D07","Cutibacterium acnes",0.00157942695150349,2
"X1.2t7","D07","Ctrl","Ctrl","Ctrl_D07","Streptococcus unresolved",0.0011541966184064,2
"X1.2t7","D07","Ctrl","Ctrl","Ctrl_D07","Acinetobacter johnsonii",0.00111369849144477,2
"X1.2t90","D90","Ctrl","Ctrl","Ctrl_D90","Vibrio scophthalmi",0.864420369908414,2
"X1.2t90","D90","Ctrl","Ctrl","Ctrl_D90","Unclassified Mycoplasmataceae genus unresolved",0.0550229856384306,2
"X1.2t90","D90","Ctrl","Ctrl","Ctrl_D90","Delftia acidovorans",0,2
"X1.2t90","D90","Ctrl","Ctrl","Ctrl_D90","Cetobacterium unresolved",0,2
"X1.2t90","D90","Ctrl","Ctrl","Ctrl_D90","Vibrio unresolved",0.0805031894800613,2
"X1.2t90","D90","Ctrl","Ctrl","Ctrl_D90","Photobacterium unresolved",0,2
"X1.2t90","D90","Ctrl","Ctrl","Ctrl_D90","Candidatus Hamiltonella unresolved",0,2
"X1.2t90","D90","Ctrl","Ctrl","Ctrl_D90","Photobacterium phosphoreum",0,2
"X1.2t90","D90","Ctrl","Ctrl","Ctrl_D90","Buchnera unresolved",0,2
"X1.2t90","D90","Ctrl","Ctrl","Ctrl_D90","Others",5.34549730943302e-05,2
"X1.2t90","D90","Ctrl","Ctrl","Ctrl_D90","Bacteroides dorei",0,2
"X1.2t90","D90","Ctrl","Ctrl","Ctrl_D90","Blautia unresolved",0,2
"X1.2t90","D90","Ctrl","Ctrl","Ctrl_D90","Bacteroides thetaiotaomicron",0,2
"X1.2t90","D90","Ctrl","Ctrl","Ctrl_D90","Cutibacterium acnes",0,2
"X1.2t90","D90","Ctrl","Ctrl","Ctrl_D90","Streptococcus unresolved",0,2
"X1.2t90","D90","Ctrl","Ctrl","Ctrl_D90","Acinetobacter johnsonii",0,2
"X1.3t30","D30","Ctrl","Ctrl","Ctrl_D30","Vibrio scophthalmi",0.903583753650119,3
"X1.3t30","D30","Ctrl","Ctrl","Ctrl_D30","Unclassified Mycoplasmataceae genus unresolved",0.00403504114680117,3
"X1.3t30","D30","Ctrl","Ctrl","Ctrl_D30","Delftia acidovorans",0,3
"X1.3t30","D30","Ctrl","Ctrl","Ctrl_D30","Cetobacterium unresolved",0,3
"X1.3t30","D30","Ctrl","Ctrl","Ctrl_D30","Vibrio unresolved",0.0896734802229891,3
"X1.3t30","D30","Ctrl","Ctrl","Ctrl_D30","Photobacterium unresolved",0,3
"X1.3t30","D30","Ctrl","Ctrl","Ctrl_D30","Candidatus Hamiltonella unresolved",0,3
"X1.3t30","D30","Ctrl","Ctrl","Ctrl_D30","Photobacterium phosphoreum",0,3
"X1.3t30","D30","Ctrl","Ctrl","Ctrl_D30","Buchnera unresolved",0,3
"X1.3t30","D30","Ctrl","Ctrl","Ctrl_D30","Others",0.000973365188921334,3
"X1.3t30","D30","Ctrl","Ctrl","Ctrl_D30","Bacteroides dorei",0,3
"X1.3t30","D30","Ctrl","Ctrl","Ctrl_D30","Blautia unresolved",0,3
"X1.3t30","D30","Ctrl","Ctrl","Ctrl_D30","Bacteroides thetaiotaomicron",0,3
"X1.3t30","D30","Ctrl","Ctrl","Ctrl_D30","Cutibacterium acnes",0.00173435979116892,3
"X1.3t30","D30","Ctrl","Ctrl","Ctrl_D30","Streptococcus unresolved",0,3
"X1.3t30","D30","Ctrl","Ctrl","Ctrl_D30","Acinetobacter johnsonii",0,3
"X1.3t7","D07","Ctrl","Ctrl","Ctrl_D07","Vibrio scophthalmi",0.0572047279617432,3
"X1.3t7","D07","Ctrl","Ctrl","Ctrl_D07","Unclassified Mycoplasmataceae genus unresolved",0,3
"X1.3t7","D07","Ctrl","Ctrl","Ctrl_D07","Delftia acidovorans",0.165929802400072,3
"X1.3t7","D07","Ctrl","Ctrl","Ctrl_D07","Cetobacterium unresolved",0.00315798971397636,3
"X1.3t7","D07","Ctrl","Ctrl","Ctrl_D07","Vibrio unresolved",0.000496255526481999,3
"X1.3t7","D07","Ctrl","Ctrl","Ctrl_D07","Photobacterium unresolved",0,3
"X1.3t7","D07","Ctrl","Ctrl","Ctrl_D07","Candidatus Hamiltonella unresolved",0.129703148966886,3
"X1.3t7","D07","Ctrl","Ctrl","Ctrl_D07","Photobacterium phosphoreum",0,3
"X1.3t7","D07","Ctrl","Ctrl","Ctrl_D07","Buchnera unresolved",0.0716412523684923,3
"X1.3t7","D07","Ctrl","Ctrl","Ctrl_D07","Others",0.417531354326446,3
"X1.3t7","D07","Ctrl","Ctrl","Ctrl_D07","Bacteroides dorei",0.0621672832265632,3
"X1.3t7","D07","Ctrl","Ctrl","Ctrl_D07","Blautia unresolved",0.0567535865740323,3
"X1.3t7","D07","Ctrl","Ctrl","Ctrl_D07","Bacteroides thetaiotaomicron",0.0149327799332311,3
"X1.3t7","D07","Ctrl","Ctrl","Ctrl_D07","Cutibacterium acnes",0.00518812595867545,3
"X1.3t7","D07","Ctrl","Ctrl","Ctrl_D07","Streptococcus unresolved",0.0148425516556889,3
"X1.3t7","D07","Ctrl","Ctrl","Ctrl_D07","Acinetobacter johnsonii",0.000451141387710909,3
"X1.3t90","D90","Ctrl","Ctrl","Ctrl_D90","Vibrio scophthalmi",0.000966578683222425,3
"X1.3t90","D90","Ctrl","Ctrl","Ctrl_D90","Unclassified Mycoplasmataceae genus unresolved",0.998754600542771,3
"X1.3t90","D90","Ctrl","Ctrl","Ctrl_D90","Delftia acidovorans",0,3
"X1.3t90","D90","Ctrl","Ctrl","Ctrl_D90","Cetobacterium unresolved",0,3
"X1.3t90","D90","Ctrl","Ctrl","Ctrl_D90","Vibrio unresolved",0,3
"X1.3t90","D90","Ctrl","Ctrl","Ctrl_D90","Photobacterium unresolved",0,3
"X1.3t90","D90","Ctrl","Ctrl","Ctrl_D90","Candidatus Hamiltonella unresolved",0,3
"X1.3t90","D90","Ctrl","Ctrl","Ctrl_D90","Photobacterium phosphoreum",0,3
"X1.3t90","D90","Ctrl","Ctrl","Ctrl_D90","Buchnera unresolved",0,3
"X1.3t90","D90","Ctrl","Ctrl","Ctrl_D90","Others",0.000130116361203019,3
"X1.3t90","D90","Ctrl","Ctrl","Ctrl_D90","Bacteroides dorei",0,3
"X1.3t90","D90","Ctrl","Ctrl","Ctrl_D90","Blautia unresolved",0,3
"X1.3t90","D90","Ctrl","Ctrl","Ctrl_D90","Bacteroides thetaiotaomicron",0,3
"X1.3t90","D90","Ctrl","Ctrl","Ctrl_D90","Cutibacterium acnes",0,3
"X1.3t90","D90","Ctrl","Ctrl","Ctrl_D90","Streptococcus unresolved",0,3
"X1.3t90","D90","Ctrl","Ctrl","Ctrl_D90","Acinetobacter johnsonii",0.00014870441280345,3
"X1.4t30","D30","Ctrl","Ctrl","Ctrl_D30","Vibrio scophthalmi",0.787282260077974,4
"X1.4t30","D30","Ctrl","Ctrl","Ctrl_D30","Unclassified Mycoplasmataceae genus unresolved",0.000537747988246365,4
"X1.4t30","D30","Ctrl","Ctrl","Ctrl_D30","Delftia acidovorans",0,4
"X1.4t30","D30","Ctrl","Ctrl","Ctrl_D30","Cetobacterium unresolved",0,4
"X1.4t30","D30","Ctrl","Ctrl","Ctrl_D30","Vibrio unresolved",0.211430985807294,4
"X1.4t30","D30","Ctrl","Ctrl","Ctrl_D30","Photobacterium unresolved",0,4
"X1.4t30","D30","Ctrl","Ctrl","Ctrl_D30","Candidatus Hamiltonella unresolved",0,4
"X1.4t30","D30","Ctrl","Ctrl","Ctrl_D30","Photobacterium phosphoreum",0,4
"X1.4t30","D30","Ctrl","Ctrl","Ctrl_D30","Buchnera unresolved",0,4
"X1.4t30","D30","Ctrl","Ctrl","Ctrl_D30","Others",0.000749006126486009,4
"X1.4t30","D30","Ctrl","Ctrl","Ctrl_D30","Bacteroides dorei",0,4
"X1.4t30","D30","Ctrl","Ctrl","Ctrl_D30","Blautia unresolved",0,4
"X1.4t30","D30","Ctrl","Ctrl","Ctrl_D30","Bacteroides thetaiotaomicron",0,4
"X1.4t30","D30","Ctrl","Ctrl","Ctrl_D30","Cutibacterium acnes",0,4
"X1.4t30","D30","Ctrl","Ctrl","Ctrl_D30","Streptococcus unresolved",0,4
"X1.4t30","D30","Ctrl","Ctrl","Ctrl_D30","Acinetobacter johnsonii",0,4
"X1.4t7","D07","Ctrl","Ctrl","Ctrl_D07","Vibrio scophthalmi",0.00714477092078235,4
"X1.4t7","D07","Ctrl","Ctrl","Ctrl_D07","Unclassified Mycoplasmataceae genus unresolved",0.000245601500401893,4
"X1.4t7","D07","Ctrl","Ctrl","Ctrl_D07","Delftia acidovorans",0.755961418237028,4
"X1.4t7","D07","Ctrl","Ctrl","Ctrl_D07","Cetobacterium unresolved",0,4
"X1.4t7","D07","Ctrl","Ctrl","Ctrl_D07","Vibrio unresolved",0.00299187282307761,4
"X1.4t7","D07","Ctrl","Ctrl","Ctrl_D07","Photobacterium unresolved",0,4
"X1.4t7","D07","Ctrl","Ctrl","Ctrl_D07","Candidatus Hamiltonella unresolved",0.0102259533803697,4
"X1.4t7","D07","Ctrl","Ctrl","Ctrl_D07","Photobacterium phosphoreum",0,4
"X1.4t7","D07","Ctrl","Ctrl","Ctrl_D07","Buchnera unresolved",0.00969009556131106,4
"X1.4t7","D07","Ctrl","Ctrl","Ctrl_D07","Others",0.12460927034027,4
"X1.4t7","D07","Ctrl","Ctrl","Ctrl_D07","Bacteroides dorei",0.00292489059569528,4
"X1.4t7","D07","Ctrl","Ctrl","Ctrl_D07","Blautia unresolved",0.0128605876574082,4
"X1.4t7","D07","Ctrl","Ctrl","Ctrl_D07","Bacteroides thetaiotaomicron",0.00857372510493882,4
"X1.4t7","D07","Ctrl","Ctrl","Ctrl_D07","Cutibacterium acnes",0.0102706081986246,4
"X1.4t7","D07","Ctrl","Ctrl","Ctrl_D07","Streptococcus unresolved",0.0171251228007502,4
"X1.4t7","D07","Ctrl","Ctrl","Ctrl_D07","Acinetobacter johnsonii",0.0373760828793427,4
"X1.4t90","D90","Ctrl","Ctrl","Ctrl_D90","Vibrio scophthalmi",0.816369451107171,4
"X1.4t90","D90","Ctrl","Ctrl","Ctrl_D90","Unclassified Mycoplasmataceae genus unresolved",0.0442347133868669,4
"X1.4t90","D90","Ctrl","Ctrl","Ctrl_D90","Delftia acidovorans",0,4
"X1.4t90","D90","Ctrl","Ctrl","Ctrl_D90","Cetobacterium unresolved",0,4
"X1.4t90","D90","Ctrl","Ctrl","Ctrl_D90","Vibrio unresolved",0.138283449786213,4
"X1.4t90","D90","Ctrl","Ctrl","Ctrl_D90","Photobacterium unresolved",0,4
"X1.4t90","D90","Ctrl","Ctrl","Ctrl_D90","Candidatus Hamiltonella unresolved",0,4
"X1.4t90","D90","Ctrl","Ctrl","Ctrl_D90","Photobacterium phosphoreum",0,4
"X1.4t90","D90","Ctrl","Ctrl","Ctrl_D90","Buchnera unresolved",0,4
"X1.4t90","D90","Ctrl","Ctrl","Ctrl_D90","Others",0.000730003128584837,4
"X1.4t90","D90","Ctrl","Ctrl","Ctrl_D90","Bacteroides dorei",0,4
"X1.4t90","D90","Ctrl","Ctrl","Ctrl_D90","Blautia unresolved",0,4
"X1.4t90","D90","Ctrl","Ctrl","Ctrl_D90","Bacteroides thetaiotaomicron",0,4
"X1.4t90","D90","Ctrl","Ctrl","Ctrl_D90","Cutibacterium acnes",0,4
"X1.4t90","D90","Ctrl","Ctrl","Ctrl_D90","Streptococcus unresolved",0.000382382591163486,4
"X1.4t90","D90","Ctrl","Ctrl","Ctrl_D90","Acinetobacter johnsonii",0,4
"X1.5t30","D30","Ctrl","Ctrl","Ctrl_D30","Vibrio scophthalmi",0.872647818108302,5
"X1.5t30","D30","Ctrl","Ctrl","Ctrl_D30","Unclassified Mycoplasmataceae genus unresolved",0,5
"X1.5t30","D30","Ctrl","Ctrl","Ctrl_D30","Delftia acidovorans",0,5
"X1.5t30","D30","Ctrl","Ctrl","Ctrl_D30","Cetobacterium unresolved",0.000108861310690181,5
"X1.5t30","D30","Ctrl","Ctrl","Ctrl_D30","Vibrio unresolved",0.126481291406177,5
"X1.5t30","D30","Ctrl","Ctrl","Ctrl_D30","Photobacterium unresolved",0,5
