"comparison","status","pattern","n_groups","n_taxa"
"diet_global","common_all","Ctrl&BL15&BL30",3,9
"diet_global","shared_partial","BL15&BL30",2,2
"diet_global","shared_partial","Ctrl&BL15",2,1
"hydro_global","common_all","Ctrl&Hydrolysate",2,9
"hydro_global","exclusive","Ctrl",1,1
"hydro_global","exclusive","Hydrolysate",1,2
"diet_D07","common_all","Ctrl&BL15&BL30",3,9
"diet_D07","shared_partial","BL15&BL30",2,2
"diet_D07","exclusive","BL15",1,1
"diet_D07","exclusive","BL30",1,1
"diet_D07","exclusive","Ctrl",1,14
"hydro_D07","common_all","Ctrl&Hydrolysate",2,9
"hydro_D07","exclusive","Ctrl",1,14
"hydro_D07","exclusive","Hydrolysate",1,3
"diet_D30","common_all","Ctrl&BL15&BL30",3,10
"diet_D30","shared_partial","BL15&BL30",2,2
"diet_D30","exclusive","BL15",1,2
"diet_D30","exclusive","BL30",1,1
"hydro_D30","common_all","Ctrl&Hydrolysate",2,10
"hydro_D30","exclusive","Hydrolysate",1,3
"diet_D90","common_all","Ctrl&BL15&BL30",3,4
"diet_D90","shared_partial","BL15&BL30",2,1
"diet_D90","shared_partial","Ctrl&BL15",2,2
"diet_D90","shared_partial","Ctrl&BL30",2,1
"diet_D90","exclusive","BL15",1,2
"diet_D90","exclusive","BL30",1,2
"diet_D90","exclusive","Ctrl",1,1
"hydro_D90","common_all","Ctrl&Hydrolysate",2,5
"hydro_D90","exclusive","Ctrl",1,3
"hydro_D90","exclusive","Hydrolysate",1,3
"time_Ctrl","common_all","D07&D30&D90",3,6
"time_Ctrl","shared_partial","D07&D30",2,2
"time_Ctrl","exclusive","D07",1,15
"time_Ctrl","exclusive","D30",1,2
"time_Ctrl","exclusive","D90",1,2
"time_BL15","common_all","D07&D30&D90",3,8
"time_BL15","shared_partial","D07&D30",2,3
"time_BL15","shared_partial","D30&D90",2,1
"time_BL15","exclusive","D07",1,1
"time_BL15","exclusive","D30",1,2
"time_BL30","common_all","D07&D30&D90",3,5
"time_BL30","shared_partial","D07&D30",2,4
"time_BL30","shared_partial","D30&D90",2,1
"time_BL30","exclusive","D07",1,3
"time_BL30","exclusive","D30",1,3
"time_BL30","exclusive","D90",1,2
"ctrl_hydro_feed_global","shared_partial","Ctrl&Hydrolysate",2,9
"ctrl_hydro_feed_global","exclusive","Ctrl",1,1
"ctrl_hydro_feed_global","exclusive","Feed",1,25
"ctrl_hydro_feed_global","exclusive","Hydrolysate",1,2
