"taxon_id","group","prevalence","samples_present","samples_total","taxon_label","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV00001","Ctrl_D07",0.933333333333333,14,15,"ASV00001","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi"
"ASV00001","Ctrl_D30",1,15,15,"ASV00001","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi"
"ASV00001","Ctrl_D90",1,15,15,"ASV00001","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi"
"ASV00001","BL15_D07",0.933333333333333,14,15,"ASV00001","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi"
"ASV00001","BL15_D30",1,15,15,"ASV00001","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi"
"ASV00001","BL15_D90",1,15,15,"ASV00001","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi"
"ASV00001","BL30_D07",0.933333333333333,14,15,"ASV00001","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi"
"ASV00001","BL30_D30",1,14,14,"ASV00001","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi"
"ASV00001","BL30_D90",0.928571428571429,13,14,"ASV00001","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi"
"ASV00002","Ctrl_D90",1,15,15,"ASV00002","Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,
"ASV00002","BL15_D30",0.533333333333333,8,15,"ASV00002","Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,
"ASV00002","BL15_D90",1,15,15,"ASV00002","Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,
"ASV00002","BL30_D30",0.785714285714286,11,14,"ASV00002","Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,
"ASV00002","BL30_D90",1,14,14,"ASV00002","Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,
"ASV00003","Ctrl_D07",0.8,12,15,"ASV00003","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi"
"ASV00003","Ctrl_D30",0.933333333333333,14,15,"ASV00003","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi"
"ASV00003","Ctrl_D90",0.733333333333333,11,15,"ASV00003","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi"
"ASV00003","BL15_D07",0.733333333333333,11,15,"ASV00003","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi"
"ASV00003","BL15_D30",0.933333333333333,14,15,"ASV00003","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi"
"ASV00003","BL15_D90",0.666666666666667,10,15,"ASV00003","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi"
"ASV00003","BL30_D07",0.866666666666667,13,15,"ASV00003","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi"
"ASV00003","BL30_D30",0.928571428571429,13,14,"ASV00003","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi"
"ASV00003","BL30_D90",0.714285714285714,10,14,"ASV00003","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi"
"ASV00004","Ctrl_D07",0.666666666666667,10,15,"ASV00004","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi"
"ASV00004","Ctrl_D30",1,15,15,"ASV00004","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi"
"ASV00004","Ctrl_D90",0.666666666666667,10,15,"ASV00004","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi"
"ASV00004","BL15_D07",0.733333333333333,11,15,"ASV00004","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi"
"ASV00004","BL15_D30",0.933333333333333,14,15,"ASV00004","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi"
"ASV00004","BL15_D90",0.6,9,15,"ASV00004","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi"
"ASV00004","BL30_D07",0.8,12,15,"ASV00004","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi"
"ASV00004","BL30_D30",1,14,14,"ASV00004","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi"
"ASV00005","Ctrl_D07",0.6,9,15,"ASV00005","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi"
"ASV00005","Ctrl_D30",1,15,15,"ASV00005","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi"
"ASV00005","BL15_D07",0.8,12,15,"ASV00005","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi"
"ASV00005","BL15_D30",0.933333333333333,14,15,"ASV00005","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi"
"ASV00005","BL15_D90",0.733333333333333,11,15,"ASV00005","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi"
"ASV00005","BL30_D07",0.6,9,15,"ASV00005","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi"
"ASV00005","BL30_D30",1,14,14,"ASV00005","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi"
"ASV00005","BL30_D90",0.571428571428571,8,14,"ASV00005","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi"
"ASV00006","Ctrl_D07",0.6,9,15,"ASV00006","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Delftia","acidovorans"
"ASV00007","Ctrl_D90",0.666666666666667,10,15,"ASV00007","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",
"ASV00007","BL15_D07",0.6,9,15,"ASV00007","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",
"ASV00007","BL15_D30",0.666666666666667,10,15,"ASV00007","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",
"ASV00007","BL15_D90",0.6,9,15,"ASV00007","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",
"ASV00007","BL30_D07",0.733333333333333,11,15,"ASV00007","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",
"ASV00008","Ctrl_D07",0.533333333333333,8,15,"ASV00008","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",
"ASV00008","Ctrl_D30",0.933333333333333,14,15,"ASV00008","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",
"ASV00008","Ctrl_D90",0.533333333333333,8,15,"ASV00008","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",
