"comparison","set","n_taxa","radius"
"venn_core_asv_diet_global","Ctrl",10,1.06083160441856
"venn_core_asv_diet_global","BL15",12,1.08
"venn_core_asv_diet_global","BL30",11,1.07063396370639
"venn_core_asv_hydro_global","Ctrl",10,1.06976176963403
"venn_core_asv_hydro_global","Hydrolysate",11,1.08
"venn_core_asv_diet_D07","Ctrl",23,1.08
"venn_core_asv_diet_D07","BL15",12,1.01890932607322
"venn_core_asv_diet_D07","BL30",12,1.01890932607322
"venn_core_asv_hydro_D07","Ctrl",23,1.08
"venn_core_asv_hydro_D07","Hydrolysate",12,1.01890932607322
"venn_core_asv_diet_D30","Ctrl",10,1.04593393604027
"venn_core_asv_diet_D30","BL15",14,1.08
"venn_core_asv_diet_D30","BL30",13,1.07199730456508
"venn_core_asv_hydro_D30","Ctrl",10,1.05295276424755
"venn_core_asv_hydro_D30","Hydrolysate",13,1.08
"venn_core_asv_diet_D90","Ctrl",8,1.06741798914805
"venn_core_asv_diet_D90","BL15",9,1.08
"venn_core_asv_diet_D90","BL30",8,1.06741798914805
"venn_core_asv_hydro_D90","Ctrl",8,1.08
"venn_core_asv_hydro_D90","Hydrolysate",8,1.08
"venn_core_asv_ctrl_hydro_feed_global","Ctrl",10,0.999140217047409
"venn_core_asv_ctrl_hydro_feed_global","Hydrolysate",11,1.00593149077564
"venn_core_asv_ctrl_hydro_feed_global","Feed",25,1.08
