"taxon_id","group","prevalence","samples_present","samples_total","taxon_label","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV00001","Ctrl_D07",1,15,15,"Vibrio","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",
"ASV00001","Ctrl_D30",1,15,15,"Vibrio","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",
"ASV00001","Ctrl_D90",1,15,15,"Vibrio","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",
"ASV00001","BL15_D07",1,15,15,"Vibrio","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",
"ASV00001","BL15_D30",1,15,15,"Vibrio","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",
"ASV00001","BL15_D90",1,15,15,"Vibrio","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",
"ASV00001","BL30_D07",1,15,15,"Vibrio","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",
"ASV00001","BL30_D30",1,14,14,"Vibrio","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",
"ASV00001","BL30_D90",0.928571428571429,13,14,"Vibrio","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",
"ASV00002","Ctrl_D90",1,15,15,"Unclassified Mycoplasmataceae genus","Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,
"ASV00002","BL15_D30",0.533333333333333,8,15,"Unclassified Mycoplasmataceae genus","Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,
"ASV00002","BL15_D90",1,15,15,"Unclassified Mycoplasmataceae genus","Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,
"ASV00002","BL30_D30",0.785714285714286,11,14,"Unclassified Mycoplasmataceae genus","Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,
"ASV00002","BL30_D90",1,14,14,"Unclassified Mycoplasmataceae genus","Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,
"ASV00006","Ctrl_D07",0.6,9,15,"Delftia","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Delftia",
"ASV00007","Ctrl_D90",0.666666666666667,10,15,"Cetobacterium","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",
"ASV00007","BL15_D07",0.6,9,15,"Cetobacterium","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",
"ASV00007","BL15_D30",0.666666666666667,10,15,"Cetobacterium","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",
"ASV00007","BL15_D90",0.6,9,15,"Cetobacterium","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",
"ASV00007","BL30_D07",0.8,12,15,"Cetobacterium","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",
"ASV00009","BL15_D30",0.733333333333333,11,15,"Photobacterium","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium",
"ASV00009","BL30_D30",0.785714285714286,11,14,"Photobacterium","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium",
"ASV00012","Ctrl_D07",0.6,9,15,"Candidatus Hamiltonella","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Candidatus Hamiltonella",
"ASV00017","Ctrl_D07",0.6,9,15,"Buchnera","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Buchnera",
"ASV00019","Ctrl_D07",0.6,9,15,"Bacteroides","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",
"ASV00025","Ctrl_D07",0.6,9,15,"Blautia","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia",
"ASV00032","Ctrl_D07",0.8,12,15,"Cutibacterium","Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium",
"ASV00032","BL15_D07",0.666666666666667,10,15,"Cutibacterium","Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium",
"ASV00032","BL30_D07",0.6,9,15,"Cutibacterium","Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium",
"ASV00037","Ctrl_D07",0.6,9,15,"Streptococcus","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",
"ASV00037","BL15_D07",0.6,9,15,"Streptococcus","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",
"ASV00037","BL30_D30",0.5,7,14,"Streptococcus","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",
"ASV00045","Ctrl_D07",0.666666666666667,10,15,"Acinetobacter","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",
"ASV00045","BL15_D07",0.533333333333333,8,15,"Acinetobacter","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",
"ASV00045","BL30_D07",0.666666666666667,10,15,"Acinetobacter","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",
"ASV00052","Ctrl_D07",0.6,9,15,"Brevundimonas","Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas",
"ASV00057","Ctrl_D07",0.533333333333333,8,15,"Ruminococcus","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus",
"ASV00059","Ctrl_D07",0.666666666666667,10,15,"Pseudomonas","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",
"ASV00060","Ctrl_D07",0.666666666666667,10,15,"Staphylococcus","Bacteria","Bacillota","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",
"ASV00060","BL30_D07",0.6,9,15,"Staphylococcus","Bacteria","Bacillota","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",
"ASV00068","Ctrl_D07",0.533333333333333,8,15,"Parabacteroides","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides",
"ASV00080","Ctrl_D07",0.533333333333333,8,15,"Anaerobutyricum","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerobutyricum",
"ASV00098","Ctrl_D07",0.6,9,15,"Priestia","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Priestia",
"ASV00134","Ctrl_D07",0.533333333333333,8,15,"Lachnospiraceae NK4A136 group","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",
"ASV00138","Ctrl_D07",0.533333333333333,8,15,"Anaerostipes","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerostipes",
"ASV00206","Ctrl_D07",0.533333333333333,8,15,"Unclassified Enterobacteriaceae genus","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",,
