"pattern","comparison","n_groups","n_taxa","status","Ctrl","BL15","BL30","x_id","bar_color","Hydrolysate","D07","D30","D90","Feed"
"BL15&BL30","upset_core_genus_diet_global",2,2,"shared_partial",FALSE,TRUE,TRUE,1,"grey55",,,,,
"Ctrl&BL15&BL30","upset_core_genus_diet_global",3,1,"common_all",TRUE,TRUE,TRUE,2,"grey45",,,,,
"Ctrl&BL15","upset_core_genus_diet_global",2,1,"shared_partial",TRUE,TRUE,FALSE,3,"grey55",,,,,
"Ctrl&BL30","upset_core_genus_diet_global",2,0,"shared_partial",TRUE,FALSE,TRUE,4,"grey55",,,,,
"BL15","upset_core_genus_diet_global",1,0,"exclusive",FALSE,TRUE,FALSE,5,"#38A169",,,,,
"BL30","upset_core_genus_diet_global",1,0,"exclusive",FALSE,FALSE,TRUE,6,"#DD6B20",,,,,
"Ctrl","upset_core_genus_diet_global",1,0,"exclusive",TRUE,FALSE,FALSE,7,"#2B6CB0",,,,,
"Hydrolysate","upset_core_genus_hydro_global",1,2,"exclusive",FALSE,,,1,"#C53030",TRUE,,,,
"Ctrl&Hydrolysate","upset_core_genus_hydro_global",2,1,"common_all",TRUE,,,2,"grey45",TRUE,,,,
"Ctrl","upset_core_genus_hydro_global",1,1,"exclusive",TRUE,,,3,"#2B6CB0",FALSE,,,,
"Ctrl","upset_core_genus_diet_D07",1,14,"exclusive",TRUE,FALSE,FALSE,1,"#2B6CB0",,,,,
"Ctrl&BL15&BL30","upset_core_genus_diet_D07",3,3,"common_all",TRUE,TRUE,TRUE,2,"grey45",,,,,
"BL15&BL30","upset_core_genus_diet_D07",2,1,"shared_partial",FALSE,TRUE,TRUE,3,"grey55",,,,,
"Ctrl&BL15","upset_core_genus_diet_D07",2,1,"shared_partial",TRUE,TRUE,FALSE,4,"grey55",,,,,
"Ctrl&BL30","upset_core_genus_diet_D07",2,1,"shared_partial",TRUE,FALSE,TRUE,5,"grey55",,,,,
"BL15","upset_core_genus_diet_D07",1,0,"exclusive",FALSE,TRUE,FALSE,6,"#38A169",,,,,
"BL30","upset_core_genus_diet_D07",1,0,"exclusive",FALSE,FALSE,TRUE,7,"#DD6B20",,,,,
"Ctrl","upset_core_genus_hydro_D07",1,16,"exclusive",TRUE,,,1,"#2B6CB0",FALSE,,,,
"Ctrl&Hydrolysate","upset_core_genus_hydro_D07",2,3,"common_all",TRUE,,,2,"grey45",TRUE,,,,
"Hydrolysate","upset_core_genus_hydro_D07",1,1,"exclusive",FALSE,,,3,"#C53030",TRUE,,,,
"BL15&BL30","upset_core_genus_diet_D30",2,2,"shared_partial",FALSE,TRUE,TRUE,1,"grey55",,,,,
"Ctrl&BL15&BL30","upset_core_genus_diet_D30",3,1,"common_all",TRUE,TRUE,TRUE,2,"grey45",,,,,
"BL15","upset_core_genus_diet_D30",1,1,"exclusive",FALSE,TRUE,FALSE,3,"#38A169",,,,,
"BL30","upset_core_genus_diet_D30",1,1,"exclusive",FALSE,FALSE,TRUE,4,"#DD6B20",,,,,
"Ctrl&BL15","upset_core_genus_diet_D30",2,0,"shared_partial",TRUE,TRUE,FALSE,5,"grey55",,,,,
"Ctrl&BL30","upset_core_genus_diet_D30",2,0,"shared_partial",TRUE,FALSE,TRUE,6,"grey55",,,,,
"Ctrl","upset_core_genus_diet_D30",1,0,"exclusive",TRUE,FALSE,FALSE,7,"#2B6CB0",,,,,
"Hydrolysate","upset_core_genus_hydro_D30",1,3,"exclusive",FALSE,,,1,"#C53030",TRUE,,,,
"Ctrl&Hydrolysate","upset_core_genus_hydro_D30",2,1,"common_all",TRUE,,,2,"grey45",TRUE,,,,
"Ctrl","upset_core_genus_hydro_D30",1,0,"exclusive",TRUE,,,3,"#2B6CB0",FALSE,,,,
"Ctrl&BL15&BL30","upset_core_genus_diet_D90",3,2,"common_all",TRUE,TRUE,TRUE,1,"grey45",,,,,
"Ctrl&BL15","upset_core_genus_diet_D90",2,1,"shared_partial",TRUE,TRUE,FALSE,2,"grey55",,,,,
"BL15&BL30","upset_core_genus_diet_D90",2,0,"shared_partial",FALSE,TRUE,TRUE,3,"grey55",,,,,
"Ctrl&BL30","upset_core_genus_diet_D90",2,0,"shared_partial",TRUE,FALSE,TRUE,4,"grey55",,,,,
"BL15","upset_core_genus_diet_D90",1,0,"exclusive",FALSE,TRUE,FALSE,5,"#38A169",,,,,
