"comparison","pattern","status","n_groups","n_taxa","total_taxa","percent"
"venn_core_genus_diet_global","BL15&BL30","shared_partial",2,2,4,50
"venn_core_genus_diet_global","Ctrl&BL15&BL30","common_all",3,1,4,25
"venn_core_genus_diet_global","Ctrl&BL15","shared_partial",2,1,4,25
"venn_core_genus_diet_global","Ctrl&BL30","shared_partial",2,0,4,0
"venn_core_genus_diet_global","BL15","exclusive",1,0,4,0
"venn_core_genus_diet_global","BL30","exclusive",1,0,4,0
"venn_core_genus_diet_global","Ctrl","exclusive",1,0,4,0
"venn_core_genus_hydro_global","Hydrolysate","exclusive",1,2,4,50
"venn_core_genus_hydro_global","Ctrl&Hydrolysate","common_all",2,1,4,25
"venn_core_genus_hydro_global","Ctrl","exclusive",1,1,4,25
"venn_core_genus_diet_D07","Ctrl","exclusive",1,14,20,70
"venn_core_genus_diet_D07","Ctrl&BL15&BL30","common_all",3,3,20,15
"venn_core_genus_diet_D07","BL15&BL30","shared_partial",2,1,20,5
"venn_core_genus_diet_D07","Ctrl&BL15","shared_partial",2,1,20,5
"venn_core_genus_diet_D07","Ctrl&BL30","shared_partial",2,1,20,5
"venn_core_genus_diet_D07","BL15","exclusive",1,0,20,0
"venn_core_genus_diet_D07","BL30","exclusive",1,0,20,0
"venn_core_genus_hydro_D07","Ctrl","exclusive",1,16,20,80
"venn_core_genus_hydro_D07","Ctrl&Hydrolysate","common_all",2,3,20,15
"venn_core_genus_hydro_D07","Hydrolysate","exclusive",1,1,20,5
"venn_core_genus_diet_D30","BL15&BL30","shared_partial",2,2,5,40
"venn_core_genus_diet_D30","Ctrl&BL15&BL30","common_all",3,1,5,20
"venn_core_genus_diet_D30","BL15","exclusive",1,1,5,20
"venn_core_genus_diet_D30","BL30","exclusive",1,1,5,20
"venn_core_genus_diet_D30","Ctrl&BL15","shared_partial",2,0,5,0
"venn_core_genus_diet_D30","Ctrl&BL30","shared_partial",2,0,5,0
"venn_core_genus_diet_D30","Ctrl","exclusive",1,0,5,0
"venn_core_genus_hydro_D30","Hydrolysate","exclusive",1,3,4,75
"venn_core_genus_hydro_D30","Ctrl&Hydrolysate","common_all",2,1,4,25
"venn_core_genus_hydro_D30","Ctrl","exclusive",1,0,4,0
"venn_core_genus_diet_D90","Ctrl&BL15&BL30","common_all",3,2,3,66.6666666666667
"venn_core_genus_diet_D90","Ctrl&BL15","shared_partial",2,1,3,33.3333333333333
"venn_core_genus_diet_D90","BL15&BL30","shared_partial",2,0,3,0
"venn_core_genus_diet_D90","Ctrl&BL30","shared_partial",2,0,3,0
"venn_core_genus_diet_D90","BL15","exclusive",1,0,3,0
"venn_core_genus_diet_D90","BL30","exclusive",1,0,3,0
"venn_core_genus_diet_D90","Ctrl","exclusive",1,0,3,0
"venn_core_genus_hydro_D90","Ctrl&Hydrolysate","common_all",2,3,3,100
"venn_core_genus_hydro_D90","Ctrl","exclusive",1,0,3,0
"venn_core_genus_hydro_D90","Hydrolysate","exclusive",1,0,3,0
"venn_core_genus_ctrl_hydro_feed_global","Feed","exclusive",1,15,19,78.9473684210526
"venn_core_genus_ctrl_hydro_feed_global","Hydrolysate","exclusive",1,2,19,10.5263157894737
"venn_core_genus_ctrl_hydro_feed_global","Ctrl&Hydrolysate","shared_partial",2,1,19,5.26315789473684
"venn_core_genus_ctrl_hydro_feed_global","Ctrl","exclusive",1,1,19,5.26315789473684
"venn_core_genus_ctrl_hydro_feed_global","Ctrl&Hydrolysate&Feed","common_all",3,0,19,0
"venn_core_genus_ctrl_hydro_feed_global","Ctrl&Feed","shared_partial",2,0,19,0
"venn_core_genus_ctrl_hydro_feed_global","Hydrolysate&Feed","shared_partial",2,0,19,0
