"comparison","set","n_taxa","radius"
"venn_core_genus_diet_global","Ctrl",2,1.01556349186104
"venn_core_genus_diet_global","BL15",4,1.08
"venn_core_genus_diet_global","BL30",3,1.05052558883258
"venn_core_genus_hydro_global","Ctrl",2,1.0396292478041
"venn_core_genus_hydro_global","Hydrolysate",3,1.08
"venn_core_genus_diet_D07","Ctrl",19,1.08
"venn_core_genus_diet_D07","BL15",5,0.972857618729367
"venn_core_genus_diet_D07","BL30",5,0.972857618729367
"venn_core_genus_hydro_D07","Ctrl",19,1.08
"venn_core_genus_hydro_D07","Hydrolysate",4,0.960942922903047
"venn_core_genus_diet_D30","Ctrl",1,0.97
"venn_core_genus_diet_D30","BL15",4,1.08
"venn_core_genus_diet_D30","BL30",4,1.08
"venn_core_genus_hydro_D30","Ctrl",1,0.97
"venn_core_genus_hydro_D30","Hydrolysate",4,1.08
"venn_core_genus_diet_D90","Ctrl",3,1.08
"venn_core_genus_diet_D90","BL15",3,1.08
"venn_core_genus_diet_D90","BL30",2,1.0396292478041
"venn_core_genus_hydro_D90","Ctrl",3,1.08
"venn_core_genus_hydro_D90","Hydrolysate",3,1.08
"venn_core_genus_ctrl_hydro_feed_global","Ctrl",2,0.940332641767424
"venn_core_genus_ctrl_hydro_feed_global","Hydrolysate",3,0.958386991009991
"venn_core_genus_ctrl_hydro_feed_global","Feed",15,1.08
