"term","Df","SumOfSqs","R2","F","Pr(>F)","distance","taxonomic_level","comparison","stratum","formula"
"Model",2,1203.01523628044,0.0195554759328034,1.29645880458312,0.165,"aitchison","ASV","diet_global",,"diet_code"
"Residual",130,60315.0598243443,0.980444524067197,,,"aitchison","ASV","diet_global",,"diet_code"
"Total",132,61518.0750606247,1,,,"aitchison","ASV","diet_global",,"diet_code"
"Model",1,799.544364945947,0.0129969015473584,1.72501393903745,0.084,"aitchison","ASV","hydro_global",,"hydro_group"
"Residual",131,60718.5306956788,0.987003098452642,,,"aitchison","ASV","hydro_global",,"hydro_group"
"Total",132,61518.0750606247,1,,,"aitchison","ASV","hydro_global",,"hydro_group"
"Model",2,10884.7859155017,0.176936386659936,13.9732396700473,0.001,"aitchison","ASV","timepoint_global",,"timepoint"
"Residual",130,50633.2891451231,0.823063613340064,,,"aitchison","ASV","timepoint_global",,"timepoint"
"Total",132,61518.0750606247,1,,,"aitchison","ASV","timepoint_global",,"timepoint"
"Model",8,14162.5905391122,0.230218363060861,4.63558034669704,0.001,"aitchison","ASV","diet_time_interaction",,"diet_code * timepoint"
"Residual",124,47355.4845215125,0.769781636939139,,,"aitchison","ASV","diet_time_interaction",,"diet_code * timepoint"
"Total",132,61518.0750606247,1,,,"aitchison","ASV","diet_time_interaction",,"diet_code * timepoint"
"Model",5,13096.9387357425,0.212895782627069,6.87018664031049,0.001,"aitchison","ASV","hydro_time_interaction",,"hydro_group * timepoint"
"Residual",127,48421.1363248823,0.787104217372931,,,"aitchison","ASV","hydro_time_interaction",,"hydro_group * timepoint"
"Total",132,61518.0750606247,1,,,"aitchison","ASV","hydro_time_interaction",,"hydro_group * timepoint"
"Model",2,1036.50935143593,0.0928536340812362,2.09833778779179,0.006,"aitchison","ASV","diet_within_timepoint","D30","diet_code"
"Residual",41,10126.3208564707,0.907146365918764,,,"aitchison","ASV","diet_within_timepoint","D30","diet_code"
"Total",43,11162.8302079066,1,,,"aitchison","ASV","diet_within_timepoint","D30","diet_code"
"Model",1,641.946040279097,0.0575074625630701,2.5626870576793,0.007,"aitchison","ASV","hydro_within_timepoint","D30","hydro_group"
"Residual",42,10520.8841676275,0.94249253743693,,,"aitchison","ASV","hydro_within_timepoint","D30","hydro_group"
"Total",43,11162.8302079066,1,,,"aitchison","ASV","hydro_within_timepoint","D30","hydro_group"
"Model",2,1843.36035346956,0.0605825827805557,1.35428001979921,0.172,"aitchison","ASV","diet_within_timepoint","D07","diet_code"
"Residual",42,28583.8725056286,0.939417417219444,,,"aitchison","ASV","diet_within_timepoint","D07","diet_code"
"Total",44,30427.2328590981,1,,,"aitchison","ASV","diet_within_timepoint","D07","diet_code"
"Model",1,1359.67069731054,0.044685979287268,2.01137748184513,0.068,"aitchison","ASV","hydro_within_timepoint","D07","hydro_group"
"Residual",43,29067.5621617876,0.955314020712732,,,"aitchison","ASV","hydro_within_timepoint","D07","hydro_group"
"Total",44,30427.2328590981,1,,,"aitchison","ASV","hydro_within_timepoint","D07","hydro_group"
"Model",2,397.934918705046,0.0440036459630176,0.943596425271476,0.452,"aitchison","ASV","diet_within_timepoint","D90","diet_code"
"Residual",41,8645.29115941325,0.955996354036983,,,"aitchison","ASV","diet_within_timepoint","D90","diet_code"
"Total",43,9043.2260781183,1,,,"aitchison","ASV","diet_within_timepoint","D90","diet_code"
"Model",1,210.53608265116,0.0232810814229879,1.00111239904113,0.375,"aitchison","ASV","hydro_within_timepoint","D90","hydro_group"
"Residual",42,8832.68999546714,0.976718918577012,,,"aitchison","ASV","hydro_within_timepoint","D90","hydro_group"
"Total",43,9043.2260781183,1,,,"aitchison","ASV","hydro_within_timepoint","D90","hydro_group"
"Model",2,5504.08528341757,0.248439928282432,6.94187822140142,0.001,"aitchison","ASV","time_within_diet","Ctrl","timepoint"
"Residual",42,16650.506860726,0.751560071717568,,,"aitchison","ASV","time_within_diet","Ctrl","timepoint"
"Total",44,22154.5921441436,1,,,"aitchison","ASV","time_within_diet","Ctrl","timepoint"
"Model",2,3334.59089578881,0.177010183497616,4.51671913663242,0.001,"aitchison","ASV","time_within_diet","BL15","timepoint"
"Residual",42,15503.8218435197,0.822989816502384,,,"aitchison","ASV","time_within_diet","BL15","timepoint"
"Total",44,18838.4127393085,1,,,"aitchison","ASV","time_within_diet","BL15","timepoint"
"Model",2,4120.89912362539,0.213274371500939,5.4218234102232,0.001,"aitchison","ASV","time_within_diet","BL30","timepoint"
"Residual",40,15201.1558172668,0.786725628499061,,,"aitchison","ASV","time_within_diet","BL30","timepoint"
"Total",42,19322.0549408922,1,,,"aitchison","ASV","time_within_diet","BL30","timepoint"
"Model",2,1807.95759903856,0.0604929071505357,1.35214631143269,0.187,"aitchison","ASV","diet_within_timepoint_local_ordination","D07","diet_code"
"Residual",42,28079.1429587093,0.939507092849464,,,"aitchison","ASV","diet_within_timepoint_local_ordination","D07","diet_code"
"Total",44,29887.1005577479,1,,,"aitchison","ASV","diet_within_timepoint_local_ordination","D07","diet_code"
"Model",2,1018.34583854356,0.0962157705086292,2.18240508194852,0.003,"aitchison","ASV","diet_within_timepoint_local_ordination","D30","diet_code"
"Residual",41,9565.63465821118,0.903784229491371,,,"aitchison","ASV","diet_within_timepoint_local_ordination","D30","diet_code"
"Total",43,10583.9804967547,1,,,"aitchison","ASV","diet_within_timepoint_local_ordination","D30","diet_code"
"Model",2,392.187281917612,0.0451858248486802,0.970146268776479,0.423,"aitchison","ASV","diet_within_timepoint_local_ordination","D90","diet_code"
"Residual",41,8287.24444763433,0.95481417515132,,,"aitchison","ASV","diet_within_timepoint_local_ordination","D90","diet_code"
"Total",43,8679.43172955194,1,,,"aitchison","ASV","diet_within_timepoint_local_ordination","D90","diet_code"
"Model",1,1331.73438745561,0.0445588351697894,2.0053876500511,0.079,"aitchison","ASV","hydro_within_timepoint_local_ordination","D07","hydro_group"
"Residual",43,28555.3661702923,0.955441164830211,,,"aitchison","ASV","hydro_within_timepoint_local_ordination","D07","hydro_group"
"Total",44,29887.1005577479,1,,,"aitchison","ASV","hydro_within_timepoint_local_ordination","D07","hydro_group"
"Model",1,623.836347154799,0.0589415624250329,2.63059712660424,0.008,"aitchison","ASV","hydro_within_timepoint_local_ordination","D30","hydro_group"
"Residual",42,9960.14414959994,0.941058437574967,,,"aitchison","ASV","hydro_within_timepoint_local_ordination","D30","hydro_group"
"Total",43,10583.9804967547,1,,,"aitchison","ASV","hydro_within_timepoint_local_ordination","D30","hydro_group"
"Model",1,210.334250475427,0.0242336430574453,1.04309090098361,0.356,"aitchison","ASV","hydro_within_timepoint_local_ordination","D90","hydro_group"
"Residual",42,8469.09747907651,0.975766356942555,,,"aitchison","ASV","hydro_within_timepoint_local_ordination","D90","hydro_group"
"Total",43,8679.43172955194,1,,,"aitchison","ASV","hydro_within_timepoint_local_ordination","D90","hydro_group"
"Model",2,5443.97357306391,0.247270690248463,6.89847522601683,0.001,"aitchison","ASV","time_within_diet_local_ordination","Ctrl","timepoint"
"Residual",42,16572.2773930077,0.752729309751537,,,"aitchison","ASV","time_within_diet_local_ordination","Ctrl","timepoint"
"Total",44,22016.2509660716,1,,,"aitchison","ASV","time_within_diet_local_ordination","Ctrl","timepoint"
"Model",2,3297.66626510413,0.176721506358602,4.50777186844278,0.001,"aitchison","ASV","time_within_diet_local_ordination","BL15","timepoint"
