"group","n","mean_distance_to_centroid","median_distance_to_centroid","sd_distance_to_centroid","distance","taxonomic_level","comparison","stratum","group_variable"
"D30",44,0.53702274819499,0.489808573073432,0.128743503995505,"bray","ASV","timepoint_global",,"timepoint"
"D07",45,0.612911036306563,0.629345731204757,0.0706652581161378,"bray","ASV","timepoint_global",,"timepoint"
"D90",44,0.491205129417799,0.455943831683313,0.127670907031812,"bray","ASV","timepoint_global",,"timepoint"
"Ctrl_D30",15,0.447316222378167,0.371259760341245,0.168741038814796,"bray","ASV","diet_time_interaction",,"diet_time_beta"
"Ctrl_D07",15,0.635880451679245,0.640848934315075,0.05576093349968,"bray","ASV","diet_time_interaction",,"diet_time_beta"
"Ctrl_D90",15,0.557564669354626,0.557316483752537,0.0883878182014478,"bray","ASV","diet_time_interaction",,"diet_time_beta"
"BL15_D30",15,0.561428033338907,0.50782055260547,0.113944882380018,"bray","ASV","diet_time_interaction",,"diet_time_beta"
"BL15_D07",15,0.585864530264555,0.54302589162227,0.113783588643257,"bray","ASV","diet_time_interaction",,"diet_time_beta"
"BL15_D90",15,0.475173654890671,0.469018435514849,0.0949704509122892,"bray","ASV","diet_time_interaction",,"diet_time_beta"
"BL30_D30",14,0.566917135517769,0.543087766804722,0.0797261357661122,"bray","ASV","diet_time_interaction",,"diet_time_beta"
"BL30_D07",15,0.601293228147768,0.60596484115863,0.0742894446834918,"bray","ASV","diet_time_interaction",,"diet_time_beta"
"BL30_D90",14,0.39337520143621,0.291646735354405,0.207279828575113,"bray","ASV","diet_time_interaction",,"diet_time_beta"
"Ctrl_D30",15,0.447316222378167,0.371259760341245,0.168741038814796,"bray","ASV","hydro_time_interaction",,"hydro_time_beta"
"Ctrl_D07",15,0.635880451679245,0.640848934315075,0.05576093349968,"bray","ASV","hydro_time_interaction",,"hydro_time_beta"
"Ctrl_D90",15,0.557564669354626,0.557316483752537,0.0883878182014478,"bray","ASV","hydro_time_interaction",,"hydro_time_beta"
"Hydrolysate_D30",29,0.562806983489216,0.520114099041493,0.103071772702293,"bray","ASV","hydro_time_interaction",,"hydro_time_beta"
"Hydrolysate_D07",30,0.592656105585728,0.595381380605928,0.0957228881351848,"bray","ASV","hydro_time_interaction",,"hydro_time_beta"
"Hydrolysate_D90",29,0.443363673002945,0.352506517133995,0.146132832978795,"bray","ASV","hydro_time_interaction",,"hydro_time_beta"
"Ctrl",15,0.447316222378167,0.371259760341245,0.168741038814796,"bray","ASV","diet_within_timepoint","D30","diet_code"
"BL15",15,0.561428033338907,0.507820552605471,0.113944882380018,"bray","ASV","diet_within_timepoint","D30","diet_code"
"BL30",14,0.56691713551777,0.543087766804723,0.0797261357661122,"bray","ASV","diet_within_timepoint","D30","diet_code"
"Ctrl",15,0.447316222378167,0.371259760341245,0.168741038814796,"bray","ASV","hydro_within_timepoint","D30","hydro_group"
"Hydrolysate",29,0.562806983489216,0.520114099041494,0.103071772702293,"bray","ASV","hydro_within_timepoint","D30","hydro_group"
"D30",15,0.447316222378167,0.371259760341244,0.168741038814797,"bray","ASV","time_within_diet","Ctrl","timepoint"
"D07",15,0.635880451679246,0.640848934315075,0.0557609334996786,"bray","ASV","time_within_diet","Ctrl","timepoint"
"D90",15,0.557564669354625,0.557316483752537,0.0883878182014484,"bray","ASV","time_within_diet","Ctrl","timepoint"
"D30",15,0.561428033338907,0.50782055260547,0.113944882380018,"bray","ASV","time_within_diet","BL15","timepoint"
"D07",15,0.585864530264555,0.54302589162227,0.113783588643257,"bray","ASV","time_within_diet","BL15","timepoint"
"D90",15,0.475173654890671,0.469018435514849,0.0949704509122892,"bray","ASV","time_within_diet","BL15","timepoint"
"D30",14,0.56691713551777,0.543087766804722,0.0797261357661122,"bray","ASV","time_within_diet","BL30","timepoint"
"D07",15,0.601293228147768,0.60596484115863,0.0742894446834917,"bray","ASV","time_within_diet","BL30","timepoint"
"D90",14,0.39337520143621,0.291646735354405,0.207279828575113,"bray","ASV","time_within_diet","BL30","timepoint"
"Ctrl",45,0.604133638478621,0.578587545002028,0.110463411225214,"bray","ASV","ctrl_hydro_feed_global",,"ctrl_hydro_feed"
"Feed",3,0.336345995456207,0.309507194670356,0.0772834300365937,"bray","ASV","ctrl_hydro_feed_global",,"ctrl_hydro_feed"
"Hydrolysate",88,0.602399742093464,0.599137743111022,0.0854886866368166,"bray","ASV","ctrl_hydro_feed_global",,"ctrl_hydro_feed"
"D30",44,0.421990423221089,0.330873325714787,0.193234257358857,"bray","Genus","timepoint_global",,"timepoint"
"D07",45,0.568266359251589,0.541032362618992,0.123478529765371,"bray","Genus","timepoint_global",,"timepoint"
"D90",44,0.485416448268369,0.464516070385071,0.116971928650902,"bray","Genus","timepoint_global",,"timepoint"
"Ctrl_D30",15,0.226723119214526,0.161595573655019,0.197820426983156,"bray","Genus","diet_time_interaction",,"diet_time_beta"
"Ctrl_D07",15,0.626233428189971,0.625777402984929,0.0627693607848592,"bray","Genus","diet_time_interaction",,"diet_time_beta"
"Ctrl_D90",15,0.547873397889935,0.525905881034079,0.0846600054035149,"bray","Genus","diet_time_interaction",,"diet_time_beta"
"BL15_D30",15,0.518823320119357,0.473116973533529,0.145497237380526,"bray","Genus","diet_time_interaction",,"diet_time_beta"
"BL15_D07",15,0.49732018422248,0.366921193196406,0.187464282714761,"bray","Genus","diet_time_interaction",,"diet_time_beta"
"BL15_D90",15,0.464813170888362,0.446539141119617,0.0775478903253879,"bray","Genus","diet_time_interaction",,"diet_time_beta"
"BL30_D30",14,0.446497462103112,0.374866925365522,0.141844746023894,"bray","Genus","diet_time_interaction",,"diet_time_beta"
"BL30_D07",15,0.53685735892206,0.449723101565334,0.149101845985828,"bray","Genus","diet_time_interaction",,"diet_time_beta"
"BL30_D90",14,0.391298273227351,0.283028488346214,0.206016868528651,"bray","Genus","diet_time_interaction",,"diet_time_beta"
"Ctrl_D30",15,0.226723119214526,0.161595573655019,0.197820426983156,"bray","Genus","hydro_time_interaction",,"hydro_time_beta"
"Ctrl_D07",15,0.626233428189971,0.625777402984929,0.0627693607848592,"bray","Genus","hydro_time_interaction",,"hydro_time_beta"
"Ctrl_D90",15,0.547873397889935,0.525905881034079,0.0846600054035149,"bray","Genus","hydro_time_interaction",,"hydro_time_beta"
"Hydrolysate_D30",29,0.481261835184637,0.402972841378843,0.147568880520845,"bray","Genus","hydro_time_interaction",,"hydro_time_beta"
"Hydrolysate_D07",30,0.513875221783507,0.405969249846659,0.173069574492737,"bray","Genus","hydro_time_interaction",,"hydro_time_beta"
"Hydrolysate_D90",29,0.439133001207774,0.359376318056384,0.135356975151611,"bray","Genus","hydro_time_interaction",,"hydro_time_beta"
"Ctrl",15,0.226723119214526,0.161595573655019,0.197820426983156,"bray","Genus","diet_within_timepoint","D30","diet_code"
"BL15",15,0.518823320119357,0.473116973533529,0.145497237380526,"bray","Genus","diet_within_timepoint","D30","diet_code"
"BL30",14,0.446497462103112,0.374866925365521,0.141844746023894,"bray","Genus","diet_within_timepoint","D30","diet_code"
"Ctrl",15,0.226723119214526,0.161595573655019,0.197820426983156,"bray","Genus","hydro_within_timepoint","D30","hydro_group"
"Hydrolysate",29,0.481261835184637,0.402972841378843,0.147568880520845,"bray","Genus","hydro_within_timepoint","D30","hydro_group"
"Ctrl",15,0.626233428189971,0.625777402984928,0.0627693607848589,"bray","Genus","hydro_within_timepoint","D07","hydro_group"
"Hydrolysate",30,0.513875221783507,0.405969249846659,0.173069574492737,"bray","Genus","hydro_within_timepoint","D07","hydro_group"
"D30",15,0.226723119214526,0.161595573655019,0.197820426983156,"bray","Genus","time_within_diet","Ctrl","timepoint"
"D07",15,0.626233428189971,0.625777402984929,0.0627693607848592,"bray","Genus","time_within_diet","Ctrl","timepoint"
"D90",15,0.547873397889935,0.525905881034078,0.084660005403515,"bray","Genus","time_within_diet","Ctrl","timepoint"
"D30",15,0.518823320119357,0.473116973533529,0.145497237380526,"bray","Genus","time_within_diet","BL15","timepoint"
"D07",15,0.49732018422248,0.366921193196406,0.187464282714761,"bray","Genus","time_within_diet","BL15","timepoint"
"D90",15,0.464813170888361,0.446539141119616,0.0775478903253878,"bray","Genus","time_within_diet","BL15","timepoint"
"D30",14,0.446497462103112,0.374866925365521,0.141844746023894,"bray","Genus","time_within_diet","BL30","timepoint"
"D07",15,0.53685735892206,0.449723101565333,0.149101845985828,"bray","Genus","time_within_diet","BL30","timepoint"
"D90",14,0.39129827322735,0.283028488346214,0.206016868528651,"bray","Genus","time_within_diet","BL30","timepoint"
"Ctrl",45,0.562388419741924,0.559554880613436,0.159235760263151,"bray","Genus","ctrl_hydro_feed_global",,"ctrl_hydro_feed"
"Feed",3,0.273622787175188,0.25903068311399,0.0320609221722616,"bray","Genus","ctrl_hydro_feed_global",,"ctrl_hydro_feed"
"Hydrolysate",88,0.557705245833312,0.505147260199627,0.129919463058685,"bray","Genus","ctrl_hydro_feed_global",,"ctrl_hydro_feed"
"D30",44,15.4540273457025,14.726738255744,4.61051532593748,"aitchison","ASV","timepoint_global",,"timepoint"
"D07",45,25.5347917132711,24.971167240146,6.35611628458071,"aitchison","ASV","timepoint_global",,"timepoint"
"D90",44,14.1250179228238,13.0999311348662,3.32301307392069,"aitchison","ASV","timepoint_global",,"timepoint"
"Ctrl_D30",15,13.377624494109,12.8685032636041,5.21157689748362,"aitchison","ASV","diet_time_interaction",,"diet_time_beta"
"Ctrl_D07",15,27.6057028831043,28.5038511847676,3.9038271410276,"aitchison","ASV","diet_time_interaction",,"diet_time_beta"
"Ctrl_D90",15,14.0226879137986,13.2476458941203,3.59713677132293,"aitchison","ASV","diet_time_interaction",,"diet_time_beta"
"BL15_D30",15,16.8075490438938,17.3157782475088,3.46161723672077,"aitchison","ASV","diet_time_interaction",,"diet_time_beta"
"BL15_D07",15,23.0750869770266,19.8482196709756,7.99827529258208,"aitchison","ASV","diet_time_interaction",,"diet_time_beta"
"BL15_D90",15,14.6893896093424,14.0535271399736,2.49130206150284,"aitchison","ASV","diet_time_interaction",,"diet_time_beta"
"BL30_D30",14,15.1223452614893,15.6656651543402,3.87836739723201,"aitchison","ASV","diet_time_interaction",,"diet_time_beta"
"BL30_D07",15,25.2029899165303,24.9089545370816,6.38484968810793,"aitchison","ASV","diet_time_interaction",,"diet_time_beta"
"BL30_D90",14,13.6716435297024,12.5584882655007,3.98234809282796,"aitchison","ASV","diet_time_interaction",,"diet_time_beta"
"Ctrl_D30",15,13.377624494109,12.8685032636041,5.21157689748362,"aitchison","ASV","hydro_time_interaction",,"hydro_time_beta"
"Ctrl_D07",15,27.6057028831043,28.5038511847676,3.9038271410276,"aitchison","ASV","hydro_time_interaction",,"hydro_time_beta"
"Ctrl_D90",15,14.0226879137986,13.2476458941203,3.59713677132293,"aitchison","ASV","hydro_time_interaction",,"hydro_time_beta"
"Hydrolysate_D30",29,16.1390010201531,16.0821066778761,3.68671394497933,"aitchison","ASV","hydro_time_interaction",,"hydro_time_beta"
"Hydrolysate_D07",30,23.9996512440013,21.8588324598502,7.30481019251102,"aitchison","ASV","hydro_time_interaction",,"hydro_time_beta"
"Hydrolysate_D90",29,14.1624343477908,13.270292006804,3.30124155153299,"aitchison","ASV","hydro_time_interaction",,"hydro_time_beta"
"Ctrl",15,12.9854708168656,12.811599855297,4.6946438567886,"aitchison","ASV","diet_within_timepoint","D30","diet_code"
"BL15",15,16.4860260551689,17.1904448467894,3.34934125369637,"aitchison","ASV","diet_within_timepoint","D30","diet_code"
"BL30",14,14.72682513178,15.5460837178622,3.476232539196,"aitchison","ASV","diet_within_timepoint","D30","diet_code"
"Ctrl",15,12.9854708168656,12.811599855297,4.6946438567886,"aitchison","ASV","hydro_within_timepoint","D30","hydro_group"
"Hydrolysate",29,15.7933589790275,15.8549128722652,3.48000527773163,"aitchison","ASV","hydro_within_timepoint","D30","hydro_group"
"D30",15,13.3688381816973,12.8679065376036,5.19969270928446,"aitchison","ASV","time_within_diet","Ctrl","timepoint"
"D07",15,27.5061551732304,28.3806535479971,3.95473176848643,"aitchison","ASV","time_within_diet","Ctrl","timepoint"
