"term","Df","SumOfSqs","R2","F","Pr(>F)","distance","taxonomic_level","comparison","stratum","formula","group_1","group_2"
"Model",1,0.258352072614931,0.0091159346786334,0.809582351553475,0.53,"bray","ASV","diet_global",,"diet_code","Ctrl","BL15"
"Model",1,0.520401077371799,0.0181439342000688,1.58921291577972,0.171,"bray","ASV","diet_global",,"diet_code","Ctrl","BL30"
"Model",1,0.248543958812956,0.00909070734547269,0.78897315577322,0.571,"bray","ASV","diet_global",,"diet_code","BL15","BL30"
"Model",1,2.40538531515627,0.0905703600628654,8.66435508525319,0.001,"bray","ASV","timepoint_global",,"timepoint","D30","D07"
"Model",1,6.49434077669537,0.273045165621535,32.3017100003587,0.001,"bray","ASV","timepoint_global",,"timepoint","D30","D90"
"Model",1,6.77777291778322,0.232489195345442,26.3534531011027,0.001,"bray","ASV","timepoint_global",,"timepoint","D07","D90"
"Model",1,0.550254576581734,0.0909298479758774,2.80070326548023,0.026,"bray","ASV","diet_within_timepoint","D30","diet_code","Ctrl","BL15"
"Model",1,0.628654065819132,0.109230284924912,3.31086434918146,0.013,"bray","ASV","diet_within_timepoint","D30","diet_code","Ctrl","BL30"
"Model",1,0.223074414863036,0.0328523587140591,0.917144029943766,0.47,"bray","ASV","diet_within_timepoint","D30","diet_code","BL15","BL30"
"Model",1,0.58333205520058,0.0588446347282673,1.75066714082406,0.138,"bray","ASV","diet_within_timepoint","D07","diet_code","Ctrl","BL15"
"Model",1,0.508983287233227,0.0509098809922575,1.50194026808911,0.163,"bray","ASV","diet_within_timepoint","D07","diet_code","Ctrl","BL30"
"Model",1,0.26580164390519,0.0299526521276319,0.864570437116479,0.456,"bray","ASV","diet_within_timepoint","D07","diet_code","BL15","BL30"
"Model",1,0.174144204868281,0.0310441311364029,0.897084892874151,0.403,"bray","ASV","diet_within_timepoint","D90","diet_code","Ctrl","BL15"
"Model",1,0.468038264216866,0.0824809865895251,2.42718309415663,0.095,"bray","ASV","diet_within_timepoint","D90","diet_code","Ctrl","BL30"
"Model",1,0.157790649666533,0.0397810185994327,1.11858599235148,0.278,"bray","ASV","diet_within_timepoint","D90","diet_code","BL15","BL30"
"Model",1,2.02565291820082,0.221114179787614,7.94878642464565,0.001,"bray","ASV","time_within_diet","Ctrl","timepoint","D30","D07"
"Model",1,2.10960050330946,0.279175454867035,10.8444042160566,0.001,"bray","ASV","time_within_diet","Ctrl","timepoint","D30","D90"
"Model",1,1.9005643761728,0.182355831904587,6.24472538613227,0.001,"bray","ASV","time_within_diet","Ctrl","timepoint","D07","D90"
"Model",1,0.800465181136687,0.0942175863972005,2.91250125803222,0.024,"bray","ASV","time_within_diet","BL15","timepoint","D30","D07"
"Model",1,2.24258672948194,0.290030804828117,11.4383308323979,0.001,"bray","ASV","time_within_diet","BL15","timepoint","D30","D90"
"Model",1,2.64515110620274,0.297588764315691,11.8626880914307,0.001,"bray","ASV","time_within_diet","BL15","timepoint","D07","D90"
"Model",1,0.713174460901993,0.0870456042738057,2.57431403627045,0.032,"bray","ASV","time_within_diet","BL30","timepoint","D30","D07"
"Model",1,2.66718618935782,0.353112435065705,14.1924560145794,0.001,"bray","ASV","time_within_diet","BL30","timepoint","D30","D90"
"Model",1,3.11072054197725,0.335055007597847,13.6048625202228,0.001,"bray","ASV","time_within_diet","BL30","timepoint","D07","D90"
"Model",1,1.82699723287195,0.110957123354879,5.74103657810626,0.001,"bray","ASV","ctrl_hydro_feed_global",,"ctrl_hydro_feed","Ctrl","Feed"
"Model",1,0.43505641501864,0.0102725296584669,1.3596686214992,0.211,"bray","ASV","ctrl_hydro_feed_global",,"ctrl_hydro_feed","Ctrl","Hydrolysate"
"Model",1,1.93289695669704,0.0658877838170809,6.27763202121735,0.001,"bray","ASV","ctrl_hydro_feed_global",,"ctrl_hydro_feed","Feed","Hydrolysate"
