"term","Df","SumOfSqs","R2","F","Pr(>F)","distance","taxonomic_level","comparison","stratum","formula"
"Model",2,0.683600373831595,0.0161411368096324,1.06638658437649,0.375,"bray","ASV","diet_global",,"diet_code"
"Residual",130,41.6678388025991,0.983858863190368,,,"bray","ASV","diet_global",,"diet_code"
"Total",132,42.3514391764307,1,,,"bray","ASV","diet_global",,"diet_code"
"Model",1,0.43505641501864,0.0102725296584669,1.3596686214992,0.199,"bray","ASV","hydro_global",,"hydro_group"
"Residual",131,41.9163827614121,0.989727470341533,,,"bray","ASV","hydro_global",,"hydro_group"
"Total",132,42.3514391764307,1,,,"bray","ASV","hydro_global",,"hydro_group"
"Model",2,10.442128353991,0.246558996743663,21.2708556065744,0.001,"bray","ASV","timepoint_global",,"timepoint"
"Residual",130,31.9093108224397,0.753441003256337,,,"bray","ASV","timepoint_global",,"timepoint"
"Total",132,42.3514391764307,1,,,"bray","ASV","timepoint_global",,"timepoint"
"Model",8,12.8152925847148,0.302594028300382,6.72521835054786,0.001,"bray","ASV","diet_time_interaction",,"diet_code * timepoint"
"Residual",124,29.5361465917159,0.697405971699618,,,"bray","ASV","diet_time_interaction",,"diet_code * timepoint"
"Total",132,42.3514391764307,1,,,"bray","ASV","diet_time_interaction",,"diet_code * timepoint"
"Model",5,12.16862587628,0.287324967295376,10.2403673966326,0.001,"bray","ASV","hydro_time_interaction",,"hydro_group * timepoint"
"Residual",127,30.1828133001507,0.712675032704624,,,"bray","ASV","hydro_time_interaction",,"hydro_group * timepoint"
"Total",132,42.3514391764307,1,,,"bray","ASV","hydro_time_interaction",,"hydro_group * timepoint"
"Model",2,0.93654007357352,0.098231419860451,2.23310520181089,0.016,"bray","ASV","diet_within_timepoint","D30","diet_code"
"Residual",41,8.59747740173104,0.901768580139549,,,"bray","ASV","diet_within_timepoint","D30","diet_code"
"Total",43,9.53401747530456,1,,,"bray","ASV","diet_within_timepoint","D30","diet_code"
"Model",1,0.713465658710484,0.0748336848090047,3.3972429717454,0.011,"bray","ASV","hydro_within_timepoint","D30","hydro_group"
"Residual",42,8.82055181659408,0.925166315190995,,,"bray","ASV","hydro_within_timepoint","D30","hydro_group"
"Total",43,9.53401747530456,1,,,"bray","ASV","hydro_within_timepoint","D30","hydro_group"
"Model",2,0.905411324225998,0.0619347542386004,1.3865025326196,0.192,"bray","ASV","diet_within_timepoint","D07","diet_code"
"Residual",42,13.7133812318556,0.9380652457614,,,"bray","ASV","diet_within_timepoint","D07","diet_code"
"Total",44,14.6187925560816,1,,,"bray","ASV","diet_within_timepoint","D07","diet_code"
"Model",1,0.639609680320809,0.043752565601235,1.96744090825823,0.098,"bray","ASV","hydro_within_timepoint","D07","hydro_group"
"Residual",43,13.9791828757608,0.956247434398765,,,"bray","ASV","hydro_within_timepoint","D07","hydro_group"
"Total",44,14.6187925560816,1,,,"bray","ASV","hydro_within_timepoint","D07","hydro_group"
"Model",2,0.53121283292425,0.0684861443625409,1.50718741426698,0.193,"bray","ASV","diet_within_timepoint","D90","diet_code"
"Residual",41,7.22528795812922,0.931513855637459,,,"bray","ASV","diet_within_timepoint","D90","diet_code"
"Total",43,7.75650079105347,1,,,"bray","ASV","diet_within_timepoint","D90","diet_code"
"Model",1,0.373422183257717,0.0481431244986697,2.1242807411347,0.105,"bray","ASV","hydro_within_timepoint","D90","hydro_group"
"Residual",42,7.38307860779575,0.95185687550133,,,"bray","ASV","hydro_within_timepoint","D90","hydro_group"
"Total",43,7.75650079105347,1,,,"bray","ASV","hydro_within_timepoint","D90","hydro_group"
"Model",2,4.02387853178872,0.276063044931592,8.00805084334399,0.001,"bray","ASV","time_within_diet","Ctrl","timepoint"
"Residual",42,10.5520620211593,0.723936955068408,,,"bray","ASV","time_within_diet","Ctrl","timepoint"
"Total",44,14.575940552948,1,,,"bray","ASV","time_within_diet","Ctrl","timepoint"
"Model",2,3.79213534454758,0.280765423202405,8.19770639156822,0.001,"bray","ASV","time_within_diet","BL15","timepoint"
"Residual",42,9.71428329238626,0.719234576797595,,,"bray","ASV","time_within_diet","BL15","timepoint"
"Total",44,13.5064186369338,1,,,"bray","ASV","time_within_diet","BL15","timepoint"
"Model",2,4.31567833454691,0.317668456143944,9.31126397436374,0.001,"bray","ASV","time_within_diet","BL30","timepoint"
"Residual",40,9.26980127817031,0.682331543856056,,,"bray","ASV","time_within_diet","BL30","timepoint"
"Total",42,13.5854796127172,1,,,"bray","ASV","time_within_diet","BL30","timepoint"
"Model",2,0.905411324225998,0.0619347542386004,1.3865025326196,0.212,"bray","ASV","diet_within_timepoint_local_ordination","D07","diet_code"
"Residual",42,13.7133812318556,0.9380652457614,,,"bray","ASV","diet_within_timepoint_local_ordination","D07","diet_code"
"Total",44,14.6187925560816,1,,,"bray","ASV","diet_within_timepoint_local_ordination","D07","diet_code"
"Model",2,0.93654007357352,0.098231419860451,2.23310520181089,0.022,"bray","ASV","diet_within_timepoint_local_ordination","D30","diet_code"
"Residual",41,8.59747740173104,0.901768580139549,,,"bray","ASV","diet_within_timepoint_local_ordination","D30","diet_code"
"Total",43,9.53401747530456,1,,,"bray","ASV","diet_within_timepoint_local_ordination","D30","diet_code"
"Model",2,0.53121283292425,0.0684861443625409,1.50718741426698,0.193,"bray","ASV","diet_within_timepoint_local_ordination","D90","diet_code"
"Residual",41,7.22528795812922,0.931513855637459,,,"bray","ASV","diet_within_timepoint_local_ordination","D90","diet_code"
"Total",43,7.75650079105347,1,,,"bray","ASV","diet_within_timepoint_local_ordination","D90","diet_code"
"Model",1,0.639609680320809,0.043752565601235,1.96744090825823,0.084,"bray","ASV","hydro_within_timepoint_local_ordination","D07","hydro_group"
"Residual",43,13.9791828757608,0.956247434398765,,,"bray","ASV","hydro_within_timepoint_local_ordination","D07","hydro_group"
"Total",44,14.6187925560816,1,,,"bray","ASV","hydro_within_timepoint_local_ordination","D07","hydro_group"
"Model",1,0.713465658710484,0.0748336848090047,3.3972429717454,0.011,"bray","ASV","hydro_within_timepoint_local_ordination","D30","hydro_group"
"Residual",42,8.82055181659408,0.925166315190995,,,"bray","ASV","hydro_within_timepoint_local_ordination","D30","hydro_group"
"Total",43,9.53401747530456,1,,,"bray","ASV","hydro_within_timepoint_local_ordination","D30","hydro_group"
"Model",1,0.373422183257717,0.0481431244986697,2.1242807411347,0.107,"bray","ASV","hydro_within_timepoint_local_ordination","D90","hydro_group"
"Residual",42,7.38307860779575,0.95185687550133,,,"bray","ASV","hydro_within_timepoint_local_ordination","D90","hydro_group"
"Total",43,7.75650079105347,1,,,"bray","ASV","hydro_within_timepoint_local_ordination","D90","hydro_group"
"Model",2,4.02387853178872,0.276063044931592,8.00805084334399,0.001,"bray","ASV","time_within_diet_local_ordination","Ctrl","timepoint"
"Residual",42,10.5520620211593,0.723936955068408,,,"bray","ASV","time_within_diet_local_ordination","Ctrl","timepoint"
"Total",44,14.575940552948,1,,,"bray","ASV","time_within_diet_local_ordination","Ctrl","timepoint"
"Model",2,3.79213534454758,0.280765423202405,8.19770639156822,0.001,"bray","ASV","time_within_diet_local_ordination","BL15","timepoint"
"Residual",42,9.71428329238626,0.719234576797595,,,"bray","ASV","time_within_diet_local_ordination","BL15","timepoint"
"Total",44,13.5064186369338,1,,,"bray","ASV","time_within_diet_local_ordination","BL15","timepoint"
"Model",2,4.31567833454691,0.317668456143944,9.31126397436374,0.001,"bray","ASV","time_within_diet_local_ordination","BL30","timepoint"
"Residual",40,9.26980127817031,0.682331543856056,,,"bray","ASV","time_within_diet_local_ordination","BL30","timepoint"
"Total",42,13.5854796127172,1,,,"bray","ASV","time_within_diet_local_ordination","BL30","timepoint"
"Model",2,2.36361759878502,0.0533032315651751,3.74424527184617,0.001,"bray","ASV","ctrl_hydro_feed_global",,"ctrl_hydro_feed"
"Residual",133,41.9792398487034,0.946696768434825,,,"bray","ASV","ctrl_hydro_feed_global",,"ctrl_hydro_feed"
"Total",135,44.3428574474884,1,,,"bray","ASV","ctrl_hydro_feed_global",,"ctrl_hydro_feed"
"Model",2,0.498904586015664,0.0131648517633022,0.867131015898305,0.549,"bray","Genus","diet_global",,"diet_code"
"Residual",130,37.3978066710295,0.986835148236698,,,"bray","Genus","diet_global",,"diet_code"
"Total",132,37.8967112570451,1,,,"bray","Genus","diet_global",,"diet_code"
"Model",1,0.364731967282078,0.00962436990397876,1.27304471062053,0.246,"bray","Genus","hydro_global",,"hydro_group"
"Residual",131,37.5319792897631,0.990375630096021,,,"bray","Genus","hydro_global",,"hydro_group"
"Total",132,37.8967112570451,1,,,"bray","Genus","hydro_global",,"hydro_group"
"Model",2,10.9314978974755,0.28845505414255,26.3505188652159,0.001,"bray","Genus","timepoint_global",,"timepoint"
"Residual",130,26.9652133595696,0.71154494585745,,,"bray","Genus","timepoint_global",,"timepoint"
"Total",132,37.8967112570451,1,,,"bray","Genus","timepoint_global",,"timepoint"
"Model",8,13.3042574866917,0.351066281093677,8.38533612665843,0.001,"bray","Genus","diet_time_interaction",,"diet_code * timepoint"
"Residual",124,24.5924537703534,0.648933718906323,,,"bray","Genus","diet_time_interaction",,"diet_code * timepoint"
"Total",132,37.8967112570451,1,,,"bray","Genus","diet_time_interaction",,"diet_code * timepoint"
"Model",5,12.7780149426259,0.337180048578766,12.9211156295714,0.001,"bray","Genus","hydro_time_interaction",,"hydro_group * timepoint"
"Residual",127,25.1186963144192,0.662819951421235,,,"bray","Genus","hydro_time_interaction",,"hydro_group * timepoint"
"Total",132,37.8967112570451,1,,,"bray","Genus","hydro_time_interaction",,"hydro_group * timepoint"
"Model",2,0.85425343822936,0.131830698837863,3.112905884323,0.009,"bray","Genus","diet_within_timepoint","D30","diet_code"
"Residual",41,5.62567457368229,0.868169301162137,,,"bray","Genus","diet_within_timepoint","D30","diet_code"
