"taxon_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","level","comparison","family","group_variable","reference","contrast","adjustment","n_reference","n_contrast","Kingdom","Phylum","Class","Order","Family","Genus","Species","Species_addSpecies","taxon_label","significant"
"ASV00001",17557.7398756825,-0.438882699417485,0.473506862499302,-0.926877167314827,0.353990313298267,0.858158335268526,"DESeq2","asv","global_Hydrolysate_vs_Ctrl","global_hydro_adjusted_time","hydro_group","Ctrl","Hydrolysate","timepoint",45,88,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi","ichthyoenteri/scophthalmi","scophthalmi (ASV00001)",FALSE
"ASV00002",104021.386659788,2.50172718609086,0.946131669826924,2.64416387895408,0.00818929963958992,0.0492623222278966,"DESeq2","asv","global_Hydrolysate_vs_Ctrl","global_hydro_adjusted_time","hydro_group","Ctrl","Hydrolysate","timepoint",45,88,"Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,,,"Unclassified Mycoplasmataceae genus (ASV00002)",TRUE
"ASV00003",3448.5534608115,-0.570118197473137,0.595715697288888,-0.957030677666803,0.338551771050404,0.84637942762601,"DESeq2","asv","global_Hydrolysate_vs_Ctrl","global_hydro_adjusted_time","hydro_group","Ctrl","Hydrolysate","timepoint",45,88,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi","parahaemolyticus","scophthalmi (ASV00003)",FALSE
"ASV00004",2522.88351514239,-0.725694812937453,0.620114859574492,-1.17025870567818,0.241896874425869,0.645058331802318,"DESeq2","asv","global_Hydrolysate_vs_Ctrl","global_hydro_adjusted_time","hydro_group","Ctrl","Hydrolysate","timepoint",45,88,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi","scophthalmi","scophthalmi (ASV00004)",FALSE
"ASV00005",2076.32501471327,-0.581052461448127,0.647752481892226,-0.897028537429522,0.369703689450477,0.869891034001121,"DESeq2","asv","global_Hydrolysate_vs_Ctrl","global_hydro_adjusted_time","hydro_group","Ctrl","Hydrolysate","timepoint",45,88,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi","ichthyoenteri/scophthalmi","scophthalmi (ASV00005)",FALSE
"ASV00006",434.54707352416,-3.57596406707017,1.35742839877664,-2.63436662316255,0.0084294414385873,0.0492623222278966,"DESeq2","asv","global_Hydrolysate_vs_Ctrl","global_hydro_adjusted_time","hydro_group","Ctrl","Hydrolysate","timepoint",45,88,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Delftia","acidovorans","acidovorans/lacustris/tsuruhatensis","acidovorans (ASV00006)",TRUE
"ASV00007",930.357474833594,-2.23093143027818,0.934877265652066,-2.38633616651501,0.0170171877512264,0.0850859387561319,"DESeq2","asv","global_Hydrolysate_vs_Ctrl","global_hydro_adjusted_time","hydro_group","Ctrl","Hydrolysate","timepoint",45,88,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",,,"Cetobacterium (ASV00007)",FALSE
"ASV00008",2052.55418116807,1.21575486626067,0.729475115924227,1.66661595402105,0.0955907944697971,0.325362390356946,"DESeq2","asv","global_Hydrolysate_vs_Ctrl","global_hydro_adjusted_time","hydro_group","Ctrl","Hydrolysate","timepoint",45,88,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,"renipiscarius","Vibrio (ASV00008)",FALSE
"ASV00009",3321.09008164083,9.74607506719432,1.36292793601927,7.15083667274434,8.62505645272694e-13,1.72501129054539e-11,"DESeq2","asv","global_Hydrolysate_vs_Ctrl","global_hydro_adjusted_time","hydro_group","Ctrl","Hydrolysate","timepoint",45,88,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium",,"phosphoreum/piscicola","Photobacterium (ASV00009)",TRUE
"ASV00010",1281.68435404928,-0.206519215871105,0.622364743892865,-0.331829876125914,0.740017723394259,0.927196949638154,"DESeq2","asv","global_Hydrolysate_vs_Ctrl","global_hydro_adjusted_time","hydro_group","Ctrl","Hydrolysate","timepoint",45,88,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,"alginolyticus/parahaemolyticus/rotiferianus","Vibrio (ASV00010)",FALSE
"ASV00011",1655.52229827592,1.26242113781365,0.748810041530663,1.68590305657907,0.0918144731298167,0.325362390356946,"DESeq2","asv","global_Hydrolysate_vs_Ctrl","global_hydro_adjusted_time","hydro_group","Ctrl","Hydrolysate","timepoint",45,88,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,,"Vibrio (ASV00011)",FALSE
"ASV00012",242.744693308789,-0.654949154235575,1.41911405711217,-0.461519742513412,0.644425760459319,0.927196949638154,"DESeq2","asv","global_Hydrolysate_vs_Ctrl","global_hydro_adjusted_time","hydro_group","Ctrl","Hydrolysate","timepoint",45,88,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Candidatus Hamiltonella",,"defensa","Candidatus Hamiltonella (ASV00012)",FALSE
"ASV00013",1219.54170889765,1.23232997957646,0.752897433532396,1.63678334483714,0.101675746986546,0.325362390356946,"DESeq2","asv","global_Hydrolysate_vs_Ctrl","global_hydro_adjusted_time","hydro_group","Ctrl","Hydrolysate","timepoint",45,88,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,"renipiscarius","Vibrio (ASV00013)",FALSE
