"taxon_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","level","comparison","family","group_variable","reference","contrast","adjustment","n_reference","n_contrast","Kingdom","Phylum","Class","Order","Family","Genus","Species","Species_addSpecies","taxon_label","significant"
"ASV00006",697.009249583287,-28.7050136913465,1.67856216946496,-17.1009535503211,1.45995932828015e-65,1.24096542903813e-63,"DESeq2","asv","Hydrolysate_D30_vs_D07","time_within_hydro_group","timepoint","D07","D30","",30,29,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Delftia","acidovorans","acidovorans/lacustris/tsuruhatensis","acidovorans (ASV00006)",TRUE
"ASV00086",51.7499551079477,26.4348097329603,1.63738400726699,16.1445388593257,1.24072292189352e-58,9.05727732982269e-57,"DESeq2","asv","Hydrolysate_D90_vs_D07","time_within_hydro_group","timepoint","D07","D90","",30,29,"Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,,,"Unclassified Mycoplasmataceae genus (ASV00086)",TRUE
"ASV00006",996.496437255324,-30,1.90496033141065,-15.7483594305529,7.0486284904091e-56,2.57274939899932e-54,"DESeq2","asv","Hydrolysate_D90_vs_D07","time_within_hydro_group","timepoint","D07","D90","",30,29,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Delftia","acidovorans","acidovorans/lacustris/tsuruhatensis","acidovorans (ASV00006)",TRUE
"ASV00006",959.882829968404,-29.2498074713123,1.85366121168043,-15.7794786269471,4.30731209054774e-56,4.82418954141347e-54,"DESeq2","asv","Ctrl_D30_vs_D07","time_within_diet","timepoint","D07","D30","",15,15,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Delftia","acidovorans","acidovorans/lacustris/tsuruhatensis","acidovorans (ASV00006)",TRUE
"ASV00012",793.839665944665,-28.9888234754053,1.85636660204079,-15.6158936729074,5.67444281091872e-55,3.17768797411448e-53,"DESeq2","asv","Ctrl_D30_vs_D07","time_within_diet","timepoint","D07","D30","",15,15,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Candidatus Hamiltonella",,"defensa","Candidatus Hamiltonella (ASV00012)",TRUE
"ASV00017",314.281698693909,-27.731334104895,1.83517003240298,-15.1110434538774,1.36953738059874e-51,5.11293955423531e-50,"DESeq2","asv","Ctrl_D30_vs_D07","time_within_diet","timepoint","D07","D30","",15,15,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Buchnera",,,"Buchnera (ASV00017)",TRUE
"ASV00002",44832.7877319134,19.0183845581296,1.25350951688525,15.1721102248884,5.41088287628618e-52,6.54716828030628e-50,"DESeq2","asv","BL15_D90_vs_D07","time_within_diet","timepoint","D07","D90","",15,15,"Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,,,"Unclassified Mycoplasmataceae genus (ASV00002)",TRUE
"ASV00012",281.037926613609,-26.7292481267499,1.78109633238379,-15.0071883484123,6.5881730003045e-51,2.79997352512941e-49,"DESeq2","asv","Hydrolysate_D30_vs_D07","time_within_hydro_group","timepoint","D07","D30","",30,29,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Candidatus Hamiltonella",,"defensa","Candidatus Hamiltonella (ASV00012)",TRUE
"ASV00019",229.645453760368,-26.9572132706793,1.82159350203512,-14.7986986342245,1.4934414167541e-49,4.18163596691147e-48,"DESeq2","asv","Ctrl_D30_vs_D07","time_within_diet","timepoint","D07","D30","",15,15,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","dorei","dorei/vulgatus","dorei (ASV00019)",TRUE
"ASV00012",415.206391408893,-28.9183243187079,2.0342327438175,-14.215838579237,7.30708492495576e-46,1.77805733173924e-44,"DESeq2","asv","Hydrolysate_D90_vs_D07","time_within_hydro_group","timepoint","D07","D90","",30,29,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Candidatus Hamiltonella",,"defensa","Candidatus Hamiltonella (ASV00012)",TRUE
