"taxon_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","level","comparison","family","group_variable","reference","contrast","adjustment","n_reference","n_contrast","Kingdom","Phylum","Class","Order","Family","Genus","Species","Species_addSpecies","taxon_label","significant"
"ASV00001",56309.149070875,0.445609340434196,0.475301955411905,0.937528944201425,0.348486542365082,0.99116971717928,"DESeq2","genus","global_Hydrolysate_vs_Ctrl","global_hydro_adjusted_time","hydro_group","Ctrl","Hydrolysate","timepoint",45,88,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,,"Vibrio",FALSE
"ASV00002",49946.8016832435,-1.44281901937145,0.944663468657434,-1.52733652484942,0.126677351519527,0.99116971717928,"DESeq2","genus","global_Hydrolysate_vs_Ctrl","global_hydro_adjusted_time","hydro_group","Ctrl","Hydrolysate","timepoint",45,88,"Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,,,"Unclassified Mycoplasmataceae genus",FALSE
"ASV00006",307.137399674708,-3.55842870076369,1.28988454106648,-2.75871877479947,0.00580284487428371,0.198488876796322,"DESeq2","genus","global_Hydrolysate_vs_Ctrl","global_hydro_adjusted_time","hydro_group","Ctrl","Hydrolysate","timepoint",45,88,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Delftia",,,"Delftia",FALSE
"ASV00007",469.386727829439,0.283561563659565,0.869507183148377,0.32611756309226,0.74433540937934,0.99116971717928,"DESeq2","genus","global_Hydrolysate_vs_Ctrl","global_hydro_adjusted_time","hydro_group","Ctrl","Hydrolysate","timepoint",45,88,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",,,"Cetobacterium",FALSE
"ASV00009",1815.92507608268,8.2355528607861,1.15549224680883,7.12731122474476,1.0234849814971e-12,7.8808343575277e-11,"DESeq2","genus","global_Hydrolysate_vs_Ctrl","global_hydro_adjusted_time","hydro_group","Ctrl","Hydrolysate","timepoint",45,88,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium",,,"Photobacterium",TRUE
"ASV00012",180.208582774288,-0.698566673748635,1.32293563705698,-0.528042827013622,0.597469611362534,0.99116971717928,"DESeq2","genus","global_Hydrolysate_vs_Ctrl","global_hydro_adjusted_time","hydro_group","Ctrl","Hydrolysate","timepoint",45,88,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Candidatus Hamiltonella",,,"Candidatus Hamiltonella",FALSE
"ASV00017",80.2024051124908,-0.444181232369613,1.29294350400301,-0.343542645904023,0.731190263917881,0.99116971717928,"DESeq2","genus","global_Hydrolysate_vs_Ctrl","global_hydro_adjusted_time","hydro_group","Ctrl","Hydrolysate","timepoint",45,88,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Buchnera",,,"Buchnera",FALSE
"ASV00018",8.77838369965463,-1.86037354781093,1.63272552293893,-1.13942822701897,0.254524588296666,0.99116971717928,"DESeq2","genus","global_Hydrolysate_vs_Ctrl","global_hydro_adjusted_time","hydro_group","Ctrl","Hydrolysate","timepoint",45,88,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Mitochondria",,,,"Unclassified Mitochondria genus",FALSE
"ASV00019",77.2825183948853,-1.78609592378146,1.25188659726204,-1.42672341703137,0.153659633112202,0.99116971717928,"DESeq2","genus","global_Hydrolysate_vs_Ctrl","global_hydro_adjusted_time","hydro_group","Ctrl","Hydrolysate","timepoint",45,88,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",,,"Bacteroides",FALSE
"ASV00025",46.61767570064,-0.698086487745944,1.30091247999886,-0.536612953199245,0.591534994801451,0.99116971717928,"DESeq2","genus","global_Hydrolysate_vs_Ctrl","global_hydro_adjusted_time","hydro_group","Ctrl","Hydrolysate","timepoint",45,88,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia",,,"Blautia",FALSE
"ASV00029",19.9213498064449,-0.32091633708031,1.28663227701218,-0.249423508809792,0.803033202263264,0.99116971717928,"DESeq2","genus","global_Hydrolysate_vs_Ctrl","global_hydro_adjusted_time","hydro_group","Ctrl","Hydrolysate","timepoint",45,88,"Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus",,,"Lactococcus",FALSE
"ASV00030",4.2920953336832,-1.92512456185087,1.70089342829257,-1.13183138333563,0.257705330837292,0.99116971717928,"DESeq2","genus","global_Hydrolysate_vs_Ctrl","global_hydro_adjusted_time","hydro_group","Ctrl","Hydrolysate","timepoint",45,88,"Bacteria","Bacillota","Bacilli","Lactobacillales","Listeriaceae","Listeria",,,"Listeria",FALSE
"ASV00032",42.6547454872413,-0.0264572503260713,0.72641977201655,-0.0364214347478809,0.970946323059331,0.99116971717928,"DESeq2","genus","global_Hydrolysate_vs_Ctrl","global_hydro_adjusted_time","hydro_group","Ctrl","Hydrolysate","timepoint",45,88,"Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium",,,"Cutibacterium",FALSE
"ASV00034",2.40240960142729,-0.844634696366362,1.83058921354782,-0.461400455173336,0.644511325016053,0.99116971717928,"DESeq2","genus","global_Hydrolysate_vs_Ctrl","global_hydro_adjusted_time","hydro_group","Ctrl","Hydrolysate","timepoint",45,88,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus",,,"Ligilactobacillus",FALSE
"ASV00035",12.0313503713133,-0.298727146169032,1.40184036160889,-0.213096408371481,0.83125176601481,0.99116971717928,"DESeq2","genus","global_Hydrolysate_vs_Ctrl","global_hydro_adjusted_time","hydro_group","Ctrl","Hydrolysate","timepoint",45,88,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Pediococcus",,,"Pediococcus",FALSE
"ASV00036",1.81711519254609,0.0538511117342476,1.37182342431569,0.0392551335541674,0.968686977259345,0.99116971717928,"DESeq2","genus","global_Hydrolysate_vs_Ctrl","global_hydro_adjusted_time","hydro_group","Ctrl","Hydrolysate","timepoint",45,88,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella",,,"Escherichia-Shigella",FALSE
"ASV00037",34.4995446224109,0.312616131596911,0.929877430366072,0.33619068641535,0.736727075756822,0.99116971717928,"DESeq2","genus","global_Hydrolysate_vs_Ctrl","global_hydro_adjusted_time","hydro_group","Ctrl","Hydrolysate","timepoint",45,88,"Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",,,"Streptococcus",FALSE
"ASV00043",0.523860050200152,-0.25732877892476,2.29003203450945,-0.112369073902445,0.910530775446063,0.99116971717928,"DESeq2","genus","global_Hydrolysate_vs_Ctrl","global_hydro_adjusted_time","hydro_group","Ctrl","Hydrolysate","timepoint",45,88,"Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",,,"Enterococcus",FALSE
"ASV00045",92.9884970926256,2.55544147737682,0.959431313661371,2.66349601163711,0.00773333286219434,0.198488876796322,"DESeq2","genus","global_Hydrolysate_vs_Ctrl","global_hydro_adjusted_time","hydro_group","Ctrl","Hydrolysate","timepoint",45,88,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",,,"Acinetobacter",FALSE
"ASV00049",9.34891234662413,-1.55790110687732,1.2653040788789,-1.23124641173817,0.218230717723407,0.99116971717928,"DESeq2","genus","global_Hydrolysate_vs_Ctrl","global_hydro_adjusted_time","hydro_group","Ctrl","Hydrolysate","timepoint",45,88,"Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",,,"Bacillus",FALSE
"ASV00052",8.13971772189827,0.82496639665617,1.22548330706319,0.673176363889576,0.500835096395121,0.99116971717928,"DESeq2","genus","global_Hydrolysate_vs_Ctrl","global_hydro_adjusted_time","hydro_group","Ctrl","Hydrolysate","timepoint",45,88,"Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas",,,"Brevundimonas",FALSE
