"taxon_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","level","comparison","family","group_variable","reference","contrast","adjustment","n_reference","n_contrast","Kingdom","Phylum","Class","Order","Family","Genus","Species","Species_addSpecies","taxon_label","significant"
"ASV00002",55118.1568221279,19.5026730213696,0.819474684845421,23.7989938945441,3.42084957360167e-125,2.12092673563303e-123,"DESeq2","genus","BL15_D90_vs_D07","time_within_diet","timepoint","D07","D90","",15,15,"Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,,,"Unclassified Mycoplasmataceae genus",TRUE
"ASV00006",583.373817964782,-29.9195747654456,1.72623849898971,-17.3322369898228,2.68671860547644e-67,1.23589055851916e-65,"DESeq2","genus","Hydrolysate_D30_vs_D07","time_within_hydro_group","timepoint","D07","D30","",30,29,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Delftia",,,"Delftia",TRUE
"ASV00019",259.977839817499,-28.5845078560548,1.75850398568771,-16.2550145400302,2.05819492595065e-59,1.00851551371582e-57,"DESeq2","genus","Ctrl_D30_vs_D07","time_within_diet","timepoint","D07","D30","",15,15,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",,,"Bacteroides",TRUE
"ASV00017",264.088869882682,-28.6577298402847,1.79277765091739,-15.9850998954724,1.62306545378374e-57,3.97651036177017e-56,"DESeq2","genus","Ctrl_D30_vs_D07","time_within_diet","timepoint","D07","D30","",15,15,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Buchnera",,,"Buchnera",TRUE
"ASV00017",114.566009143892,-27.6818697131726,1.73720703370337,-15.9346981540597,3.63953899340273e-57,5.60907977387304e-56,"DESeq2","genus","Hydrolysate_D30_vs_D07","time_within_hydro_group","timepoint","D07","D30","",30,29,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Buchnera",,,"Buchnera",TRUE
"ASV00019",108.249670478132,-27.5531345118345,1.72916260936233,-15.9343802385337,3.65809550469981e-57,5.60907977387304e-56,"DESeq2","genus","Hydrolysate_D30_vs_D07","time_within_hydro_group","timepoint","D07","D30","",30,29,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",,,"Bacteroides",TRUE
"ASV00012",239.181710018603,-28.6985641205969,1.80722205998684,-15.8799323868402,8.72724260439663e-57,1.00363289950561e-55,"DESeq2","genus","Hydrolysate_D30_vs_D07","time_within_hydro_group","timepoint","D07","D30","",30,29,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Candidatus Hamiltonella",,,"Candidatus Hamiltonella",TRUE
"ASV00006",672.267508708679,-29.5689367510858,1.85614859492446,-15.93026379027,3.90705389920675e-57,1.25025724774616e-55,"DESeq2","genus","Hydrolysate_D90_vs_D07","time_within_hydro_group","timepoint","D07","D90","",30,29,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Delftia",,,"Delftia",TRUE
"ASV00012",666.811495352227,-28.3931860683808,1.82665472575828,-15.5438166107688,1.75229510921788e-54,1.31422133191341e-52,"DESeq2","genus","Ctrl_D90_vs_D07","time_within_diet","timepoint","D07","D90","",15,15,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Candidatus Hamiltonella",,,"Candidatus Hamiltonella",TRUE
"ASV00012",648.849407456699,-29.8647925328278,1.95998177182046,-15.237280755468,2.00023422632728e-52,3.26704923633456e-51,"DESeq2","genus","Ctrl_D30_vs_D07","time_within_diet","timepoint","D07","D30","",15,15,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Candidatus Hamiltonella",,,"Candidatus Hamiltonella",TRUE
"ASV00025",61.5364564538571,-26.8194257642923,1.77683133117896,-15.0939626590764,1.77456805600844e-51,1.63260261152776e-50,"DESeq2","genus","Hydrolysate_D30_vs_D07","time_within_hydro_group","timepoint","D07","D30","",30,29,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia",,,"Blautia",TRUE
"ASV00006",848.681317730432,-30,2.02544247235573,-14.8115784128433,1.2331033432084e-49,1.51055159543029e-48,"DESeq2","genus","Ctrl_D30_vs_D07","time_within_diet","timepoint","D07","D30","",15,15,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Delftia",,,"Delftia",TRUE
"ASV00017",270.780522872043,-27.2092589581409,1.87866413063832,-14.4833014663968,1.54494649555232e-47,5.79354935832122e-46,"DESeq2","genus","Ctrl_D90_vs_D07","time_within_diet","timepoint","D07","D90","",15,15,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Buchnera",,,"Buchnera",TRUE
"ASV00012",275.939316103569,-28.4590343161083,1.9790053345466,-14.3804737760489,6.86231728682691e-47,1.09797076589231e-45,"DESeq2","genus","Hydrolysate_D90_vs_D07","time_within_hydro_group","timepoint","D07","D90","",30,29,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Candidatus Hamiltonella",,,"Candidatus Hamiltonella",TRUE
"ASV00017",132.165632755932,-27.5442459156239,1.93690642134866,-14.2207417002857,6.81270261799825e-46,7.26688279253147e-45,"DESeq2","genus","Hydrolysate_D90_vs_D07","time_within_hydro_group","timepoint","D07","D90","",30,29,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Buchnera",,,"Buchnera",TRUE
