"level","comparison","taxon_id","taxon_label","deseq2_significant","deseq2_direction","aldex2_significant","aldex2_direction","result_class","direction_agreement"
"asv","BL15_D30_vs_D07","ASV00025","Blautia (ASV00025)",TRUE,"down",FALSE,,"deseq2_only",FALSE
"asv","BL15_D30_vs_D07","ASV00017","Buchnera (ASV00017)",TRUE,"down",FALSE,,"deseq2_only",FALSE
"asv","BL15_D30_vs_D07","ASV00012","Candidatus Hamiltonella (ASV00012)",TRUE,"down",FALSE,,"deseq2_only",FALSE
"asv","BL15_D30_vs_D07","ASV00009","Photobacterium (ASV00009)",TRUE,"up",FALSE,,"deseq2_only",FALSE
"asv","BL15_D30_vs_D07","ASV00067","Photobacterium (ASV00067)",TRUE,"up",FALSE,,"deseq2_only",FALSE
"asv","BL15_D30_vs_D07","ASV00037","Streptococcus (ASV00037)",TRUE,"down",FALSE,,"deseq2_only",FALSE
"asv","BL15_D30_vs_D07","ASV00002","Unclassified Mycoplasmataceae genus (ASV00002)",TRUE,"up",FALSE,,"deseq2_only",FALSE
"asv","BL15_D30_vs_D07","ASV00006","acidovorans (ASV00006)",TRUE,"down",FALSE,,"deseq2_only",FALSE
"asv","BL15_D30_vs_D07","ASV00019","dorei (ASV00019)",TRUE,"down",FALSE,,"deseq2_only",FALSE
"asv","BL15_D30_vs_D07","ASV00016","phosphoreum (ASV00016)",TRUE,"up",FALSE,,"deseq2_only",FALSE
"asv","BL15_D30_vs_D07","ASV00020","phosphoreum (ASV00020)",TRUE,"up",FALSE,,"deseq2_only",FALSE
"asv","BL15_D30_vs_D07","ASV00041","phosphoreum (ASV00041)",TRUE,"up",FALSE,,"deseq2_only",FALSE
"asv","BL15_D30_vs_D07","ASV00063","phosphoreum (ASV00063)",TRUE,"up",FALSE,,"deseq2_only",FALSE
"asv","BL15_D30_vs_D07","ASV00031","thetaiotaomicron (ASV00031)",TRUE,"down",FALSE,,"deseq2_only",FALSE
"asv","BL15_D90_vs_D07","ASV00025","Blautia (ASV00025)",TRUE,"down",FALSE,,"deseq2_only",FALSE
"asv","BL15_D90_vs_D07","ASV00017","Buchnera (ASV00017)",TRUE,"down",FALSE,,"deseq2_only",FALSE
"asv","BL15_D90_vs_D07","ASV00012","Candidatus Hamiltonella (ASV00012)",TRUE,"down",FALSE,,"deseq2_only",FALSE
"asv","BL15_D90_vs_D07","ASV00037","Streptococcus (ASV00037)",TRUE,"down",FALSE,,"deseq2_only",FALSE
"asv","BL15_D90_vs_D07","ASV00002","Unclassified Mycoplasmataceae genus (ASV00002)",TRUE,"up",TRUE,"up","both",TRUE
"asv","BL15_D90_vs_D07","ASV00086","Unclassified Mycoplasmataceae genus (ASV00086)",TRUE,"up",FALSE,,"deseq2_only",FALSE
"asv","BL15_D90_vs_D07","ASV00177","Unclassified Mycoplasmataceae genus (ASV00177)",TRUE,"up",FALSE,,"deseq2_only",FALSE
"asv","BL15_D90_vs_D07","ASV00006","acidovorans (ASV00006)",TRUE,"down",FALSE,,"deseq2_only",FALSE
"asv","BL15_D90_vs_D07","ASV00019","dorei (ASV00019)",TRUE,"down",FALSE,,"deseq2_only",FALSE
"asv","BL15_D90_vs_D07","ASV00031","thetaiotaomicron (ASV00031)",TRUE,"down",FALSE,,"deseq2_only",FALSE
"asv","BL15_D90_vs_D30","ASV00009","Photobacterium (ASV00009)",TRUE,"down",FALSE,,"deseq2_only",FALSE
"asv","BL15_D90_vs_D30","ASV00067","Photobacterium (ASV00067)",TRUE,"down",FALSE,,"deseq2_only",FALSE
